Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
2015-01-27,-0.8879319091330241,-1.5763294314054026,-1.0528092193915928,-0.7801643626510744,-225.0,-0.21846023965797023,-4.5024409532059,2.219868488170521,0.8950210023927102,-1.7591869077329643,-0.6623909972387106,-2.300514235765903,-0.013943507949196174,1.440988758317694,1.1974666390892446,0.8732336171462471,0.42781013075271385,-0.09382601100473556,-0.6692746032888675
2015-01-28,-1.159828187743647,-1.953817142947716,-1.1198162260251912,-1.0231760031555814,580.400390625,0.5603474826991431,-4.868628459898637,1.8041294428776307,0.467326199020271,-2.1160072704234096,-0.43231803765462,-2.5270606408275467,-0.915743013047684,0.9031310919705471,0.8405858055281209,0.8290299194501571,0.5244773766704206,-0.061642443413226805,-0.5587059498102727
2015-01-29,-0.4538693956434039,-0.9000371847591437,-0.9896870435896824,-0.39631355393230155,-395.400390625,-0.38323435903533337,-3.7864231951230503,2.829005377975626,1.6644916868899569,-0.8888395250966237,-0.8811507132636675,-1.0527869880227956,2.184010702904025,1.5280295044875634,1.5869079970479127,0.6614444027255326,0.8277623628919486,0.32917545683090876,0.393046068934821
2015-01-30,-0.9346640820192249,-1.6398509534662364,-0.9984020370895436,-0.8233664320740979,-34.3994140625,-0.03415289396780544,-4.350510056954854,2.3420526169689073,1.2556035752419432,-1.3679073741240766,-0.7835243388999529,-1.7366512501370126,0.5366780502143903,1.1694167644638676,1.5419787212719989,0.8350440346585355,1.1916132113064033,0.13897190218982927,0.35085300300364014
2015-02-02,-0.9726576799633327,-1.710091206175211,-0.8840525360754645,-0.8605195789350842,127.5,0.1224009336496864,-4.381962705148216,2.243499728488938,1.2385260254588777,-1.3248707750466917,-1.0091404733563933,-1.9734286428564038,0.43630950191720663,1.0833882922019433,1.596167068733863,0.661180258327372,0.8604647311602285,0.12167294499139801,0.19743697597465143
2015-02-03,-0.8204438426987973,-1.4692439221992313,-0.9462328301570812,-0.7228129826491969,-8432.030395507812,-8.15451133181228,-4.145798015002197,2.4874134329698854,1.5658170665405169,-1.0134699979277735,-1.063764362446847,-1.5897038786100053,1.2955762837273759,0.7748889957287313,1.6600742136102404,0.4310927515562132,1.0957291695635116,0.1405998742420788,0.18703627207341672
2015-02-04,-11.055287339474669,-1.6626890153011722,-10.619176103945083,-9.829842045743513,8508.729614257812,8.226899543796625,-23.43002735033254,2.9887507307105086,-11.664853936051959,-12.161716773887829,7.9843438692755475,1.914921032440951,-1.2339170422243266,-6.783148944176602,4.571437872919257,-0.18607497562505376,2.7656288594596186,-0.8978428555010041,-0.44983059670991477
2015-02-05,-0.7262516774724558,-1.3320281388981752,-0.8572025818340739,-0.6399738583209678,-233.7998046875,-0.22696949285133042,-16.005802189522147,4.282089672938174,-9.536561524705379,-2.92112549921658,4.39402480707922,4.645797850839868,3.560211751873589,0.41810940100368155,-0.9035691931908754,0.4038759039219657,1.5583187748100071,0.3693702099669711,-0.590058033331589
2015-02-06,-1.011014002260707,-1.6511744041150695,-0.8793419774352651,-0.8924897431509354,67.900390625,0.06476918108162821,-13.823869930963827,4.761520358372058,-7.32542056080992,0.24664227304017122,0.4674312760892045,2.376237125377546,2.0598002963603514,2.224745128522845,-1.5154890534652887,0.8633163356416542,0.21793445764302277,-1.7708052281442845,0.6723725384082655
2015-02-09,-0.9295669750942385,-1.6442645129296594,-0.9157315029462978,-0.8191538084101438,99.0,0.09484194516949289,-12.764121757537593,5.238334496679695,-6.323049141968561,1.539625508111692,-0.7024418678080139,2.224433265276237,1.5801389668668313,2.1349654447151667,-1.2321510174747035,1.109421657944339,-0.6395331461641787,-1.224220011149311,1.2540542249489952
