Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
2015-01-27,-1.9730448914578107,-0.17647500188440565,-1.944886847046143,-0.1279926506670448,0.0299999713897705,0.0014518393186161522,-6.189852600738205,-1.640865071970255,-0.3056991840417739,-0.22426199906908814,-1.6360437335525722,0.2815592775089821,-0.6253601902095125,-0.445097657243388,-0.20130621300761004,0.4674749535755932,2.079316458804973,-0.6955545343868237,0.10246241999090719,-0.0037118911727549164
2015-01-28,-1.9814440435322003,-0.17647500188440565,-1.953290507618032,-0.12583651541170174,0.0600001811981201,0.002980809358243425,-5.869813731143747,-1.5344725053676365,-0.39930157812917466,-0.06168532795381418,-1.6195869125359164,0.3133441591604234,-0.521218826873868,-0.41187184949481415,-0.009666924362128137,0.41199749969171556,1.939303185387617,-0.6320587531537514,0.040561511458913874,-0.005337580332207173
2015-01-29,-1.9282490958669982,-0.18638701133805316,-1.9003338342730596,-0.12152422776557575,-0.0500001907348632,-0.002625393868594631,150.33912563889464,-13.31625680020488,5.118811668907611,-37.04418030149719,-1.276511435832018,-0.1673254944796404,-0.6443983526075343,0.02033000149890621,0.10896913225229889,0.7159056774178543,2.40996570487515,-0.29973625550871835,0.25821944970067734,0.11171846008169245
2015-01-30,-1.9346485860544667,-0.1802623534578259,-1.906469931271018,-0.1251178036599207,0.0199999809265136,0.000942186689099446,-5.571198571400881,-1.143325435015069,-0.43648763730485185,-0.055458238824442424,-1.5917361653658026,0.31493322768012905,-0.49886607317254,-0.34923767713872267,0.2312710023301481,0.35789696421648504,1.5942395748450364,-0.46939336331074427,-0.13163023280115596,-0.28015284269871155
2015-02-02,-1.9210498680690544,-0.18459074051360794,-1.8990000107626723,-0.12368038015635865,-0.0399999618530273,-0.0021157290880007653,-2.651611735235296,-1.2485921676409824,-0.2911199437998751,-0.5844298951367137,-1.5705042868432315,0.2889649979985936,-0.47143716845748695,-0.3439614279076515,0.39149283856156203,0.2904866624786461,1.2516980555521464,-0.40079546509302516,-0.1724549096521348,-0.39391858600690977
2015-02-03,-1.9339817142314244,-0.18198287776678715,-1.9058027014844672,-0.12655522716348278,-0.0099999904632568,-0.000586771199450657,-5.755406589051007,-1.1689066658618332,-0.2853756577075463,-0.15348540158491844,-1.5362225488398789,0.30610452821071893,-0.5002673751913201,-0.3676154071180482,0.3419187138361901,0.22891795473699628,1.023804768905454,-0.3611970870087114,0.038663601469147324,-0.5122107165591059
2015-02-04,-1.915316931843892,-0.17539290512046013,-1.8871279002136028,-0.1272739389152638,0.0800001621246337,0.004000114617276828,-6.386330648247144,-1.2268382362051342,-0.28745241044110836,-0.1361644988524653,-1.5257957164766234,0.323181451698242,-0.6319166533541861,-0.3987934379798228,0.11953880388871393,0.2889617101953521,1.2218748545223899,-0.5471104342330337,0.28777556563471884,-0.4305069549832474
2015-02-05,-1.7974617997846336,-0.17581492879221997,-1.8291024431040703,-0.12152422776557575,-0.0200002193450927,-0.0010964359800445225,-6.338835190087112,-1.2094572778608939,-0.3833658373325382,0.4868010685788719,-1.5355419113966648,0.3691026425566917,-0.6440221295241085,-0.4134846111679106,0.06419095900388935,0.3665747461726758,1.499909229883478,-0.8160925702344468,0.4178293563013008,-0.40367747659590114
2015-02-06,-1.872254430843665,-0.17701606316598936,-1.9686304320815686,-0.12296166840457763,0.0200002193450927,0.0009421988401766107,-6.093993125382923,-1.1259902634110421,-0.4149470240920784,0.26644169691280994,-1.4995209810188537,0.44466177248284755,-0.4269695329655965,-0.5573773063532708,0.3551756591385358,0.06120988304491028,0.5190885252480628,-0.9628646343669802,0.7511507770621341,-0.038485293039220325
2015-02-09,-1.9473140649205025,-0.17431080835651463,-1.919142208713778,-0.12152422776557575,0.0099999904632568,0.00043253405958274503,-5.451822262441005,-0.9785283332414414,-0.42707489191389014,0.20247344665543154,-1.5144640231179072,0.4269984806236292,-0.566406991196782,-0.5796854361531296,0.09660468101363151,0.16640354535471802,0.891758457796222,-1.1186080770488207,0.9050434126080826,0.5206811743835714
