Date,Open,High,Low,Close,Volume,Change,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,PATTERN_SUM,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-08-04,971.0,975.0,967.75,971.5,107951,0.5,971.25,290388,993.2265103191108,974.8625,956.4984896808892,972.7135154000264,980.6163551201452,978.5676538,990.6309437,983.1916666666668,974.9670515595984,977.2962893210902,983.1916666666668,975.75,972.125,956.062272,956.062272,983.1916666666668,978.2141832879996,972.9595349317054,977.8145833333332,977.0268817,-0.820512821,-53.16455696,-3.304887347,-4.01163376,0.7067464132988874,-0.820512821,-9.653668091,8.833155270655299,-3.161604847,-3.83404608,0.6724412331108014,50.03848049,-10.25,33.31710594217814,-0.083915992,-1.044053985,-0.01044054,0.9895594601476956,98.95594601476957,-0.056355131,-288992.0648,-45237.23361,778108,14.995095113770066,1.5434992397087046,7.25,24.371465976475672,87.39851003602149,-3.320559899,34.34357451,0.99896939,0.7384728754595207,971.3125,971.375,971.4166666666666,971.4375,1.4645443115120829,977.5428571428572,16.29404745659891,973.7428571428572,0.2923076923076923,7.542545989,977.8351648351648,56.88999999989756,12.393688417482034,13.871795253394833,64.28571428571429,78.57142857142857,14.285714285714286,-8.926617263,20.06029261406061,51.98786199,23.83564192726609,15.87047807010368,45.53669136863008,53.69261477045899,66.16085567656101,48.50299401197605,53.69261477045899,38.49000245,48.12476795999665,46.62540206398471,-51.49700599,0.068965517,0,0.9470996492214332,1,-18.0,-1.553404050403827,0.9123388,0.8158455,0.8570381,0.8180019,0.8787375,-7.860599,-1.3657148,-1.5339735,-1.6005106,-4.2685013,-4.1543503,-1.4567494,6.7146654,-3.0559387,-1.8175061,0.0638888,1.1579528,1.8803052,0.2722804,0.62879705,0.32667273,-0.3768816,0.57967335,-2.393025,-3.9979196,0.95823747,0.6703333,1.3943864,0.2705089,-0.10374777
2015-09-04,971.25,972.0,950.25,953.5,169506,18.0,955.5,281257,992.4764627107858,973.0875,953.6985372892142,969.8373587384552,978.8669128543296,976.5551185897436,989.1982935597276,981.3916666666668,964.2335257797992,974.0305984357674,981.3916666666668,971.625,971.625,993.0,-993.0,981.3916666666668,974.4918384516196,969.0134828978668,976.734375,975.1112903225808,-1.205128205,-176.1948813,-4.873137899,-4.183934588,-0.689203311,-1.205128205,-8.163461538,6.958333333333384,-4.633117092,-3.993860283,-0.639256809,63.96430331288544,-25.25,30.937312660593985,-0.123518842,-2.579821201,-0.025798212,0.9742017879948914,97.42017879948916,-0.056780073,-407841.0993,-82648.6835,608602,15.477588319929348,1.6232394672185997,21.75,23.91112408304753,101.56945194414568,12.703428055120192,28.411216620298863,0.979682318,0.5509257727783305,961.75,961.125,958.5833333333334,957.3125,0.8690100754096186,969.8642857142858,-38.60217438,980.2428571428572,-0.798351648,10.786102168993551,969.0659341,116.3399999999674,13.994231693442812,14.383332224423526,100.0,71.42857142857143,-28.57142857,-23.69460872,34.80129428093296,43.070138250121694,29.519319894597025,14.27747011704369,38.15269564131469,34.470240804939735,51.144105551080976,7.602339181,34.470240804939735,0.0,25.01339069,43.97141644500167,-92.39766082,-0.816091954,0,0.9421238814459026,-1,-2.0,-0.228754590420717,1.0220289,0.9616679,1.1972897,0.8908284,1.123435,4.1941934,4.521336,4.9282093,2.1873136,9.029325,-1.0297021,-1.5272598,3.962548,-1.2679563,-0.5604503,0.13958885,1.1173332,1.9129956,0.27285135,0.62573063,0.41266853,-0.24969731,0.5792345,-1.7730877,-3.4551272,1.024032,0.60331655,1.4030123,0.28226072,-0.102100715
2015-10-04,954.0,958.5,944.5,951.5,125165,2.0,951.5,280951,991.8535150857894,971.3375,950.8214849142106,967.0026062022062,977.1013056,975.006125,986.791208,978.975,963.5968494908092,973.7697547121434,978.975,970.625,968.75,992.145,-992.145,978.975,969.0605823481474,965.2317154995784,975.7885416666668,973.1827956989248,-2.283653846,-189.8761213,-6.205834054,-4.588314481,-1.617519573,-2.283653846,-6.763710826,4.480056980057031,-5.887971026,-4.372682431,-1.515288595,65.14542450482219,-23.0,28.72750461,-0.234408156,-2.36018471,-0.023601847,0.9763981528989224,97.63981528989224,-0.057657905,-407841.0993,-90439.85087,483437,15.372046297077253,1.615559253502601,14.0,23.668759481463287,126.42956832029982,17.813566845096258,-8.586561234,0.8045874477419711,0.1490250614436034,952.125,951.5,951.5,951.5,-0.503595934,963.6214285714284,-56.56013079,983.3071428571428,-1.514285714,10.721940122942431,962.1071428571428,114.95999999996276,15.765708831426169,14.870814135641544,100.0,64.28571428571429,-35.71428571,-25.14699251,38.79491162520977,35.10881210527595,30.270820927948893,13.34867574306697,37.42650374678142,23.512774294661323,37.22520995668668,14.43298969072165,23.512774294661323,0.0,12.830000817683326,39.24839592536805,-85.56701031,-0.178571429,1,0.940856628,-1,-2.75,-0.2908475338574253,0.88806504,0.8977883,0.97424334,0.8596711,0.9194496,0.5193199,3.7688432,7.4466677,0.5538776,7.010133,-1.975888,-0.734566,9.395717,-2.5896964,-0.37303114,0.25092608,1.1017343,2.1356914,0.27697414,0.62355995,0.52081877,-0.16092108,0.5778166,-1.4307423,-3.0063756,1.0900142,0.57831395,1.4213243,0.29276687,-0.09392731
2015-04-05,968.0,984.0,966.75,983.0,3946,14.5,983.0,10287,989.8725060792956,969.825,949.7774939207046,971.3189343207576,974.8918272581813,969.6401960784312,981.4668612821946,972.5833333333334,978.3574626615016,972.2655520391388,972.5833333333334,976.75,976.375,958.0299662885068,958.0299662885068,972.5833333333334,978.8692198392756,975.2829473233554,969.1083333333332,972.5220430107528,4.25,54.01311866427976,0.9206035067845731,-0.756251954,1.6768554604823975,4.25,-1.271723647,5.521723646723659,0.8581926348143725,-0.743200272,1.6013929072001531,36.85624252398764,5.5,42.96017831215262,0.4374678332475553,0.5626598465473087,0.005626598,1.005626598465473,100.5626598465473,-0.052688833,-251258.0619,11263.178987262916,987192,15.065144284585228,1.5325680859191482,17.25,16.54265708314438,212.48179517983613,-1.41126894,3.081588431548613,-0.537031607,-0.976227188,975.4375,975.375,977.9166666666666,979.1875,0.6057213307596236,980.5214285714286,43.81119482936351,968.05,0.9593406593406594,6.615134163408396,981.4807692307692,43.76,11.183588596854957,14.554523760658192,0.0,85.71428571428572,85.71428571428572,8.619750923549368,7.647468684039475,58.28014297765598,17.474699889984365,20.368767183374256,54.30987546177468,56.828712502801125,67.57459807500094,65.86826347,56.828712502801125,66.07976551630786,54.01695983429598,48.64569638430654,-34.13173653,0.8695652173913043,0,0.8831094567037676,1,10.5,0.8061278001910877,0.9123388,0.8558812,0.85145146,0.84528434,0.87927395,1.0955269,-0.42842007,0.70208585,1.5585235,1.2935207,-4.5881433,8.249734,7.1267543,-1.8839467,-1.3574975,-0.18870412,1.0818053,2.055643,0.2722804,0.62862873,0.48847148,-0.2905228,0.587345,-1.3769274,-3.555564,0.94672763,0.66025966,1.3994242,0.26898348,-0.10157226
2015-05-05,982.5,994.5,981.5,993.5,2787,10.5,993.5,7840,993.5036028163922,970.95,948.3963972,973.8730447173637,976.0923545318468,971.7113970588234,981.5758262966348,972.9166666666666,985.9287313307508,975.6813469,972.9166666666666,979.75,976.375,961.1675689854264,961.1675689854264,972.9166666666666,980.8350892,978.8475701251248,969.3427083333332,973.8715054,5.302884615384642,173.84615384615353,2.295941167889964,-0.145813329,2.4417544972702308,5.302884615384642,-0.141559829,5.444444444444482,2.157587143639489,-0.163042789,2.320629932820216,34.22365377227423,18.25,50.39159414699886,0.5452783737554531,1.8713150474237272,0.01871315,1.0187131504742373,101.87131504742372,-0.050317013,-248899.8312,10509.004404279258,989979,14.917633978543424,1.5015232992997911,13.0,16.344714334423674,215.1378495,3.027685846431492,8.244929689551878,-0.575545595,-0.985222687,988.0,988.0,989.8333333333334,990.75,0.7610211818846542,984.1357142857142,50.245981691657136,968.5071428571428,1.202197802197802,8.593020423574437,985.3379121,73.84,11.74958918034495,14.69830039778114,7.142857142857143,78.57142857142857,71.42857142857143,17.477977793793542,19.107596765714867,50.66075697748425,16.386959899574187,24.12848838575701,58.73898889689677,65.97062285685031,63.36149435278637,91.01796407,65.97062285685031,100.0,63.329791630845534,54.96345754,-8.982035928,0.8461538461538461,0,0.8903070594553488,1,-3.0,-0.3115451816696614,0.7994946,0.7379193,0.5679656,0.8325087,0.8141843,-5.99987,-3.1566355,-1.3650239,-4.8151517,6.79756,-5.296124,9.448115,4.01302,-1.7707288,-1.5257146,-0.17466752,1.2070215,2.913536,0.2722804,0.6288084,0.4464545,-0.45332336,0.59411263,-1.1104791,-3.428111,0.90543956,0.64719176,1.3785517,0.2606746,-0.10899924
2015-06-05,993.25,1000.5,988.25,990.5,2303,3.0,990.5,6390,996.0129633185152,971.9,947.7870366814848,975.8153076358614,977.0218800459212,973.9945772058824,981.6499874113466,973.2083333333334,986.1572947642132,975.9432456,973.2083333333334,981.0,981.75,964.0541634665922,964.0541634665922,973.2083333333334,983.5543851,981.4162954279052,969.7802083333332,975.0059139784946,5.511217948718013,173.6984448951984,3.108004108438081,0.504950158,2.6030539502546777,5.511217948718013,1.046118233618232,4.465099715099781,2.929963220837408,0.4555584128229002,2.474404808014508,31.779107074254643,20.0,52.792194565070375,0.5661911911911978,2.0607934054611032,0.020607934,1.020607934054611,102.0607934054611,-0.047639197,-250356.8312,8781.523492669628,987676,14.727088694361752,1.4868337904454063,12.25,16.255273259678468,201.1037823548285,7.675378141188083,3.816856969765325,-0.360058396,-0.914280698,993.125,994.375,993.0833333333334,992.4375,0.7712479523042309,986.3071428571428,51.71789369938663,969.8357142857144,1.267032967032967,8.908422981,987.5741758,79.35999999998603,12.68508948507702,14.930751235424268,0.0,100.0,100.0,14.075437754397829,24.84659344659395,56.88854480974152,15.41333977615701,25.60499986545025,57.03771887719892,76.73985362608109,66.51306299524418,73.33333333333333,76.73985362608109,85.48671702996405,83.85549418,51.49774775,-26.66666667,-0.224489796,0,0.9063673084635412,-1,-9.0,-0.8082887291633275,0.8218669,0.7623678,0.69467163,0.8213234,0.84233636,-10.302452,-1.9527247,-1.1116011,-6.4696426,4.005808,-2.7857482,7.971214,5.183902,1.2547859,0.7252562,-0.114051625,1.2151418,2.7254665,0.2722804,0.6288084,0.42998368,-0.62417626,0.5942518,-0.82814014,-3.266963,0.9104693,0.65480435,1.380279,0.2628107,-0.10821061
2015-07-05,990.5,992.5,979.25,981.5,2962,9.0,981.5,5117,996.1979256702524,973.3,950.4020743297474,976.4523335296316,977.3107910107004,975.9461397058824,981.6491959201128,973.3,985.9244300260024,976.1927751712562,973.3,981.0,982.5,967.6987471199328,967.6987471199328,973.3,985.1866625461256,982.0176231718896,970.3520833333332,975.5408602150536,5.714743589743534,62.76522929500232,2.990868188828358,1.002133764312394,1.988734424515964,5.714743589743534,2.292913105,3.4218304843304344,2.829281825299745,0.9303030953182692,1.898978729981476,38.50917085466503,3.25,49.02132352470821,0.5869089353017604,0.3322259136212535,0.003322259,1.0033222591362123,100.33222591362126,-0.044974705,-252312.8689,6654.130795361911,984714,14.621582359050198,1.4897180192613548,13.25,16.225523253677242,187.3679073256204,6.960024595835917,-8.043468455,-0.128240119,-0.791947763,985.9375,985.875,984.4166666666666,983.6875,0.9316910208316442,985.8571428571428,46.60600298928225,972.1071428571428,1.0576923076923077,8.697125962064362,986.9148351648352,75.64000000001397,12.636847614555842,14.30827098043208,0.0,92.85714285714286,92.85714285714286,4.314379607715142,12.00970329778052,50.717245383392886,18.812294001506835,23.94763455100664,52.15718980385758,70.52450654247053,71.07832767513399,47.22222222222222,70.52450654247053,43.85164519259038,76.44612074085144,49.85790303053604,-52.77777778,-0.679245283,1,0.9107484730385828,-1,3.0,0.1851983658240048,0.8937273,0.82404137,0.826598,0.83419436,0.87927395,-5.78812,-1.1735779,-1.8590457,-3.3051724,-1.0978125,-4.046627,5.1029706,4.780101,-0.90888166,-0.53876793,-0.28847277,1.0831747,1.8223287,0.2722804,0.6288084,0.44878364,-0.7463685,0.594568,-1.1063391,-2.9501386,0.93292445,0.66311663,1.3983066,0.26806125,-0.10042904
2015-08-05,982.75,986.25,977.75,984.5,1693,3.0,984.5,4093,996.0086086909809,974.95,953.8913913090192,977.4054338860748,977.7746109,977.4953125,981.6745208431514,973.6333333333332,985.2122150130012,978.4476351316924,973.6333333333332,981.0,982.5,970.9788724079395,970.9788724079395,973.6333333333332,985.9865735473812,983.0693865265056,971.0427083333332,976.2634409,7.083333333333371,38.12991552577846,3.104327303791365,1.4225724722081885,1.6817548315831767,7.083333333333371,3.5592948717948807,3.5240384615384905,2.943291657523673,1.332900808,1.6103908497643231,37.258515793617526,14.75,45.51980041580048,0.7276151343947993,1.52101057,0.015210106,1.0152101056973446,101.52101056973446,-0.042258874,-251316.9866,5495.784459184419,986407,14.184326476260898,1.4407644973347788,8.5,16.233149025640213,180.6988497237887,-1.981267563,-6.08542946,-0.012196926,-0.715678712,982.8125,982.0,982.8333333333334,983.25,1.0736460255143196,987.0642857142856,49.39426054840168,971.9,1.1664835164835166,4.608687448720154,988.2307692307692,21.239999999990687,12.447073532594189,13.65776457112905,64.28571428571429,85.71428571428572,21.42857142857143,7.165895121622079,9.980010467092642,40.720637565176574,18.76241752577942,22.92258515669857,53.58294756081104,58.70370370370362,68.65602129075175,55.55555555555556,58.70370370370362,56.01457378934793,61.784312003967415,47.64247731558567,-44.44444444,0.2058823529411764,1,0.9109993821798624,1,-1.5,-0.1873592947962448,0.9123388,0.8136121,0.8357499,0.8172134,0.8723415,-9.9216385,-2.4401536,-2.1454625,-1.2298719,0.373331,-6.149678,4.1375685,5.4691205,-3.8031306,-1.7126691,-0.20763056,1.1508218,1.7122111,0.2722804,0.6288084,0.43369013,-0.75805736,0.6043352,-0.96747327,-2.8833723,0.926381,0.66579276,1.3929785,0.2661444,-0.10338329
2015-11-05,983.0,989.0,981.5,983.0,1315,1.5,983.0,3410,994.1955224148568,976.6625,959.1294775851431,978.0817457114908,978.1117328199784,978.59375,981.6913617486216,974.1583333333332,985.1016042623512,978.6139843599587,974.1583333333332,981.0,982.5,973.9309851671456,973.9309851671456,974.1583333333332,986.0620413937892,983.6975887808294,971.7802083333332,976.8677419,7.594551282,48.815653964983504,3.038184703790307,1.745694918524612,1.2924897852656951,7.594551282,4.657763532763536,2.936787749287735,2.887319856962677,1.6437846176000153,1.2435352393626613,34.59719323693056,10.0,45.01838610038616,0.7802210104841673,1.0277492291880683,0.010277492,1.010277492291881,101.02774922918807,-0.039562765,-252105.9866,4271.253279913188,985092,13.706874585099404,1.394392124628627,7.5,16.280301848906646,182.3162273132933,-0.278408252,10.147024641092562,-0.040414783,-0.735106634,984.125,985.25,984.5,984.125,1.0987141243826577,987.3642857142856,48.42891213628973,972.7071428571428,1.1274725274725277,4.608687448720154,988.4917582,21.239999999990687,12.49295320698845,13.320310583847071,57.142857142857146,78.57142857142857,21.42857142857143,5.473402800573914,13.089388974113852,46.62872211418901,18.02911431790921,23.459753623749325,52.73670140028696,51.38888888888881,60.20569971168766,51.38888888888889,51.38888888888881,48.79537292893794,49.55386397029204,49.75470957613815,-48.61111111,0.0,1,0.9097493645630492,1,-16.0,-1.387822867905938,0.9123388,0.8136121,0.86186975,0.81482077,0.8723415,-11.0546,-1.8717313,-2.8236687,-3.930632,5.0740404,-6.028656,4.1791444,5.17645,-3.359604,-1.7027104,-0.2843777,1.1203326,1.2673244,0.2722804,0.6288032,0.28074765,-0.80820274,0.62254256,-0.87356687,-2.7685494,0.93086046,0.66226137,1.3982413,0.2678197,-0.10075687
2015-12-05,982.0,991.25,967.0,967.0,1362,16.0,969.0,2366,993.4848415218344,977.0,960.5151584781656,976.6961591,977.3948468315926,978.9328125,981.6261114561728,974.1333333333332,976.0508021311756,977.9731888027628,974.1333333333332,980.25,982.5,1000.5,-1000.5,974.1333333333332,983.8303935184558,981.3241310577176,972.440625,976.4059139784946,7.807692307692264,-66.95683714,1.6753871145725725,1.731633357734204,-0.056246243,7.807692307692264,5.433226495726495,2.374465811965769,1.6108296803806752,1.6371936301561472,-0.02636395,46.62596514857837,-10.5,41.80278709321572,0.8024825568754526,-1.074168798,-0.010741688,0.9892583120204604,98.92583120204604,-0.037340973,-253467.9866,2948.649317491974,983730,14.459954971878018,1.4953417757888332,24.25,16.35971372961965,198.4218813950881,8.597780607009522,9.253146169990494,-0.316011392,-0.894325172,976.8125,979.125,975.0833333333334,973.0625,0.6073261324739869,982.65,23.78113679636523,976.9214285714286,0.4406593406593406,7.775602870522591,983.0906593406594,60.46000000007916,11.99019296006354,12.694026850467496,50.0,71.42857142857143,21.42857142857143,-10.72314322,5.454309750039734,59.83568571367093,23.03206399,20.64953431470922,44.638428387721135,37.96296296296288,49.35185185185177,6.944444444444445,37.96296296296288,0.0,34.93664890609525,42.56202580974052,-93.05555556,-0.618556701,0,0.8973876913329178,-1,8.0,0.5991513220687267,1.0312289,0.9483135,1.2520914,0.87791634,1.1097026,-0.5404148,2.353567,-0.93186045,8.434108,15.481017,-2.252133,2.495866,4.4510655,-0.5695251,0.072822586,-0.14603303,0.97911,0.81979007,0.2722804,0.6288084,0.13230379,-0.8376658,0.62691295,-0.56601036,-2.6556787,0.98892504,0.6649236,1.4232602,0.28026575,-0.09217779
