Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,PATTERN_SUM,DAILY_CLOSEPRICE_CHANGE,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE,Scaled_DAILY_CLOSEPRICE_CHANGE,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-11-03,13.06,13.18,12.97,13.14,51079,0.12,13.08,137,0,100,422531,15.41317748755067,14.047499999999976,12.68182251244928,13.501401998555938,14.09549574094948,14.055055555555558,14.095901359935509,14.24466666666664,13.481792563882257,14.139031127379608,14.24466666666664,13.705,13.845,14.115808692791385,-14.11580869,14.24466666666664,13.189201834347948,13.233150019203034,14.397833333333232,13.949612903226036,-0.606987179,-107.6955174,-0.443074878,-0.359678608,-0.08339627,-0.606987179,-0.378418803,-0.228568376,-0.42128281,-0.341534134,-0.079748676,1.5852141945324507,-0.65,0.4768341445253303,-4.284770489,-4.713560551,-0.047135606,0.952864394,95.28643945,-0.149434702,-1919085.166,-62028.61319,-1912706,0.3341513484797677,2.543008740333087,0.21,18.379641002885485,15.71691346319176,-0.462216097,0.1175663565889297,0.270884617,0.8722136979903266,13.0875,13.075,13.096666666666666,13.1075,0.9418828804300368,13.012857142857149,-5.791622329,14.331428571428573,-0.101428571,0.1654569430425891,12.911428571428576,0.027376,32.07175078462113,23.08779755956736,100.0,0.0,-100.0,-38.03061577,53.75140965,32.65999242562437,33.88571850581272,10.192860782520956,30.984692116651207,5.374754934780886,7.188112806109822,9.714285714,5.374754934780886,25.764495516499405,9.094729196963398,31.39950964367429,-90.28571429,0.380952381,1,0.9846184196926968,1,0.07,5.0,5.0,5.0,0.2918490167855572,-0.00572279,-0.0028412389,-0.0068229917,-0.003935609,-0.0059084846,-0.015208574,-0.01587664,0.0014443839,0.057554528,-0.022654576,-0.055753384,0.037360184,-0.022414837,-0.010849161,-0.037626106,0.019382365,-0.048435148,-0.0038312478,-0.002615657,0.041095413,-0.09925397,0.010684136,-0.010814284,-0.0023125564,-0.018316528,0.0029059902,-0.007624047,0.018057352,-0.0016639769,-0.00071010523
2015-12-03,13.14,13.31,13.1,13.21,54656,0.07,13.21,563,0,750,422078,15.349117230751812,13.972499999999972,12.595882769248137,13.429158838425304,14.038366983468867,13.980915204678364,14.029478887030676,14.179666666666638,13.468202935688142,14.12226042258732,14.179666666666638,13.665,13.695,13.955395475800591,-13.95539548,14.179666666666638,13.13772210808846,13.16407415848708,14.328541666666563,13.882860215053991,-0.638525641,-79.67256058,-0.438563425,-0.375455571,-0.063107854,-0.638525641,-0.429131054,-0.209394587,-0.417347287,-0.356696765,-0.060650522,1.4719846092087043,-0.87,0.5727745627735219,-4.522875461,-6.178977273,-0.061789773,0.9382102272727272,93.82102272727272,-0.158055086,-1916482.499,-50688.01514,-1858050,0.3252833950169272,2.4624026874862013,0.2100000000000008,19.18572637945929,17.028554015013412,-0.35067257,0.3366245777934776,0.2928482539416061,0.8831814497911525,13.19,13.205,13.206666666666669,13.2075,0.8579305076826581,12.99657142857144,-5.197721514,14.179142857142851,-0.090967033,0.1395134402163247,12.905604395604408,0.019464,32.92207788980495,23.68574193189304,92.85714285714286,0.0,-92.85714286,-34.02598852,43.97633025719463,39.94330723499124,32.32312482,12.577484555981927,32.98700573895782,9.399459000658403,7.032556374,16.551724137931057,9.399459000658403,44.81175160396868,23.52541570682264,33.74150848262086,-83.44827586,0.3333333333333333,1,0.9849058135547096,1,-0.51,3.4000000000000004,7.6,7.333333333333333,-1.9638980490217743,-0.008274407,-0.004387877,-0.007955601,-0.003935609,-0.006214774,-0.035594057,-0.01587664,-0.0925647,-0.108038776,-0.06509298,-0.20880558,0.027726565,-0.0164006,-0.0685274,0.07578167,0.007927742,-0.056628034,-0.0048164525,-0.002509851,0.020041902,-0.097404,0.008851585,-0.0108160535,-0.0023041486,-0.018318154,0.0029059772,-0.007647269,0.018057704,-0.0016639769,-0.00025314948
2015-02-04,12.39,12.75,12.33,12.74,81091,0.42,12.6,7014,1105,200,408250,13.494425305199336,12.68449999999998,11.87457469480062,12.21782983071844,13.036133057828614,13.538124502133712,12.659368959874987,13.074333333333302,12.429516562403531,12.600971017442928,13.074333333333302,12.415,12.445,11.91,11.91,13.074333333333302,12.160706171597624,12.02160696350252,13.018791666666552,12.715483870967992,-0.474038462,29.38906147039465,-0.433507303,-0.477822474,0.044315171,-0.474038462,-0.567079772,0.093041311,-0.414203956,-0.455609144,0.041405188,1.3269356192910668,0.12,0.8695569753253846,-3.672855142,0.9508716323296528,0.009508716,1.0095087163232963,100.95087163232964,-0.295480794,-2012182.142,-18093.31659,-2012655,0.3326114472399213,2.610764891993103,0.4299999999999997,39.85755790402269,4.380935324478628,-0.441188626,-0.90092796,0.076387263,0.7590547258095858,12.5525,12.54,12.606666666666667,12.64,0.8396552451830565,12.164000000000003,-2.902599254,12.823142857142852,-0.050703297,0.291712187,12.113296703296708,0.085096,47.21393970109517,41.67147282964358,85.71428571428572,0.0,-85.71428571,-8.402512663,20.82313617,31.635288992721915,28.49604740052401,18.673804837319025,45.79874366826544,37.17944914206597,17.41264241544354,77.57009345794391,37.17944914206597,100.0,66.66666666666663,50.48768198715214,-22.42990654,0.8333333333333326,1,0.9880722566594538,1,-0.2,5.0,5.0,5.0,-0.7582401345385457,-0.0084813945,-0.0041614305,-0.0068222126,-0.0049922788,-0.0062038032,-0.04228469,-0.13677812,-0.05819932,-0.078061365,-0.0113877375,0.17628053,-0.027457882,0.40385926,0.017818583,-0.17130955,0.019808797,-0.06851833,-0.0053864177,-0.0036539803,0.07959311,-0.092865475,0.01763014,-0.01081044,-0.0022835894,-0.018321218,0.0029059902,-0.0076311263,0.017853227,-0.0016639765,0.011866689
2015-06-04,12.8,12.86,12.5,12.54,48274,0.0,12.7,977,327,0,399816,13.37291598019288,12.63949999999998,11.90608401980708,12.208671488513858,13.004124473452574,13.489702159244263,12.65063940869393,13.012666666666636,12.435040734283357,12.596822760363937,13.012666666666636,12.375,12.44,11.9268,11.9268,13.012666666666636,12.242045891782816,12.046484194117427,12.947249999999883,12.681010752688422,-0.430641026,44.54161640530735,-0.397094607,-0.461676901,0.064582294,-0.430641026,-0.541502849,0.1108618233618252,-0.379790204,-0.440445356,0.060655152,1.2321545036274193,-0.14,0.9174457628021422,-3.351994332,-1.104100946,-0.011041009,0.9889589905362776,98.89589905362776,-0.301685115,-2049728.587,-13541.63375,-2060929,0.3345677724370698,2.668004564888914,0.3599999999999994,39.04719411047212,11.118784462176018,-0.732278556,-0.653165973,0.1928436736731633,0.8301950976164604,12.675,12.68,12.633333333333333,12.61,0.8058041467907568,12.233999999999998,-2.060500072,12.701714285714283,-0.035978022,0.3112940731862334,12.198021978021975,0.096904,44.88725385257965,41.28947784931726,78.57142857142857,0.0,-78.57142857,-15.20733445,14.64033782,31.89101892236233,26.30589172815485,19.587015128116867,42.39633277328551,56.51457942059244,35.41110829919179,59.43396226415082,56.51457942059244,84.73727432211884,94.91242477403956,43.411732349561085,-40.56603774,-0.722222222,1,0.9864912877857652,-1,0.2300000000000004,5.0,5.0,5.0,0.914124069422064,-0.007034317,-0.0065249065,-0.006802781,-0.0048540034,-0.005905062,-0.049291708,0.11840353,-0.023996452,0.015616829,-0.015597205,-0.0057508834,0.052596077,0.0025626475,0.06483595,-0.14771053,0.019424886,-0.05194601,-0.004668244,-0.0029656882,0.061518088,-0.0899872,0.028243475,-0.010804808,-0.0022557385,-0.020350011,0.0029059902,-0.0076281466,0.017935174,-0.0016639767,0.01228868
2015-07-04,12.54,12.85,12.29,12.77,99126,0.23,12.63,12184,1475,0,392267,13.29221602,12.614499999999978,11.936783982775758,12.230755929983047,12.98901967,13.423147672064776,12.657025098829251,12.961333333333302,12.451788697569189,12.593196908794068,12.961333333333302,12.35,12.44,11.964128,11.964128,12.961333333333302,12.357899483543711,12.11382227200039,12.882208333333216,12.66535483870993,-0.373525641,51.24644998422104,-0.345693268,-0.438480174,0.092786906,-0.373525641,-0.510797721,0.1372720797720812,-0.331209752,-0.418598235,0.087388483,1.3541434676540332,0.03,0.8519139226019892,-2.917555402,0.2354788069073743,0.002354788,1.0023547880690735,100.23547880690738,-0.306451475,-1978924.301,12080.11229737592,-1961803,0.3506700744058506,2.746046001611986,0.5600000000000005,37.68963676801797,17.41116115038583,-0.796893935,0.5225516064180836,0.2992266714735411,0.886293812,12.6125,12.57,12.636666666666663,12.67,0.8718917294217979,12.362,-0.901547086,12.566571428571423,-0.015736264,0.3102901867621932,12.346263736263737,0.09628,43.30715949834109,41.03669699670901,71.42857142857143,7.142857142857143,-64.28571429,-5.500651168,22.765932893239825,41.72147696296885,27.58277379925235,17.352776559394762,47.24967441624657,72.71204373126426,55.46869076464094,81.13207547169802,72.71204373126426,100.0,94.91242477403956,52.098774779411286,-18.86792453,0.4107142857142861,1,0.9828661623665708,0,0.2,5.0,6.8,5.0,0.7974474970527179,-0.0079476945,-0.0068093822,-0.006869162,-0.0047947154,-0.006259501,-0.047121618,-0.03799203,-0.022097997,0.049529843,-0.007899959,0.23973002,-0.04217521,0.4919132,0.01390443,-0.22170964,0.014676515,-0.08167814,-0.0065447604,-0.0041968594,0.062478572,-0.08862933,0.029398441,-0.010806554,-0.0022423181,-0.022336142,0.002905981,-0.007653036,0.017764864,-0.0016639762,0.006466241
2015-08-04,12.78,13.13,12.76,12.97,116527,0.2,12.98,614,1208,100,377852,13.28405952117524,12.611999999999975,11.939940478824711,12.277301186544603,12.987792593312816,13.35954055330634,12.66869387922046,12.921333333333305,12.477699262690727,12.590309467641484,12.921333333333305,12.45,12.52,11.99996288,11.99996288,12.921333333333305,12.504454972333292,12.212601881557944,12.82366666666655,12.66591397849488,-0.323589744,138.5263157894738,-0.285527624,-0.407889664,0.1223620404622018,-0.323589744,-0.478796296,0.1552065527065511,-0.274287262,-0.38973604,0.1154487787774991,1.2574189342501736,0.5200000000000014,1.0710629281304196,-2.532610877,4.176706827,0.041767068,1.0417670682730924,104.17670682730925,-0.309532161,-1963177.409,26473.91835,-1845276,0.3520507833768613,2.714346826344343,0.37,37.77447000577336,21.60918451509381,-0.659403546,1.7418375670495156,0.3682735911516236,0.9178182767105733,12.91,12.945,12.953333333333331,12.9575,1.3952332627339945,12.529999999999998,0.4281363177362922,12.432857142857143,0.007472527,0.2210339340483948,12.537472527472524,0.048856,40.78545714186937,40.34131632383185,64.28571428571429,100.0,35.714285714285715,2.214625056136528,8.003326507736986,51.92206857255339,25.512125637167387,21.731096330333376,51.10731252806826,75.81709454582939,68.34790589922875,86.88524590163934,75.81709454582939,100.0,94.91242477403956,54.82146643069691,-13.1147541,0.5135135135135156,1,0.9797575226122122,0,-0.17,5.0,5.0,5.0,-0.6415635621692009,-0.0062346696,-0.006172505,-0.0072089043,-0.0048540034,-0.00568158,0.023067491,-0.08393312,-0.020989383,-0.025840845,-0.08099028,0.12187869,-0.043425426,0.44773546,0.027353186,-0.37290215,0.021299558,-0.08051585,-0.006411056,-0.004829466,0.07039136,-0.08803231,0.026488096,-0.010801674,-0.0022124054,-0.02435582,0.0029059902,-0.007630503,0.017608183,-0.0016639758,0.009791395
2015-09-04,12.99,13.03,12.63,12.8,82632,-0.17,12.81,4321,767,0,342252,13.228892735407324,12.59499999999998,11.961107264592636,12.299689694371963,12.975676942131344,13.27960196228617,12.672701644641291,12.888333333333302,12.49381429955619,12.587897088439352,12.888333333333302,12.45,12.52,12.06776511,12.06776511,12.888333333333302,12.633802958163216,12.271442622328196,12.77104166666655,12.658086021505634,-0.293589744,93.50989522700854,-0.248696676,-0.376051066,0.1273543908050928,-0.293589744,-0.448917379,0.1553276353276346,-0.239196222,-0.359628077,0.120431855,1.297603296089446,0.2800000000000011,0.9945584332639612,-2.302317398,2.2364217252396346,0.022364217,1.0223642172523963,102.23642172523964,-0.311429861,-1975572.209,26011.773699418874,-1927908,0.355475727,2.7771541204794614,0.3999999999999986,37.00482899257018,26.67610750220125,-0.062340199,3.3140932619716943,0.4489464212318769,0.9492944593786912,12.8625,12.83,12.82,12.815,1.406006023784301,12.631714285714288,1.211216023215813,12.356857142857145,0.021142857,0.1374918179418629,12.652857142857144,0.018904,38.81656161402659,40.01618824799258,57.142857142857146,92.85714285714286,35.714285714285715,-4.198535273,13.22091975207048,49.91214269643592,26.07377735576472,19.984455368118283,47.90073236359243,80.32271368182285,76.28395065297222,72.95081967213116,80.32271368182285,88.38231696340036,96.12743898780008,56.30019599,-27.04918033,-0.475,1,0.9794331293779278,0,0.03,5.0,5.0,5.0,0.1362802536264308,-0.0065670004,-0.0074170437,-0.0075045396,-0.0048540034,-0.0057096947,-0.03333617,-0.014000642,-0.01463544,-0.015906118,-0.043617886,0.20970875,-0.004792574,0.43220487,0.035781566,-0.21806458,0.020085966,-0.07807202,-0.0065388074,-0.0046215854,0.052017543,-0.09266879,0.024742814,-0.010798143,-0.0021916009,-0.026375487,0.0029059884,-0.0076388237,0.017668886,-0.001663976,0.005159587
2015-10-04,12.82,12.88,12.69,12.83,84062,0.03,12.81,5402,180,0,319712,13.155461819279113,12.57599999999998,11.996538180720846,12.325111105719854,12.966278429735771,13.205726884779512,12.679682781614318,12.846666666666636,12.661907149778097,12.606399603774038,12.846666666666636,12.45,12.52,12.1314992,12.1314992,12.846666666666636,12.73381892528876,12.331259902471173,12.723708333333215,12.654322580645418,-0.242307692,80.21845783578613,-0.214613207,-0.343763494,0.1291502873774868,-0.242307692,-0.41488604,0.1725783475783468,-0.206664934,-0.329035448,0.1223705136934342,1.2049173463687712,0.4900000000000002,0.9235185451736782,-1.903093282,3.970826580226916,0.039708266,1.0397082658022692,103.97082658022693,-0.312198256,-1935753.367,36127.63940440002,-1843846,0.3436560326055589,2.678534938468893,0.1900000000000012,37.44998269598365,29.80026636310137,0.7832405387138763,2.232878929988256,0.4969779951883902,0.965017713,12.805,12.785,12.8,12.8075,1.2886374423223876,12.744571428571437,2.110803270439696,12.265428571428568,0.036857143,0.1390539463695572,12.78142857142858,0.019336,36.98830148102973,39.51400428632735,50.0,85.71428571428572,35.714285714285715,-2.970728961,13.220919752070476,48.294756586853424,25.044089605802355,19.195242949777548,48.51463551928216,78.41530054644808,78.18503625803349,75.40983606557373,78.41530054644808,90.60653463835044,92.99628386725024,58.98082937013264,-24.59016393,0.052631579,1,0.9749829605627386,1,0.1799999999999997,5.0,5.0,5.0,0.7196631154731534,-0.0062409183,-0.008207245,-0.006889063,-0.0048540034,-0.00568158,-0.02672147,-0.014000642,-0.011539316,0.057094637,-0.008029559,0.24399379,0.03345208,0.42361015,0.10172583,-0.20163542,0.02139327,-0.082357876,-0.006636519,-0.0048158914,0.05949671,-0.09648578,0.02704312,-0.010799849,-0.0021541852,-0.028394302,0.0029059902,-0.007632878,0.017649824,-0.0016639758,0.0054634553
2015-04-05,12.78,12.78,12.46,12.51,57632,-0.4,12.6,16,2,0,427010,13.507959464253773,12.97449999999998,12.441040535746192,12.762078237960932,12.98352032302744,12.812775384615389,12.727430003129772,12.772999999999977,13.092712069077944,12.93064361865424,12.772999999999977,12.92,12.935,13.5,-13.5,12.772999999999977,13.052787721239651,12.97987785349228,12.83658333333321,12.90483870967769,0.1444230769230721,-128.5745047,-0.013371537,-0.007772513,-0.005599025,0.1444230769230667,0.2470441595441522,-0.102621083,-0.01184948,-0.00753327,-0.00431621,1.3329143539319728,-0.18,1.237800356160579,1.1271537491744836,-1.418439716,-0.014184397,0.9858156028368794,98.58156028368792,-0.221525749,-1838387.999,-2669.911167,-1685059,0.3997831829718276,3.195708896657295,0.4499999999999993,25.290463575716828,231.82561189549185,0.6357641007584018,0.013216884,-0.786133251,-0.992912481,12.6325,12.62,12.583333333333334,12.565,0.4913122160413925,12.938000000000004,-0.496131273,13.050571428571423,-0.008659341,0.2504715552728996,12.929340659340664,0.062736,17.538080333307608,24.03946093264301,35.714285714285715,85.71428571428572,50.0,-15.86545015,3.699904832,50.632963628975126,23.81495075168176,22.11556536653726,42.06727493,43.952802359882064,58.72371519038737,12.389380530973494,43.952802359882064,4.443666504676076,37.75842618773856,50.32293737609376,-87.61061947,-0.84375,0,0.9444453609775306,-1,0.2400000000000002,5.0,6.8,5.0,0.953016260211845,-0.0070413323,-0.0059629264,-0.0071142595,-0.0037006799,-0.005441291,-0.033102307,0.14492488,-0.00730451,0.09109214,0.015711602,-0.29764935,0.017198501,0.44139975,-0.021712435,-0.17624545,0.01193597,-0.06092652,-0.00568927,-0.0038353875,0.0073437854,-0.10210429,0.021828244,-0.010809349,-0.0020373538,-0.028394802,0.002905981,-0.0076382766,0.01777158,-0.0016639765,-0.009532514
2015-05-05,12.51,12.81,12.41,12.75,60665,0.24,12.62,274,0,242,431945,13.508561678689714,12.973499999999978,12.438438321310242,12.747205158367624,12.968454495735347,12.84090153846154,12.727526578540129,12.773333333333309,13.075576465624046,12.934266939828486,12.773333333333309,12.92,12.935,13.4792,-13.4792,12.773333333333309,12.954366417979635,12.951133498163555,12.864041666666544,12.90335483870995,0.07974359,-86.80434361,-0.027866254,-0.011791261,-0.016074993,0.07974359,0.2290527065526985,-0.149309117,-0.025504286,-0.011127473,-0.014376813,1.2877061857939751,0.3399999999999998,1.149386045006252,0.6212048577819966,2.739726027397249,0.02739726,1.0273972602739725,102.73972602739724,-0.214908823,-1795922.499,2717.628902796656,-1624394,0.3997986699024113,3.1356758423718536,0.4000000000000003,24.861604126493265,240.4348429717916,0.4423325701747381,-0.8545578,-0.869795147,-0.963933735,12.62,12.61,12.656666666666666,12.68,0.4091073763712255,12.875999999999994,-0.885180843,13.076857142857149,-0.015450549,0.240199917,12.860549450549444,0.057696,16.69076187499676,23.123615974413354,28.571428571428573,78.57142857142857,50.0,-6.883312304,5.675621916955756,61.97477289110553,23.00633298596833,20.53508663122144,46.55834384819731,31.26843657817116,45.68753213715473,33.62831858407084,31.26843657817116,29.97895517,24.87490854986556,52.37386253839341,-66.37168142,0.6,0,0.9463418422806767,1,0.1199999999999992,5.0,5.0,5.0,0.486309970734462,-0.0067816386,-0.0056937453,-0.006357085,-0.0038389554,-0.0037829631,-0.011757471,0.042059585,-0.016870802,0.05782363,-0.036210734,-0.10696572,-0.02808527,0.582063,-0.036718756,-0.108786896,0.019311933,-0.06495876,-0.0060328017,-0.0044996417,0.023366902,-0.0915755,0.014755644,-0.010818988,-0.0018928979,-0.028392423,0.0029059902,-0.007624831,0.01765698,-0.001663976,-0.013183083
