Date,NET_SENTIMENT,UNCERTAINTY_MODAL,REGULATORY_PRESSURE,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE
2014-01-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-04,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-08,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-10,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-12,-1.0,0.0,0.0,3.25,5.0,5.0
2014-01-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-14,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-15,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-16,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-17,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-18,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-23,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-24,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-25,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-26,0.0,0.0,0.0,5.0,5.0,5.0
2014-01-29,0.0,2.0,1.0,5.0,8.0,8.0
2014-01-30,-1.0,2.0,0.0,3.25,8.0,5.0
2014-01-31,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-04,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-07,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-08,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-10,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-12,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-15,0.0,1.0,0.0,5.0,7.0,5.0
2014-02-18,0.0,1.0,0.0,5.0,7.0,5.0
2014-02-22,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-24,0.0,0.0,0.0,5.0,5.0,5.0
2014-02-26,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-01,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-04,-1.0,1.0,0.0,3.25,7.0,5.0
2014-03-07,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-08,0.0,1.0,0.0,5.0,7.0,5.0
2014-03-09,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-18,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-19,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-22,0.0,1.0,0.0,5.0,7.0,5.0
2014-03-23,0.0,0.0,0.0,5.0,5.0,5.0
2014-03-31,-1.0,1.0,0.0,3.25,7.0,5.0
2014-04-01,0.0,1.0,0.0,5.0,7.0,5.0
2014-04-02,0.0,2.0,1.0,5.0,8.0,8.0
2014-04-08,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-11,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-12,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-13,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-17,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-18,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-19,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-20,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-21,0.0,0.0,0.0,5.0,5.0,5.0
2014-04-23,0.0,1.0,0.0,5.0,7.0,5.0
2014-04-25,-1.0,0.0,0.0,3.25,5.0,5.0
2014-05-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-05,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-10,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-12,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-15,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-17,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-24,0.0,1.0,0.0,5.0,7.0,5.0
2014-05-25,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-26,0.0,0.0,0.0,5.0,5.0,5.0
2014-05-29,-1.0,0.0,1.0,3.25,5.0,8.0
2014-05-31,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-03,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-06,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-07,0.0,1.0,0.0,5.0,7.0,5.0
2014-06-11,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-14,0.0,2.0,0.0,5.0,8.0,5.0
2014-06-17,-1.0,0.0,0.0,3.25,5.0,5.0
2014-06-20,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-21,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-25,-1.0,0.0,0.0,3.25,5.0,5.0
2014-06-27,0.0,0.0,0.0,5.0,5.0,5.0
2014-06-28,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-01,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-08,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-14,0.0,0.0,0.0,5.0,5.0,5.0
2014-07-15,0.0,0.0,0.0,5.0,5.0,5.0
