Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE
02/01/2014,84.6,85.07,83.5,84.04,12678,0.0,0.0,0,40,0,0,111938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3956.828025,,12678,,,,,,,,,,84.30250000000001,84.285,84.20333333333333,84.1625,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.356687898,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.94,-1.1,-0.013089005,-1.0,84.285,83.545,-0.74,-0.008779735,-1.0,5.0,5.0,5.0
03/01/2014,84.12,84.19,82.9,82.94,13526,-1.1,0.0,160,0,0,0,111724,,,,,,,,,,,,,,85.07,-85.07,,,,,,,,,,,,,,,,,,,,,,,,,,-16644.00632,,-848,,,1.289999999999992,,,,,,,83.5375,83.545,83.34333333333333,83.2425,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.914728682,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.63,0.6899999999999977,0.008319267,1.0,83.545,83.22999999999999,-0.315,-0.003770423,-1.0,5.0,5.0,5.0
06/01/2014,82.93,83.8,82.66,83.63,9466,0.69,0.0,127,0,0,0,111430,,,,,,,,,,,,,,85.02659999999999,-85.0266,,,,,,,,,,,,,,,,,,,,,,,,,,-10001.1993,,8618,,,1.1400000000000006,,,,,,,83.255,83.22999999999999,83.36333333333333,83.42999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6140350877192879,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.67,1.0400000000000065,0.012435729,1.0,83.22999999999999,84.24000000000001,1.010000000000019,0.012135047,1.0,3.6666666666666665,5.0,5.0
07/01/2014,83.6,85.03,83.45,84.67,9582,1.04,0.0,0,0,0,0,111126,,,,,,,,,,,,,,82.66,82.66,,,,,,,,,,,,,,,,,,,,,,,,,,-4785.680315,,18200,,,1.5799999999999983,,,,,,,84.1875,84.24000000000001,84.38333333333334,84.45500000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6772151898734231,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.14,-1.53,-0.018070155,-1.0,84.24000000000001,83.845,-0.395,-0.004688984,-1.0,5.0,5.0,5.0
08/01/2014,84.48,84.67,83.02,83.14,15746,-1.53,0.0,149,0,0,0,111230,,,,,,,,,,,,,,82.66,82.66,,,,,,,,,,,,,,,,,,,,,,,,,,-18241.35304,,2454,,,1.6500000000000057,,,,,,,83.8275,83.845,83.61,83.4925,,,,,,0.6247111332459826,,0.3902640000014798,,,,,,,,,,,,,,,,,,,,-0.812121212,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.81,-0.33,-0.003969209,-1.0,83.845,83.68,-0.165,-0.001967917,-1.0,3.6666666666666665,5.0,7.333333333333333
09/01/2014,83.23,84.63,82.73,82.81,17542,-0.33,0.0,30,22,0,0,110121,,,,,,,,,,,,,,82.70739999999999,82.70739999999999,,,,,,,,,,,,,,,,,,,,,,,,,,-34306.13199,,-15088,,,1.899999999999992,,,,,,,83.35000000000001,83.68,83.39,83.245,0.6786555226731905,,,,,0.6761479128119012,,0.4571759999998903,,,,,,,,,,,,,,,,,,,,-0.221052632,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.59,-0.22,-0.002656684,-1.0,83.68,83.235,-0.445,-0.005317878,-1.0,5.0,5.0,5.0
10/01/2014,82.77,84.08,82.39,82.59,19762,-0.22,0.0,543,0,0,0,109033,,,,,,,,,,,,,,85.03,-85.03,,,,,,,,,,,,,,,,,,,,,,,,,,-49390.73554,,-34850,,,1.6899999999999975,,,,,,,82.9575,83.235,83.02,82.9125,0.6816287679644505,,,,,0.7392536777040911,,0.5464959999990242,,,,,,,,,,,,,,,,,,,,-0.106508876,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.68,1.0900000000000034,0.013197724,1.0,83.235,83.545,0.3100000000000023,0.003724395,1.0,5.0,5.0,5.0
13/01/2014,82.73,84.47,82.62,83.68,17770,1.09,0.0,168,0,0,0,109210,,,,,,,,,,,,,,84.9772,-84.9772,,,,,,,,,,,,,,,,,,,,,,,,,,-46797.27608,,-17080,,,1.879999999999996,,,,,,,83.375,83.545,83.59,83.61250000000001,0.718078783,,,,,0.7430585441258495,,0.552136,,,,,,,,,,,,,,,,,,,,0.5135135135135166,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.73,0.05,0.000597514,1.0,83.545,83.825,0.2800000000000011,0.003351487,1.0,5.0,5.0,5.0
14/01/2014,83.52,84.31,83.34,83.73,12301,0.05,0.0,250,0,0,0,109736,,,,,,,,,,,,,,84.925456,-84.925456,,,,,,,,,,,,,,,,,,,,,,,,,,-49206.75031,,-4779,,,0.9699999999999988,,,,,,,83.725,83.825,83.79333333333334,83.7775,0.6253009530459193,,,,,0.4557630963533657,,0.2077199999976073,,,,,,,,,,,,,,,,,,,,0.2164948453608332,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.79,1.0600000000000025,0.01265974,1.0,83.825,84.25999999999999,0.435,0.005189383,1.0,5.0,5.0,5.0
15/01/2014,83.7,84.89,83.63,84.79,12926,1.06,0.0,356,0,0,0,108279,,,,,,,,,,,,,,82.39,82.39,,,,,,,,,,,,,,,,,,,,,,,,,,-38332.49634,-10998.04249,8147,,,1.2600000000000051,,,,,,,84.2525,84.25999999999999,84.43666666666667,84.525,0.3949816132706157,,,,,0.7812297997369568,,0.6103199999970457,,,,,,,,,,,,,,,,,,,,0.8650793650793642,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,86.19,1.3999999999999917,0.016511381,1.0,84.25999999999999,85.49000000000001,1.2300000000000182,0.014597674,1.0,5.0,5.0,5.0
