Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-09-25,2.5202999114990234,2.532900094985962,2.507999897003174,2.52020001411438,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,2.5203499794006348,2.520449995994568,2.520366668701172,2.520325005054474,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.004011911259203937,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5064001083374023,-0.013799905776977539,-0.005475718474601686,-1.0,2.520449995994568,2.51324999332428,-0.007200002670288086,-0.002856633808141458,-1.0
2014-09-26,2.506999969482422,2.521699905395508,2.5048000812530518,2.5064001083374023,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.532900094985962,-2.532900094985962,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.016899824142456055,,,,,,,2.509975016117096,2.51324999332428,2.510966698328654,2.509825050830841,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035495111662881086,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5197999477386475,0.013399839401245117,0.005346249131043079,1.0,2.51324999332428,2.5196999311447144,0.00644993782043457,0.002566373356238719,1.0
2014-09-29,2.5188000202178955,2.524899959564209,2.5144999027252197,2.5197999477386475,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.532338094711304,-2.532338094711304,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.01849985122680664,,,,,,,2.519499957561493,2.5196999311447144,2.519733270009359,2.519749939441681,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0961463515279338,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5220999717712402,0.0023000240325927734,0.0009127804112611765,1.0,2.5196999311447144,2.5283000469207764,0.008600115776062012,0.003413150776312848,1.0
2014-09-30,2.5220000743865967,2.5422000885009766,2.514400005340576,2.5220999717712402,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.5048000812530518,2.5048000812530518,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.02780008316040039,,,,,,,2.5251750349998474,2.5283000469207764,2.526233355204264,2.5252000093460083,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035934203529956604,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5134999752044678,-0.008599996566772461,-0.003409855542218173,-1.0,2.5283000469207764,2.517199993133545,-0.011100053787231445,-0.0043903229764007765,-1.0
2014-10-01,2.5137999057769775,2.523099899291992,2.5113000869750977,2.5134999752044678,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.50554808139801,2.50554808139801,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.011799812316894531,,,,,,,2.515424966812134,2.517199993133545,2.5159666538238525,2.5153499841690063,,,,,,0.005777497852358218,,3.337948143400382e-05,,,,,,,,,,,,,,,,,,,,-0.025418249414046714,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5164999961853027,0.003000020980834961,0.001193563163091305,1.0,2.517199993133545,2.5079500675201416,-0.00924992561340332,-0.003674688399267203,-1.0
2014-10-02,2.5165998935699463,2.5178000926971436,2.4981000423431396,2.5164999961853027,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.5422000885009766,-2.5422000885009766,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.019700050354003906,,,,,,,2.512250006198883,2.5079500675201416,2.510800043741862,2.512225031852722,0.21263129945721743,,,,,0.005472281023488604,,2.9945859600033486e-05,,,,,,,,,,,,,,,,,,,,-0.0050709202691581546,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4999001026153564,-0.01659989356994629,-0.006596421059054098,-1.0,2.5079500675201416,2.5085999965667725,0.0006499290466308594,0.00025914752253162224,1.0
2014-10-03,2.500200033187866,2.5171000957489014,2.5000998973846436,2.4999001026153564,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.5413180875778196,-2.5413180875778196,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.017000198364257812,,,,,,,2.504325032234192,2.5085999965667725,2.5057000319163003,2.5042500495910645,0.22105327587270612,,,,,0.0077962561927971555,,6.0781610623728e-05,,,,,,,,,,,,,,,,,,,,-0.01764276898911702,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5132999420166016,0.013399839401245117,0.005360149946482427,1.0,2.5085999965667725,2.504599928855896,-0.004000067710876465,-0.0015945418625332415,-1.0
2014-10-06,2.5132999420166016,2.5167999267578125,2.4923999309539795,2.5132999420166016,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.540453726673126,-2.540453726673126,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.024399995803833008,,,,,,,2.508949935436249,2.504599928855896,2.507499933242798,2.508949935436249,0.13796276815618724,,,,,0.007307375902565561,,5.3397742581395846e-05,,,,,,,,,,,,,,,,,,,,0.0,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.484600067138672,-0.028699874877929688,-0.01141920007164036,-1.0,2.504599928855896,2.4916499853134155,-0.012949943542480469,-0.0051704639105360104,-1.0
2014-10-07,2.484800100326538,2.500200033187866,2.483099937438965,2.484600067138672,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.53853157484436,-2.53853157484436,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.03020000457763672,,,,,,,2.4881750345230103,2.4916499853134155,2.489300012588501,2.4881250262260437,0.07186810790175593,,,,,0.011949783672975533,,0.00014279732983091264,,,,,,,,,,,,,,,,,,,,-0.011697781743652663,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4911999702453613,0.006599903106689453,0.00265632412796723,1.0,2.4916499853134155,2.498800039291382,0.007150053977966309,0.002869606092393001,1.0
2014-10-08,2.4916999340057373,2.5127999782562256,2.484800100326538,2.4911999702453613,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,2.5352056766000364,-2.5352056766000364,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.02819991111755371,,,,,,,2.4951249957084656,2.498800039291382,2.4962666829427085,2.4950000047683716,0.4373703681697146,,,,,0.012310130746806413,,0.00015153931900346862,,,,,,,,,,,,,,,,,,,,-0.017855926430517713,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.505199909210205,0.01399993896484375,0.005619757198160563,1.0,2.498800039291382,2.5091999769210815,0.010399937629699707,0.0041619727333800415,1.0
