Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-01-02 00:00:00+00:00,422.0,427.25,418.5,420.5,,420.5,136702.0,644246.0
2014-01-03 00:00:00+00:00,420.5,424.0,417.0,423.5,,423.5,110986.0,643481.0
2014-01-06 00:00:00+00:00,423.5,428.0,423.5,427.75,,427.75,97529.0,646371.0
2014-01-07 00:00:00+00:00,427.0,430.0,425.25,426.0,,426.0,125531.0,642168.0
2014-01-08 00:00:00+00:00,425.25,427.75,414.0,417.0,,417.0,223358.0,638108.0
2014-01-09 00:00:00+00:00,416.0,416.75,408.0,412.0,,412.0,227844.0,654571.0
2014-01-10 00:00:00+00:00,411.5,433.0,406.25,432.75,,432.75,366407.0,654595.0
2014-01-13 00:00:00+00:00,431.75,435.5,430.5,434.5,,434.5,218088.0,653348.0
2014-01-14 00:00:00+00:00,433.5,434.0,427.25,431.5,,431.5,157928.0,646057.0
2014-01-15 00:00:00+00:00,431.0,431.5,425.5,425.75,,425.75,119249.0,635767.0
2014-01-16 00:00:00+00:00,425.75,430.0,425.0,428.0,,428.0,133073.0,634451.0
2014-01-17 00:00:00+00:00,427.0,428.0,422.25,424.0,,424.0,95820.0,627096.0
2014-01-21 00:00:00+00:00,424.0,425.75,421.0,425.0,,425.0,133526.0,623831.0
2014-01-22 00:00:00+00:00,425.0,429.0,424.5,426.25,,426.25,115230.0,617271.0
2014-01-23 00:00:00+00:00,426.0,431.25,425.75,429.0,,429.0,158101.0,605446.0
2014-01-24 00:00:00+00:00,428.5,430.25,425.5,429.5,,429.5,127514.0,605588.0
2014-01-27 00:00:00+00:00,428.75,432.75,427.0,431.75,,431.75,133233.0,592822.0
2014-01-28 00:00:00+00:00,431.0,433.75,430.75,432.0,,432.0,119610.0,586734.0
2014-01-29 00:00:00+00:00,431.25,431.75,427.0,427.5,,427.5,149060.0,580742.0
2014-01-30 00:00:00+00:00,427.5,434.5,427.25,433.5,,433.5,175648.0,571422.0
2014-01-31 00:00:00+00:00,432.5,434.75,431.25,434.0,,434.0,136180.0,563773.0
2014-02-03 00:00:00+00:00,433.5,438.75,433.25,435.75,,435.75,168997.0,548816.0
2014-02-04 00:00:00+00:00,435.5,442.0,434.5,441.75,,441.75,181700.0,529255.0
2014-02-05 00:00:00+00:00,441.0,444.0,439.0,443.25,,443.25,170599.0,521154.0
2014-02-06 00:00:00+00:00,442.5,447.25,441.25,443.0,,443.0,192671.0,498478.0
2014-02-07 00:00:00+00:00,442.5,445.0,440.5,444.25,,444.25,172337.0,481809.0
2014-02-10 00:00:00+00:00,442.75,449.0,440.0,443.0,,443.0,253980.0,462818.0
2014-02-11 00:00:00+00:00,442.75,444.0,437.25,441.5,,441.5,222465.0,438035.0
2014-02-12 00:00:00+00:00,440.75,445.75,439.25,440.0,,440.0,210407.0,403064.0
2014-02-13 00:00:00+00:00,439.75,442.0,439.0,440.5,,440.5,175116.0,370988.0
2014-02-14 00:00:00+00:00,440.25,446.0,438.0,445.25,,445.25,178106.0,354555.0
2014-02-18 00:00:00+00:00,445.0,450.0,444.5,449.4,4.2,449.5,140856.0,332167.0
2014-02-19 00:00:00+00:00,448.5,455.25,448.25,454.6,4.2,453.75,243252.0,307257.0
2014-02-20 00:00:00+00:00,453.25,456.5,451.0,456.2,2.0,455.75,191899.0,268137.0
2014-02-21 00:00:00+00:00,455.5,456.5,450.25,452.2,2.6,453.0,145346.0,244376.0
2014-02-24 00:00:00+00:00,451.5,452.75,445.5,451.4,1.4,451.5,142118.0,200173.0
2014-02-25 00:00:00+00:00,451.0,456.25,448.25,455.4,4.2,455.75,125456.0,163274.0
2014-02-26 00:00:00+00:00,454.75,459.0,452.0,452.0,0.2,455.5,113557.0,129328.0
2014-02-27 00:00:00+00:00,455.0,458.0,447.0,447.4,7.4,448.0,141868.0,92724.0
2014-02-28 00:00:00+00:00,448.0,458.75,447.75,458.0,9.4,457.5,37182.0,38695.0
2014-03-03 00:00:00+00:00,459.0,476.25,457.25,465.0,6.4,464.0,21627.0,25472.0
2014-03-04 00:00:00+00:00,462.75,477.5,458.0,476.6,12.6,476.75,11017.0,17412.0
2014-03-05 00:00:00+00:00,475.0,481.0,472.25,475.25,,475.25,6802.0,11533.0
2014-03-06 00:00:00+00:00,474.25,487.25,473.75,486.0,10.4,485.75,4551.0,9080.0
2014-03-07 00:00:00+00:00,485.25,495.0,478.0,481.0,4.6,481.0,7141.0,7124.0
2014-03-10 00:00:00+00:00,479.0,481.25,470.25,473.0,9.0,472.0,1694.0,3772.0
2014-03-11 00:00:00+00:00,471.75,480.0,468.25,478.0,6.0,478.0,1424.0,2879.0
2014-03-12 00:00:00+00:00,477.75,484.5,472.0,484.2,6.2,484.25,1137.0,1938.0
2014-03-13 00:00:00+00:00,483.75,486.25,477.5,483.2,,484.25,1168.0,1150.0
2014-03-14 00:00:00+00:00,484.5,484.75,480.5,485.2,1.0,472.25,316.0,515.0
