Ticker_Symbol,Model_1,Model_2,Model_3,Model_1_Sign_Accuracy,Model_2_Sign_Accuracy,Model_3_Sign_Accuracy,Ensemble_Sign_Accuracy
MYR=X,GBT_1_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_5_Sign_Accuracy,71.10128617,71.02090032,68.60932476,70.37781350482315
MYRPKR=X,GBT_5_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,60.59629331,58.21917808,58.21917808,59.38759065269944
NPR=X,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_1_Sign_Accuracy,84.7573205,80.10429202,78.09867629,81.42799839550742
NZDSGD=X,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,RF_5_Sign_Accuracy,85.00201045,80.1367109,78.68918376,81.70486529955771
NZDUSD=X,GBT_2_Sign_Accuracy,GBT_5_Sign_Accuracy,RF_5_Sign_Accuracy,87.43476515,84.70493778,83.34002409,86.31071858691288
PGK=X,GBT_5_Sign_Accuracy,RF_2_Sign_Accuracy,GBT_2_Sign_Accuracy,61.41826923,61.29807692,61.09775641,61.418269230769226
PHP=X,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_2_Sign_Accuracy,87.66572921,75.57251908,73.84491764,79.75090397750101
PKR=X,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_2_Sign_Accuracy,62.68596703,62.20345798,61.60032167,62.364294330518696
SAR=X,GRNN_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,66.33306645,65.69255404,65.41232986,65.89271417133708
SGD=X,GBT_5_Sign_Accuracy,RF_2_Sign_Accuracy,GBT_3_Sign_Accuracy,89.15662651,78.79518072,77.30923695,82.61044176706828
SGDCNY=X,GBT_3_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_4_Sign_Accuracy,72.08835341,71.3253012,71.04417671,71.76706827309238
SGDHKD=X,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_4_Sign_Accuracy,78.7429944,78.58286629,78.34267414,79.86389111289031
SGDIDR=X,GBT_5_Sign_Accuracy,GRNN_5_Sign_Accuracy,GBT_4_Sign_Accuracy,63.74388254,55.30179445,54.24143556,62.88743882544862
SGDINR=X,GBT_2_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,73.4644721,72.50100361,72.38057005,73.5046166198314
SGDJPY=X,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_1_Sign_Accuracy,81.3831926,80.41817451,76.71893848,80.13671089666265
SGDKRW=X,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_5_Sign_Accuracy,82.15286114,78.95158063,75.99039616,79.63185274109644
SGDMYR=X,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,68.23482107,63.7314033,62.7663852,64.69642139123441
SGDTHB=X,GBT_5_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_4_Sign_Accuracy,67.85571142,67.05410822,66.85370741,68.69739478957916
Soya Bean,GBT_4_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_3_Sign_Accuracy,80.0,75.31073446,71.01694915,78.19209039548024
Sugar,GBT_2_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,70.10078387,69.98880179,68.19708847,72.00447928331467
THB=X,GBT_3_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_2_Sign_Accuracy,78.18400964,75.65287264,74.84933708,77.46082764162314
THBCNY=X,GBT_4_Sign_Accuracy,RF_2_Sign_Accuracy,RF_4_Sign_Accuracy,78.09485531,77.85369775,76.80868167,78.21543408360128
THBHKD=X,GBT_5_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_3_Sign_Accuracy,89.3129771,83.60787465,79.75090398,87.02290076335878
THBZAR=X,GBT_1_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_4_Sign_Accuracy,87.45003997,87.17026379,81.77458034,86.89048760991207
TRY=X,GBT_3_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_4_Sign_Accuracy,73.4375,68.91025641,68.14903846,70.2724358974359
VND=X,GBT_4_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_5_Sign_Accuracy,60.42587384,59.14021695,55.8055444,59.26074728806749
Wheat,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,GBT_1_Sign_Accuracy,81.95149464,80.76706148,75.52171461,81.44388042865201
XAF=X,GBT_2_Sign_Accuracy,RF_3_Sign_Accuracy,GBT_3_Sign_Accuracy,84.96784566,83.40032154,81.87299035,83.80225080385853
XOF=X,GBT_1_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_3_Sign_Accuracy,65.37074148,64.04809619,63.88777555,64.04809619238478
