Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Last,Previous Day Open Interest,BB_UPPER,BB_MIDDLE,BB_LOWER,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,APO,CCI,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MINUS_DM,MOM,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,TRIX,AD,ADOSC,OBV,ATR,NATR,TRANGE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,BETA,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,ADX,ADXR,AROON_down,AROON_up,AROONOSC,CMO,DX,MFI,MINUS_DI,PLUS_DI,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,ULTOSC,WILLR,BOP,HT_TRENDMODE,CORREL,DEMA_Trend,EMA_Trend,HT_TRENDLINE_Trend,KAMA_Trend,MA_Trend,MAMA_Trend,MAVP_Trend,MIDPOINT_Trend,MIDPRICE_Trend,SAR_Trend,SAREXT_Trend,SMA_Trend,T3_Trend,TEMA_Trend,TRIMA_Trend,WMA_Trend,ADX_Trend,ADXR_Trend,AROONOSC_Trend,DX_Trend,TRIX_Trend,DMI_Trend,AROON_Up_Trend,AROON_Down_Trend,PM_Uptrend,PM_Downtrend,ROC_Trend,ROCP_Trend,ROCR_Trend,ROCR100_Trend,ROC_Buy_Sell_Signal,ROCP_Buy_Sell_Signal,ROCR_Buy_Sell_Signal,ROCR100_Buy_Sell_Signal,APO_Buy_Sell_Signal,MACD_Buy_Sell_Signal,MACDEXT_Buy_Sell_Signal,MACDFIX_Buy_Sell_Signal,PPO_Buy_Sell_Signal,MOM_Buy_Sell_Signal,STOCH_Buy_Sell_Signal,STOCHF_Buy_Sell_Signal,STOCHRSI_Buy_Sell_Signal,ULTOSC_Buy_Sell_Signal,WILLR_Buy_Sell_Signal,BOP_Buy_Sell_Pressure,MFI_Buy_Sell_Pressure,AD_Buy_Sell_Pressure,ADOSC_Buy_Sell_Pressure,OBV_Buy_Sell_Pressure,BB_Overbought_Oversold_Signal,CCI_Overbought_Oversold_Signal,RSI_Overbought_Oversold_Signal,STOCH_Overbought_Oversold_Signal,STOCHF_Overbought_Oversold_Signal,STOCHRSI_Overbought_Oversold_Signal,ULTOSC_Overbought_Oversold_Signal,WILLR_Overbought_Oversold_Signal,BB_RSI_Reversal,BB_Volatility,ATR_Volatility,NATR_Volatility,TRANGE_Volatility,PATTERN_SUM,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,DAILY_CLOSEPRICE_CHANGE_PERCENT,DAILY_CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,DAILY_MIDPRICE_CHANGE_PERCENT,DAILY_MIDPRICE_DIRECTION
2014-01-02,16.38,16.42,16.25,16.29,31888.0,0.0,0.0,99.0,20.0,0.0,0,413914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16881.882352941648,,31888.0,,,,,,,,,,16.335,16.335,16.32,16.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5294117647058763,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08,-0.21000000000000085,-0.012891344383057144,-1.0,16.335,16.215,-0.120000000000001,-0.007346189164371043,-1.0
2014-01-03,16.28,16.37,16.06,16.08,44541.0,-0.21,0.0,1295.0,478.0,300.0,0,412411.0,,,,,,,,,,,,,,16.42,-16.42,,,,,,,,,,,,,,,,,,,,,,,,,,-55675.6565464902,,-12653.0,,,0.3100000000000023,,,,,,,16.197499999999998,16.215,16.169999999999998,16.1475,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6451612903225851,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08,0.0,0.0,0.0,16.215,16.065,-0.14999999999999858,-0.009250693802035066,-1.0
2014-01-06,16.08,16.16,15.97,16.08,32954.0,0.0,0.0,1619.0,41.0,200.0,0,413762.0,,,,,,,,,,,,,,16.4128,-16.4128,,,,,,,,,,,,,,,,,,,,,,,,,,-50472.39338859618,,-12653.0,,,0.1899999999999995,,,,,,,16.072499999999998,16.065,16.07,16.072499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.06,-0.019999999999999574,-0.0012437810945273367,-1.0,16.065,16.085,0.019999999999999574,0.001244942421412983,1.0
2014-01-07,16.1,16.19,15.98,16.06,36914.0,-0.02,0.0,2370.0,325.0,227.0,0,413933.0,,,,,,,,,,,,,,16.395088,-16.395088,,,,,,,,,,,,,,,,,,,,,,,,,,-59261.44100764451,,-49567.0,,,0.21000000000000085,,,,,,,16.082500000000003,16.085,16.076666666666668,16.072499999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.19047619047620257,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.74,-0.3199999999999985,-0.01992528019925271,-1.0,16.085,15.89,-0.19500000000000028,-0.012123096052222586,-1.0
2014-01-08,16.08,16.09,15.69,15.74,71115.0,-0.32,0.0,4115.0,0.0,200.0,0,413977.0,,,,,,,,,,,,,,16.378084480000002,-16.378084480000002,,,,,,,,,,,,,,,,,,,,,,,,,,-112597.69100764427,,-120682.0,,,0.40000000000000036,,,,,,,15.9,15.89,15.840000000000002,15.815000000000001,,,,,,0.17640861656972429,,0.031120000000044,,,,,,,,,,,,,,,,,,,,-0.8499999999999944,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.48,-0.2599999999999998,-0.01651842439644217,-1.0,15.89,15.594999999999999,-0.2950000000000017,-0.018565135305223517,-1.0
2014-01-09,15.78,15.78,15.41,15.48,78724.0,-0.26,0.0,1305.0,35.0,0.0,0,406794.0,,,,,,,,,,,,,,16.3367994112,-16.3367994112,,,,,,,,,,,,,,,,,,,,,,,,,,-161534.23154818465,,-199406.0,,,0.3699999999999992,,,,,,,15.6125,15.594999999999999,15.556666666666667,15.5375,0.5412176656110406,,,,,0.24152846623132004,,0.0583360000000539,,,,,,,,,,,,,,,,,,,,-0.8108108108108096,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.57,0.08999999999999986,0.005813953488372083,1.0,15.594999999999999,15.515,-0.0799999999999983,-0.00512984931067639,-1.0
2014-01-10,15.46,15.6,15.43,15.57,42348.0,0.09,0.0,5259.0,100.0,0.0,0,405799.0,,,,,,,,,,,,,,16.262655458304,-16.262655458304,,,,,,,,,,,,,,,,,,,,,,,,,,-134132.5844893608,,-157058.0,,,0.16999999999999993,,,,,,,15.515,15.515,15.533333333333333,15.5425,0.538658192557116,,,,,0.2465441136999,,0.06078400000006923,,,,,,,,,,,,,,,,,,,,0.6470588235294087,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,0.02999999999999936,0.0019267822736030418,1.0,15.515,15.565,0.049999999999998934,0.003222687721559712,1.0
2014-01-13,15.59,15.69,15.44,15.6,31291.0,0.03,0.0,3141.0,253.0,0.0,0,400512.0,,,,,,,,,,,,,,16.194443021639678,-16.194443021639678,,,,,,,,,,,,,,,,,,,,,,,,,,-125371.10448936076,,-125767.0,,,0.25,,,,,,,15.579999999999998,15.565,15.576666666666666,15.5825,0.6183541541102403,,,,,0.20297783130213295,,0.04120000000011714,,,,,,,,,,,,,,,,,,,,0.03999999999999915,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.49,-0.10999999999999943,-0.007051282051282015,-1.0,15.565,15.55,-0.014999999999998792,-0.0009637006103436423,-1.0
2014-01-14,15.61,15.67,15.43,15.49,38518.0,-0.11,0.0,1478.0,0.0,0.0,0,400354.0,,,,,,,,,,,,,,16.131687579908505,-16.131687579908505,,,,,,,,,,,,,,,,,,,,,,,,,,-144630.10448936062,,-164285.0,,,0.2400000000000002,,,,,,,15.55,15.55,15.530000000000001,15.52,0.6059229437639105,,,,,0.09393614852716631,,0.008824000000117849,,,,,,,,,,,,,,,,,,,,-0.4999999999999963,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23,-0.2599999999999998,-0.01678502259522271,-1.0,15.55,15.31,-0.2400000000000002,-0.015434083601286187,-1.0
2014-01-15,15.49,15.49,15.13,15.23,70482.0,-0.26,0.0,1827.0,1787.0,0.0,0,402884.0,,,,,,,,,,,,,,16.073952573515825,-16.073952573515825,,,,,,,,,,,,,,,,,,,,,,,,,,-175955.43782269402,-42716.527925857896,-234767.0,,,0.35999999999999943,,,,,,,15.335,15.31,15.283333333333333,15.27,0.7434413112663202,,,,,0.13032267646173473,,0.01698400000014999,,,,,,,,,,,,,,,,,,,,-0.7222222222222228,0,,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.45,0.21999999999999886,0.014445173998686727,1.0,15.31,15.315,0.004999999999999005,0.00032658393207047714,1.0
