Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume,COP=X_High_Model,COP=X_Low_Model,VND=X_High_Model,VND=X_Low_Model,BRL=X_High_Model,BRL=X_Low_Model
2014-01-02 00:00:00+00:00,111.05,112.3,110.2,111.4,,,10192.0,88724.0,172.0,,,1932.639989013672,1931.3744995117188,21076.3,20796.4,2.401365947723389,2.333368000984192
2014-01-03 00:00:00+00:00,111.5,116.55,111.2,116.35,4.95,,14996.0,88675.0,602.0,,,1944.4719970703125,1934.079501953125,21073.5,20813.96,2.388272988796234,2.3356230521202086
2014-01-06 00:00:00+00:00,116.5,121.45,115.7,121.0,4.65,,20147.0,86833.0,677.0,12.0,,1944.78599609375,1933.5635107421876,21074.05,20811.97,2.3850480246543886,2.3370350551605226
2014-01-07 00:00:00+00:00,121.5,122.6,116.65,117.25,-3.75,,25052.0,87220.0,750.0,30.0,,1935.8474682617189,1929.5429760742188,21073.95,20823.49,2.369090032577515,2.33080600976944
2014-01-08 00:00:00+00:00,117.55,121.5,117.55,120.9,3.65,,19269.0,85524.0,546.0,100.0,,1932.0894934082032,1927.01,21074.1,20810.73,2.3675800585746765,2.337104012966156
2014-01-09 00:00:00+00:00,120.9,121.5,118.3,119.35,-1.55,,17613.0,85170.0,373.0,51.0,,1933.75298828125,1930.4114990234373,21075.25,20817.12,2.394844958782196,2.3634189891815187
2014-01-10 00:00:00+00:00,118.55,120.9,117.85,120.65,1.3,,14448.0,84783.0,391.0,8.0,,1931.9214990234373,1927.895,21072.3,20814.69,2.3967259335517883,2.348262085914612
2014-01-13 00:00:00+00:00,120.35,121.05,118.75,119.85,-0.8,,14438.0,85819.0,419.0,13.0,,1924.3056688639324,1921.67,21075.6,20831.42,2.3595560145378114,2.338529977798462
2014-01-14 00:00:00+00:00,119.75,120.5,118.15,119.2,-0.65,,13400.0,84134.0,411.0,18.0,,1931.5084814453128,1923.7525,21073.9,20824.36,2.382638008594513,2.3407119703292847
2014-01-15 00:00:00+00:00,118.8,119.2,115.95,117.2,-2.0,,13263.0,84026.0,533.0,,,1933.9639990234373,1931.9489130434783,21073.4,20813.96,2.362651040554047,2.342581963539124
2014-01-16 00:00:00+00:00,117.5,119.75,117.35,118.35,1.15,,9781.0,83227.0,240.0,3.0,,1944.635,1936.4260983199329,21069.7,20796.52,2.3743979692459107,2.3407279801368714
2014-01-17 00:00:00+00:00,118.0,118.1,116.3,117.15,-1.2,,8015.0,82941.0,286.0,,,1946.75,1943.497866368659,21071.95,20805.69,2.362500970363617,2.326766011714936
