Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,INR=X_High_Model,INR=X_Low_Model,BRL=X_High_Model,BRL=X_Low_Model,CNY=X_High_Model,CNY=X_Low_Model
2014-01-02 00:00:00+00:00,422.0,427.25,418.5,420.5,,420.5,136702.0,644246.0,62.39243503570557,61.56204055786133,2.401365947723389,2.333368000984192,6.071830153465271,6.0539648151397705
2014-01-03 00:00:00+00:00,420.5,424.0,417.0,423.5,,423.5,110986.0,643481.0,62.38304016113281,61.566060066223145,2.388272988796234,2.3356230521202086,6.078689041137696,6.055177826881408
2014-01-06 00:00:00+00:00,423.5,428.0,423.5,427.75,,427.75,97529.0,646371.0,62.39737548828125,61.48206943511963,2.3850480246543886,2.3370350551605226,6.080013036727905,6.055177826881408
2014-01-07 00:00:00+00:00,427.0,430.0,425.25,426.0,,426.0,125531.0,642168.0,62.50662967681885,61.98834041595459,2.369090032577515,2.33080600976944,6.080013036727905,6.055177826881408
2014-01-08 00:00:00+00:00,425.25,427.75,414.0,417.0,,417.0,223358.0,638108.0,62.19459510803223,61.46185073852539,2.3675800585746765,2.337104012966156,6.078226041793823,6.055177826881408
2014-01-09 00:00:00+00:00,416.0,416.75,408.0,412.0,,412.0,227844.0,654571.0,62.244680404663086,61.62605033874512,2.394844958782196,2.3634189891815187,6.071830153465271,6.0539648151397705
2014-01-10 00:00:00+00:00,411.5,433.0,406.25,432.75,,432.75,366407.0,654595.0,62.17249450683594,61.43213691075643,2.3967259335517883,2.348262085914612,6.071830153465271,6.0539648151397705
2014-01-13 00:00:00+00:00,431.75,435.5,430.5,434.5,,434.5,218088.0,653348.0,61.642610502243045,61.22264983558655,2.3595560145378114,2.338529977798462,6.078226041793823,6.055177826881408
2014-01-14 00:00:00+00:00,433.5,434.0,427.25,431.5,,431.5,157928.0,646057.0,61.70561704317728,61.21043021202088,2.382638008594513,2.3407119703292847,6.078341040611267,6.055177826881408
2014-01-15 00:00:00+00:00,431.0,431.5,425.5,425.75,,425.75,119249.0,635767.0,61.79084353383383,61.328109922409055,2.362651040554047,2.342581963539124,6.071830153465271,6.0539648151397705
2014-01-16 00:00:00+00:00,425.75,430.0,425.0,428.0,,428.0,133073.0,634451.0,61.70557018280029,61.05743049621582,2.3743979692459107,2.3407279801368714,6.078933992385864,6.037372002601623
2014-01-17 00:00:00+00:00,427.0,428.0,422.25,424.0,,424.0,95820.0,627096.0,61.71560039520264,61.20065084266663,2.362500970363617,2.326766011714936,6.072449111938477,6.042795085906983
2014-01-21 00:00:00+00:00,424.0,425.75,421.0,425.0,,425.0,133526.0,623831.0,62.04884190241495,61.23719967651368,2.354082980155945,2.309995021820068,6.072315111160278,6.042143125534057
2014-01-22 00:00:00+00:00,425.0,429.0,424.5,426.25,,426.25,115230.0,617271.0,62.30483989715576,61.694230194091794,2.369368011951446,2.341205997467041,6.070831098556519,6.041751070022583
2014-01-23 00:00:00+00:00,426.0,431.25,425.75,429.0,,429.0,158101.0,605446.0,62.13461032867431,61.759470291137696,2.398127946853638,2.348201012611389,6.09884400844574,6.041041021347046
2014-01-24 00:00:00+00:00,428.5,430.25,425.5,429.5,,429.5,127514.0,605588.0,62.75167041778565,61.651009979248045,2.394523997306824,2.3447670269012453,6.073218097686768,6.041687111854554
2014-01-27 00:00:00+00:00,428.75,432.75,427.0,431.75,,431.75,133233.0,592822.0,62.93388977050781,62.16121002197266,2.409306960105896,2.369448974132538,6.068031101226807,6.041739068031311
2014-01-28 00:00:00+00:00,431.0,433.75,430.75,432.0,,432.0,119610.0,586734.0,63.84049884796143,62.99040058135986,2.4186669850349425,2.381650006771088,6.068031101226807,6.041739068031311
2014-01-29 00:00:00+00:00,431.25,431.75,427.0,427.5,,427.5,149060.0,580742.0,62.696629219055175,62.30649974822998,2.426192038059235,2.3920740485191345,6.085989027023316,6.040680975914001
2014-01-30 00:00:00+00:00,427.5,434.5,427.25,433.5,,433.5,175648.0,571422.0,62.664329032897946,61.82251949310303,2.428888056278229,2.392494051456451,6.060766048431397,6.04165789604187
2014-01-31 00:00:00+00:00,432.5,434.75,431.25,434.0,,434.0,136180.0,563773.0,62.7819495010376,61.94303031921387,2.4131029725074766,2.373698003292084,6.067802128791809,6.051524839401245
