Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,ARS=X_High_Model,ARS=X_Low_Model,BRL=X_High_Model,BRL=X_Low_Model,CNY=X_High_Model,CNY=X_Low_Model,CNY=X_GBT_2_Predicted_Close_Price_Change,CNY=X_GBT_3_Predicted_Close_Price_Change,CNY=X_GBT_4_Predicted_Close_Price_Change,Soya Bean_GBT_1_Predicted_Close_Price_Change,Soya Bean_GBT_3_Predicted_Close_Price_Change,Soya Bean_GBT_4_Predicted_Close_Price_Change
2015-03-06 00:00:00+00:00,979.0,980.5,971.0,979.0,,979.5,3310.0,3774.0,8.717228908538818,8.628053760528564,2.8877940368652344,2.842619009017944,6.249293808937073,6.247531895637512,-0.00023055996,-0.0008263323,-0.0020396276,-2.002348,-4.7480893,-4.7046304
2015-03-09 00:00:00+00:00,983.0,993.5,981.5,988.5,9.0,988.5,1714.0,2483.0,8.717924871444701,8.630699768066407,2.8877940368652344,2.842619009017944,6.249293808937073,6.247531895637512,0.0024056572,0.00078035926,0.001522153,-7.6813035,-7.8426027,-7.7260456
2015-03-10 00:00:00+00:00,987.5,989.0,978.0,980.0,8.5,980.0,1136.0,2127.0,8.717702913284302,8.630142765045166,2.8877940368652344,2.842619009017944,6.249293808937073,6.247531895637512,-0.001420446,1.7381058e-06,-0.0005264747,5.479503,-0.8766533,-1.9215939
2015-03-11 00:00:00+00:00,979.0,991.0,979.0,985.0,9.0,989.0,842.0,1252.0,8.718277864456176,8.630827751159668,2.8877940368652344,2.842619009017944,6.2492498111724855,6.245250010490418,0.0036880425,-0.009487596,0.0034389496,2.19677,-4.315913,0.12054091
2015-03-12 00:00:00+00:00,989.0,992.5,981.75,985.25,2.5,986.5,778.0,848.0,8.718677854537964,8.632868795394897,2.8877940368652344,2.842619009017944,6.2492498111724855,6.245250010490418,0.0032604395,0.0022502816,0.0031787285,-9.345053,-11.940281,-9.408393
2015-03-13 00:00:00+00:00,990.25,994.0,972.5,975.0,16.5,974.0,120189.0,318767.0,8.718277864456176,8.630827751159668,2.8877940368652344,2.842619009017944,6.2492498111724855,6.245250010490418,0.0030365924,-0.00078359264,0.0011688027,-11.591667,-9.670536,-7.317046
2015-03-16 00:00:00+00:00,972.5,978.0,967.5,969.25,4.75,969.25,82341.0,322484.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.249557809829712,6.249022912979126,0.0045778374,0.0019202549,0.0037392233,-26.126863,-13.327523,-23.53143
2015-03-17 00:00:00+00:00,968.0,973.0,953.5,957.0,14.75,954.5,112410.0,325696.0,8.774320812225342,8.697799987792969,3.127828986644745,3.0720949745178223,6.252077818007695,6.234520878791809,-0.01644881,-0.01155488,-0.013264086,-1.5765936,-1.7666421,1.3108639
2015-03-18 00:00:00+00:00,954.5,967.0,953.5,965.5,10.5,965.0,102268.0,334115.0,8.774116821289063,8.697099971771241,3.127828986644745,3.0720949745178223,6.235620970726013,6.22713987827301,-0.016215427,-0.021163326,-0.01939105,-7.703269,-8.688612,-8.365929
2015-03-19 00:00:00+00:00,969.25,980.25,956.5,961.0,3.25,961.75,109707.0,335980.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.213954901695251,6.201843900680542,-0.028098628,-0.023411475,-0.026616745,-1.9858975,-8.440707,-8.271304
2015-03-20 00:00:00+00:00,961.75,980.0,960.0,971.0,12.0,973.75,125399.0,332392.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.188685960769654,6.171725940704346,0.00090745,0.009313556,0.0072753006,-15.363931,-11.234527,-17.362953
2015-03-23 00:00:00+00:00,974.5,990.0,973.25,982.5,9.75,983.5,97433.0,327656.0,8.774116821289063,8.697099971771241,3.127828986644745,3.0720949745178223,6.197364180882772,6.189635930856068,0.0020414277,0.006661587,0.0029790585,-25.01504,-15.1791725,-23.688944
2015-03-24 00:00:00+00:00,983.75,985.0,975.75,981.0,1.75,981.75,88820.0,328924.0,8.774116821289063,8.697099971771241,3.1279379153251647,3.069682002067566,6.210047585964203,6.200958914756775,-0.0006724443,-0.005796963,-0.0024684551,-2.8719888,0.93661404,2.1866386
2015-03-25 00:00:00+00:00,982.75,987.75,978.0,978.0,3.0,978.75,112380.0,325879.0,8.774116821289063,8.695610971450806,3.12920791387558,3.069467000961304,6.198141158421834,6.190656910737355,0.0022806937,0.001060734,0.0010039293,-8.096642,-7.849509,-10.497584
2015-03-26 00:00:00+00:00,977.0,981.5,972.0,974.5,4.25,974.5,100902.0,326466.0,8.774116821289063,8.695610971450806,3.127553985118866,3.071584975719452,6.205974206924439,6.199310960769654,-2.048651e-05,0.0011271026,-0.001254494,-27.757416,-17.165648,-24.993078
2015-03-27 00:00:00+00:00,974.0,976.25,965.0,968.0,7.25,967.25,92651.0,324777.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.207038013935089,6.197930974960327,0.001350335,0.0034063999,-0.0015093815,-94.92693,-84.846466,-82.80542
2015-03-30 00:00:00+00:00,968.0,976.75,965.0,969.0,0.5,967.75,79634.0,325585.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.210302633047104,6.201379923820496,-0.00038789673,-0.007165695,-0.0022656275,-32.81172,-46.71494,-35.1961
2015-03-31 00:00:00+00:00,967.0,981.0,951.25,974.0,5.5,973.25,163325.0,322399.0,8.774116821289063,8.695610971450806,3.127828986644745,3.0720949745178223,6.202190495513735,6.188705694811684,0.00010748668,-0.004294918,-0.0014565006,6.097842,2.0509303,1.3484409
2015-04-01 00:00:00+00:00,973.25,991.75,972.75,987.5,16.5,989.75,152669.0,321453.0,8.776681909561157,8.740018062591552,3.173940963745117,3.1216770362854005,6.19475537220637,6.185502104759216,0.004874793,0.002785826,0.0012843031,-10.0299015,-8.971998,-6.5177855
2015-04-02 00:00:00+00:00,988.0,993.0,980.75,984.0,3.75,986.0,99735.0,311987.0,8.814207859039307,8.764305067062377,3.170460968017578,3.103890993595124,6.193326391379039,6.183144092559815,0.005344883,0.0046047955,0.0010065426,2.2463374,-0.39859405,2.4103372
2015-04-06 00:00:00+00:00,985.0,990.25,978.0,978.0,7.5,978.5,59766.0,301337.0,8.743402967453003,8.691358156204224,3.1286069774627685,3.0557240295410155,6.191286418437958,6.183302092552185,0.002040153,0.0042390283,0.001785374,4.213337,-1.3787115,3.9511037
2015-04-07 00:00:00+00:00,977.75,984.0,970.0,971.0,7.5,971.0,107166.0,292860.0,8.797094802856446,8.7569260597229,3.135067915916443,3.0708090019226075,6.194462389151256,6.18310405254364,-0.000498934,-0.0031446123,-0.00275241,16.921877,5.167591,13.61985
2015-04-08 00:00:00+00:00,971.0,975.0,967.75,971.25,0.5,971.5,107951.0,290388.0,8.811490793228149,8.767276096343995,3.1320919585227966,3.0621420168876647,6.194456479549408,6.186192092895507,0.0019393752,0.0027803418,0.004710114,17.542402,7.4742956,11.618782
2015-04-09 00:00:00+00:00,971.25,972.0,950.25,955.5,18.0,953.5,169506.0,281257.0,8.811731796264649,8.76587010383606,3.0475780367851257,2.974652051925659,6.2021394089063016,6.187647858460744,0.0035602432,0.00067672424,0.0050592595,7.802122,5.392423,7.403107
2015-04-10 00:00:00+00:00,954.0,958.5,944.5,951.5,2.0,951.5,125165.0,280951.0,8.811817798614502,8.766604089736939,3.083943054676056,2.993387072086334,6.2049699926376345,6.185843636194864,0.0026767976,0.002955343,0.003379848,12.071194,10.698337,13.622901
2015-04-13 00:00:00+00:00,948.0,957.5,945.75,949.0,2.75,948.75,103240.0,273410.0,8.81266580581665,8.767910079956055,3.093639051914215,3.008130075931549,6.203661942481995,6.195369954109192,0.0065909284,0.0032694165,0.0042469264,-7.476161,-4.066318,-10.903242
