Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume,COP=X_High_Model,COP=X_Low_Model,VND=X_High_Model,VND=X_Low_Model,BRL=X_High_Model,BRL=X_Low_Model,Coffee_Top_1_GT_Diff_Predict,Coffee_Top_5_GT_Diff_Predict,Coffee_Top_5_Combined_Diff_Predict
2014-06-18 00:00:00+00:00,169.2,170.5,166.0,166.75,-2.3,,5321.0,13118.0,3752.0,15.0,,1896.715,1893.55,21180.4,20899.13,2.280490956306457,2.25382892370224,-0.0831530317664146,-0.4993202686309814,-0.5081161260604858
2014-06-19 00:00:00+00:00,167.25,168.6,163.1,167.0,0.25,,5897.0,8172.0,5602.0,334.0,,1889.42,1885.33,21177.05,20894.69,2.2290149879455567,2.202750020027161,1.2629106044769287,0.757578432559967,-0.5863372683525085
2014-06-20 00:00:00+00:00,168.25,175.8,168.05,173.25,6.25,,363.0,1196.0,10.0,,,1889.63,1882.96,21181.1,20902.21,2.229122977256775,2.208902044296265,1.1478567123413086,0.4637631773948669,-0.3261698186397552
2014-06-23 00:00:00+00:00,173.0,175.85,173.0,175.1,1.85,,109.0,478.0,,,,1892.51,1883.96,21178.0,20900.89,2.2432969927787783,2.2201989769935606,2.155779361724853,-0.7516738176345825,-0.4695621430873871
2014-06-24 00:00:00+00:00,174.85,175.3,171.0,174.15,-0.95,,30.0,371.0,,,,1893.47,1887.71,21178.0,20900.89,2.218318002223969,2.194369945526123,4.617680072784424,1.865586280822754,0.6695367693901062
2014-06-25 00:00:00+00:00,173.55,179.5,173.55,179.95,5.8,,45.0,348.0,1.0,,,1889.42,1885.33,21178.1,20903.18,2.23224500656128,2.201082003116608,-1.4776277542114258,-1.2822091579437256,-0.7712500691413879
2014-06-26 00:00:00+00:00,178.6,179.2,177.7,178.8,-1.15,,26.0,320.0,,,,1888.07,1882.26,21180.9,20902.4,2.209951038360596,2.19214698791504,-5.105367660522461,-3.588345050811768,-1.2135963439941406
2014-06-27 00:00:00+00:00,180.5,182.5,169.9,170.45,-8.35,,57.0,300.0,6.0,,,1887.04,1882.16,21181.15,20902.4,2.214522044658661,2.188388946056366,1.2211700677871704,0.5305977463722229,-0.6375678181648254
2014-06-30 00:00:00+00:00,172.55,172.75,168.65,173.0,2.55,,46.0,252.0,,,,1890.75,1879.24,21180.9,20902.4,2.214410035610199,2.187180950641632,-3.3163976669311523,-2.155189275741577,-1.0019581317901611
2014-07-01 00:00:00+00:00,172.25,172.25,168.2,168.3,-4.7,,15.0,212.0,,,,1899.81,1877.29,21298.2,20968.75,2.218274986743927,2.196984989643097,1.1379011869430542,-0.5520817637443542,-0.595430314540863
2014-07-02 00:00:00+00:00,169.5,169.5,169.5,171.05,2.75,,49.0,172.0,,,,1899.68,1876.025,21297.25,21005.59,2.2145850396156312,2.1894929885864256,-1.3827152252197266,-1.2675517797470093,-0.7831207513809204
2014-07-03 00:00:00+00:00,172.0,172.0,172.0,169.4,-1.65,,4.0,126.0,,,,1899.68,1876.025,21300.85,20954.06,2.230383973121643,2.212137062549591,-1.0595568418502808,-0.5419079661369324,-0.5223395228385925
2014-07-07 00:00:00+00:00,170.3,170.3,165.0,169.0,,,22.0,125.0,,,,1899.68,1876.025,21302.25,20934.72,2.2168529558181764,2.1946349787712096,1.5080710649490356,0.5058565139770508,-0.450967401266098
2014-07-08 00:00:00+00:00,169.5,169.5,169.0,170.2,1.2,,5.0,108.0,,,,1899.68,1876.025,21275.25,20927.97,2.239951014518738,2.218000988960266,-0.575778067111969,-0.6167782545089722,-0.5708069801330566
2014-07-09 00:00:00+00:00,170.2,170.2,170.2,170.2,0.0,,5.0,108.0,,,,1899.68,1876.025,21229.4,20916.48,2.220667986869812,2.1957999897003173,-8.807236671447754,-5.249358177185059,-1.5664061307907104
2014-07-10 00:00:00+00:00,166.9,166.9,160.85,160.25,-9.95,,103.0,103.0,,,,1899.68,1876.025,21218.7,20906.11,2.221335003376007,2.1999789810180665,3.1215174198150635,2.926884174346924,0.8757561445236206
2014-07-11 00:00:00+00:00,160.0,160.0,157.8,158.95,-1.3,,12.0,14.0,,,,1899.68,1876.025,21173.5,20891.03,2.2379859709739685,2.212338008880616,2.3178224563598637,1.7187902927398682,0.6470969915390015
