Date,Open,High,Low,Close,Adj Close,Volume,upperband,middleband,lowerband,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MAMA,FAMA,MAVP,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA,ADX,ADXR,APO,AROON_down,AROON_up,AROONOSC,BOP,CCI,CMO,DX,MACD,MACD_signal,MACD_hist,MACDEXT,MACDEXT_signal,MACDEXT_hist,MACDFIX,MACDFIX_signal,MACDFIX_hist,MFI,MINUS_DI,MINUS_DM,MOM,PLUS_DI,PLUS_DM,PPO,ROC,ROCP,ROCR,ROCR100,RSI,STOCH_slowk,STOCH_slowd,STOCHF_fastk,STOCHF_fastd,STOCHRSI_fastk,STOCHRSI_fastd,TRIX,ULTOSC,WILLR,AD,ADOSC,OBV,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR_inphase,HT_PHASOR_quadrature,HT_SINE_sine,HT_SINE_leadsine,HT_TRENDMODE,AVGPRICE,MEDPRICE,TYPPRICE,WCLPRICE,ATR,NATR,TRANGE,PATTERN_SUM,BETA,CORREL,LINEARREG,LINEARREG_ANGLE,LINEARREG_INTERCEPT,LINEARREG_SLOPE,STDDEV,TSF,VAR,SENTIMENT_NEGATIVE,SENTIMENT_POSITIVE,SENTIMENT_UNCERTAINTY,SENTIMENT_LITIGIOUS,SENTIMENT_STRONG_MODAL,SENTIMENT_WEAK_MODAL,SENTIMENT_CONSTRAINING,NEXT_DAY_CLOSEPRICE,DAILY_CLOSEPRICE_CHANGE,CLOSEPRICE_DIRECTION,DAILY_MIDPRICE,NEXT_DAY_MIDPRICE,DAILY_MIDPRICE_CHANGE,MIDPRICE_DIRECTION
2022-09-09,82.80000305175781,87.19999694824219,82.70999908447266,86.79000091552734,86.79000091552734,305188,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8886413724080862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249452.61970423762,,305188.0,,,,,,,0,84.875,84.95499801635742,85.56666564941406,85.87249946594238,,,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.77999877929688,0.9899978637695312,1.0,84.95499801635742,87.13000106811523,2.1750030517578125,1.0
2022-09-12,86.25,89.0999984741211,85.16000366210938,87.77999877929688,87.77999877929688,275104,,,,,,,,,,,,,,82.70999908447266,82.70999908447266,,,,,,,,,,,,0.3883250745996983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340222.77492970205,,580292.0,,,,,,,0,87.07250022888184,87.13000106811523,87.34666697184245,87.45499992370605,,,3.9399948120117188,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.30999755859375,-0.470001220703125,-1.0,87.13000106811523,87.18499755859375,0.054996490478515625,1.0
2022-09-13,88.08999633789062,89.30999755859375,85.05999755859375,87.30999755859375,87.30999755859375,347998,,,,,,,,,,,,,,82.83779907226562,82.83779907226562,,,,,,,,,,,,-0.18352912454044118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360693.24551793735,,232294.0,,,,,,,0,87.44249725341797,87.18499755859375,87.22666422526042,87.24749755859375,,,4.25,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4800033569336,1.1700057983398438,1.0,87.18499755859375,88.18500137329102,1.0000038146972656,1.0
2022-09-14,87.94000244140625,90.19000244140625,86.18000030517578,88.4800033569336,88.4800033569336,335381,,,,,,,,,,,,,,83.09668701171876,83.09668701171876,,,,,,,,,,,,0.1346634982182234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410038.8852033249,,567675.0,,,,,,,0,88.19750213623047,88.18500137329102,88.28333536783855,88.3325023651123,,,4.010002136230469,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0999984741211,-3.3800048828125,-1.0,88.18500137329102,86.84000015258789,-1.345001220703125,-1.0
2022-09-15,88.91000366210938,89.1500015258789,84.52999877929688,85.0999984741211,85.0999984741211,235358,,,,,,,,,,,,,,83.5222859375,83.5222859375,,,,,,,,,,,,-0.8246759573480769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232756.1702337021,,332317.0,,,,,,,0,86.92250061035156,86.84000015258789,86.25999959309895,85.96999931335449,,,4.620002746582031,-1.0,,,,,,,1.1407622101784864,,1.3013384201713052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.11000061035156,0.01000213623046875,1.0,86.84000015258789,85.42999649047852,-1.410003662109375,-1.0
2022-09-16,85.16000366210938,86.58999633789062,84.2699966430664,85.11000061035156,85.11000061035156,87829,,,,,,,,,,,,,,83.92234892773438,83.92234892773438,,,,,,,,,,,,-0.021553042385896143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208527.78932626444,,420146.0,,,,,,,0,85.28249931335449,85.42999649047852,85.32333119710286,85.26999855041504,,,2.3199996948242188,0.0,0.7240459317231174,,,,,,1.3985227501962194,,1.955865882816397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.7300033569336,0.6200027465820312,1.0,85.42999649047852,84.15999984741211,-1.2699966430664062,-1.0
2022-09-19,85.20999908447266,86.22000122070312,82.0999984741211,85.7300033569336,85.7300033569336,59626,,,,,,,,,,,,,,90.19000244140625,-90.19000244140625,,,,,,,,,,,,0.12621454509765434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253970.9771185006,,479772.0,,,,,,,0,84.81500053405762,84.15999984741211,84.68333435058594,84.94500160217285,,,4.120002746582031,0.0,0.3606033774242398,,,,,,1.3373801088956234,,1.7885855556696697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.44999694824219,-1.2800064086914062,-1.0,84.15999984741211,84.9849967956543,0.8249969482421875,1.0
2022-09-20,85.61000061035156,86.44999694824219,83.5199966430664,84.44999694824219,84.44999694824219,279813,,,,,,,,,,,,,,90.02820236206054,-90.02820236206054,,,,,,,,,,,,-0.39590564549097623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151786.74728106137,,199959.0,,,,,,,0,85.00749778747559,84.9849967956543,84.8066635131836,84.71749687194824,,,2.9300003051757812,0.0,0.5518010917800991,,,,,,1.4122710221293722,,1.9945094399463414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.94000244140625,-1.5099945068359375,-1.0,84.9849967956543,84.58499908447266,-0.3999977111816406,-1.0
2022-09-21,84.25,86.68000030517578,82.48999786376953,82.94000244140625,82.94000244140625,339683,,,,,,,,,,,,,,89.86963828430176,-89.86963828430176,,,,,,,,,,,,-0.3126483998310245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-114932.61745476874,,-139724.0,,,,,,,0,84.09000015258789,84.58499908447266,84.03666687011719,83.76250076293945,,,4.19000244140625,0.0,0.13963045519592115,,,,,,0.9532386114440042,,0.9086638503476934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.48999786376953,0.5499954223632812,1.0,84.58499908447266,84.20000076293945,-0.3849983215332031,-1.0
2022-09-22,83.06999969482422,86.0,82.4000015258789,83.48999786376953,83.48999786376953,303492,,,,,,,,,,,,,,89.71424548809814,-89.71424548809814,,,,,,,,,,,,0.11666620748994933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-234643.8903477304,-203672.63780526348,163768.0,,,,,,,0,83.73999977111816,84.20000076293945,83.96333312988281,83.84499931335449,,,3.5999984741210938,0.0,0.06458400893084366,,,,,,1.0217168283575642,,1.0439052773490403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.73999786376953,-4.75,-1.0,84.20000076293945,80.97999954223633,-3.220001220703125,-1.0
