Ticker_Symbol,Top_1_RF_Sign_Accuracy_PERCENT,Top_5_RF_Sign_Accuracy_PERCENT,Top_1_GT_Sign_Accuracy_PERCENT,Top_5_GT_Sign_Accuracy_PERCENT,Top_1_GRNN_Sign_Accuracy_PERCENT,Top_5_GRNN_Sign_Accuracy_PERCENT,Top_1_CNN1D_Sign_Accuracy_PERCENT,Top_5_CNN1D_Sign_Accuracy_PERCENT,Top_1_LSTM_Sign_Accuracy_PERCENT,Top_5_LSTM_Sign_Accuracy_PERCENT,Top_1_CNN1D_LSTM_Sign_Accuracy_PERCENT,Top_5_CNN1D_LSTM_Sign_Accuracy_PERCENT,Top_1_Transformer_Sign_Accuracy_PERCENT,Top_5_Transformer_Sign_Accuracy_PERCENT,Top_1_Combined_Sign_Accuracy_PERCENT,Top_5_Combined_Sign_Accuracy_PERCENT,Top_1_RF_Value_MPE_PERCENT,Top_5_RF_Value_MPE_PERCENT,Top_1_GT_Value_MPE_PERCENT,Top_5_GT_Value_MPE_PERCENT,Top_1_GRNN_Value_MPE_PERCENT,Top_5_GRNN_Value_MPE_PERCENT,Top_1_CNN1D_Value_MPE_PERCENT,Top_5_CNN1D_Value_MPE_PERCENT,Top_1_LSTM_Value_MPE_PERCENT,Top_5_LSTM_Value_MPE_PERCENT,Top_1_CNN1D_LSTM_Value_MPE_PERCENT,Top_5_CNN1D_LSTM_Value_MPE_PERCENT,Top_1_Transformer_Value_MPE_PERCENT,Top_5_Transformer_Value_MPE_PERCENT,Top_1_Combined_Value_MPE_PERCENT,Top_5_Combined_Value_MPE_PERCENT
AUDSGD=X,53.05466237942122,53.81832797427653,72.86977491961414,71.86495176848875,62.37942122186495,65.9967845659164,49.839228295819936,50.442122186495176,49.437299035369776,49.95980707395498,50.040192926045016,49.839228295819936,,,59.36495176848875,61.85691318327974,148656.15134355583,150367.06596721607,-46497.89061760944,-164639.7033465631,490822.3755670631,-54009.58248011998,254896.5837625064,182753.87837583147,166621.6026113694,286400.4379497751,88692.68706509078,216865.86800570163,,,452493.73266369256,332330.1932919492
AUDUSD=X,66.90792119018897,67.02854845195014,72.05468435866506,71.29071170084438,53.8399678327302,65.82227583433856,50.26135906714918,50.26135906714918,49.53759549658223,55.08644953759549,50.62324085243265,51.90993164455166,,,65.0583031765179,68.51628468033776,23216.12189161508,17935.453127860605,-2521951.6166966152,-2079695.886475028,-84811.06597451911,-1552827.1974017716,408231.2861142316,872796.6683945699,672818.2967915739,773464.9990269279,-156914.90122882382,52297.74998693125,,,371205.5952562108,-108424.18005180324
BDT=X,55.89063128266988,56.09167671893848,70.52673904302372,72.85886610373944,68.51628468033776,68.39565741857659,48.13027744270205,51.145958986731,55.85042219541616,54.36268596702855,55.36791314837153,48.13027744270205,,,62.68596702854845,71.41133896260556,-250846711.1038183,-278937328.64735866,1420437037.948478,1127384703.0097127,967625593.9058446,3018208842.177812,-1126324695.0407836,2241857424.332876,-959352017.8049196,407171333.87113726,180090187.45940384,-1356595550.103345,,,-37393070.39912044,844397301.1924717
CAD=X,66.82750301568154,63.85203055890632,70.52673904302372,70.2452754322477,64.73663047848814,64.8572577402493,50.1005227181343,55.68958584640129,49.93968636911942,51.22637716123843,49.97989545637314,49.97989545637314,,,69.80297547245678,67.75231202251709,-166489.07259204373,-140538.79165733026,-529161.028003107,-492106.671179494,110466.67438375222,137356.58797851802,-20536.47756151898,-42753.66912841202,105748.4909564165,-190959.7000028916,-57292.85351177611,-48505.49794868358,,,-186409.13183345963,-200705.5591414459
CHF=X,65.54081222356253,65.13872135102532,70.48652995577001,69.0390028146361,65.66143948532368,62.5653397667873,51.62846803377563,51.467631684760754,49.93968636911942,49.658222758343385,50.180940892641736,50.180940892641736,,,68.194611982308,66.26457579412947,-144142.7559194566,-84448.54693918792,-1639101.241454777,-2033957.174885544,-2511068.269722261,-2628956.639940593,8625.312156349632,15972.868003721984,-846910.1563799655,-514336.9891751983,1168903.6305189729,383607.3667461361,,,-1075991.805179303,-1137536.3758677032
CNY=X,63.03298471440064,64.44086886564763,67.57843925985519,68.10136765888977,64.80289621882542,66.733708769107,51.28720836685439,52.373290426387776,50.2815768302494,49.9597747385358,51.28720836685439,52.17216411906678,,,64.19951729686242,66.7739340305712,-726171.1198886514,-873581.2273703273,-2674262.709400542,-1079418.796042236,9993534.659181606,25235212.482411586,1045216625.8446672,3372878.829549889,26176538.97499412,41012945.87329273,189862255.2381438,-38507436.5181512,,,197437320.0193717,14786569.474097269
CNYJPY=X,64.77683956574187,66.58624849215923,67.9935665460394,70.68757539203861,60.715721753116206,64.49537595496582,48.492159227985525,52.75432247687978,51.38721351025332,50.42219541616405,48.492159227985525,48.492159227985525,,,67.95335745878569,70.48652995577001,-1904429.477838884,-238280.7767297547,3238761.108854451,636684.8704967098,-69575888.88805667,-36968510.82337217,-1108341.6626564327,4370600.652493063,27349382.56617632,10822627.568188664,-16873013.334518377,-13288744.42169668,,,-4011404.458529592,-2160673.338528624
CNYUSD=X,62.51005631536605,64.15929203539822,69.95172968624296,68.50362027353178,66.69348350764281,68.58407079646017,48.02896218825423,50.0,51.32743362831859,49.798873692679,51.36765888978279,51.36765888978279,,,66.65325824617861,67.2566371681416,40042.05042906501,55573.72519046644,24532.02819330322,147072.39542200702,-183521.11727659145,781338.831469029,1358084.8706958364,460760.1726156996,-403447.0821718827,-66758.58951924823,-191862.2832726036,-432422.2135120073,,,6748.115887261076,245236.20118863965
Cocoa,55.94837261503928,56.56565656565656,68.68686868686868,66.38608305274973,46.52076318742985,50.44893378226711,53.03030303030303,51.45903479236813,49.83164983164984,50.0,52.1324354657688,49.32659932659932,,,59.59595959595959,59.876543209876544,-2630455737.905364,-2079839099.757583,8319271999.294564,-3370818945.554952,-239718317767.37723,85812851869.47995,-3196744847.12468,-26355784182.146595,34500460092.60491,55915231624.29778,-11720045946.56038,30810179433.53734,,,19005444534.600235,-5673024567.695787
Coffee,50.11210762331838,54.65246636771301,67.32062780269058,63.22869955156951,56.95067264573991,54.65246636771301,54.035874439461885,53.97982062780269,49.55156950672646,52.07399103139013,54.31614349775785,54.31614349775785,,,55.94170403587444,55.60538116591929,-186512892.11148185,-228537246.9827892,5354380134.784772,239773410.09686044,-239151059.56055275,-1277566784.4871738,798486380.1802166,454070435.55966353,285324184.5093339,2413925363.3686748,855491222.2814256,-52047976.17513054,,,-94421468.7508829,-1108110672.988438
