Ticker_Symbol,Top_1_RF_Sign_Accuracy_PERCENT,Top_5_RF_Sign_Accuracy_PERCENT,Top_1_GT_Sign_Accuracy_PERCENT,Top_5_GT_Sign_Accuracy_PERCENT,Top_1_GRNN_Sign_Accuracy_PERCENT,Top_5_GRNN_Sign_Accuracy_PERCENT,Top_1_CNN1D_Sign_Accuracy_PERCENT,Top_5_CNN1D_Sign_Accuracy_PERCENT,Top_1_LSTM_Sign_Accuracy_PERCENT,Top_5_LSTM_Sign_Accuracy_PERCENT,Top_1_CNN1D_LSTM_Sign_Accuracy_PERCENT,Top_5_CNN1D_LSTM_Sign_Accuracy_PERCENT,Top_1_Transformer_Sign_Accuracy_PERCENT,Top_5_Transformer_Sign_Accuracy_PERCENT,Top_1_Combined_Sign_Accuracy_PERCENT,Top_5_Combined_Sign_Accuracy_PERCENT,Top_1_RF_Value_MPE_PERCENT,Top_5_RF_Value_MPE_PERCENT,Top_1_GT_Value_MPE_PERCENT,Top_5_GT_Value_MPE_PERCENT,Top_1_GRNN_Value_MPE_PERCENT,Top_5_GRNN_Value_MPE_PERCENT,Top_1_CNN1D_Value_MPE_PERCENT,Top_5_CNN1D_Value_MPE_PERCENT,Top_1_LSTM_Value_MPE_PERCENT,Top_5_LSTM_Value_MPE_PERCENT,Top_1_CNN1D_LSTM_Value_MPE_PERCENT,Top_5_CNN1D_LSTM_Value_MPE_PERCENT,Top_1_Transformer_Value_MPE_PERCENT,Top_5_Transformer_Value_MPE_PERCENT,Top_1_Combined_Value_MPE_PERCENT,Top_5_Combined_Value_MPE_PERCENT
Corn,48.36158192090396,48.36158192090396,57.683615819209045,62.20338983050847,50.282485875706215,50.16949152542372,50.11299435028248,48.983050847457626,47.2316384180791,47.74011299435029,47.51412429378531,47.51412429378531,,,52.82485875706215,53.10734463276836,-2025817563.391888,-2061440384.3771207,5197577239.074497,3136543395.1959743,-58772414.93306133,5024596119.406623,18034684019.434105,6985956479.240744,-11862422730.71194,-7677822583.1213875,-4379715329.331622,-3609314014.6882944,,,-1918158949.667703,-2755853910.5543213
Cotton,52.105558674901744,50.42111173498035,66.70409882088714,65.01965188096574,49.74733295901179,51.88096574957889,49.8034811903425,54.463784390791695,49.74733295901179,51.65637282425604,52.27400336889389,52.27400336889389,,,52.21785513756316,57.94497473329591,160531485.52793327,179530329.21150205,-860652861.7076919,-645714012.3917285,-821324027.4752893,-168031023.24020037,357767366.8113618,239279921.4873865,2336965223.8690486,969521241.5126592,-138127352.07746276,-418877173.4972618,,,1237955644.431653,199427745.0155481
EGP=X,49.39662107803701,49.43684633950121,51.60901045856798,52.85599356395817,52.45374094931618,52.69509251810137,50.4424778761062,50.56315366049879,49.35639581657281,48.87369267900241,49.15526950925181,49.15526950925181,,,52.73531777956557,56.31536604987932,-100984191.2702752,-102851263.99607009,-12146578.957572475,-11272001.881700862,28505041.221350025,71498410.94671227,21361065.48144241,163486023.64948705,-175101498.4427699,12985480.898081612,-419387080.05500525,-605829825.3196923,,,-19086912.80771772,-91954666.1187134
EUR=X,66.17055510860821,65.80852775543042,68.30249396621078,68.62429605792437,66.13032984714401,65.72807723250202,52.85599356395817,52.373290426387776,49.7586484312148,49.316170555108606,51.246983105390186,51.246983105390186,,,66.7739340305712,66.4119066773934,-34025.506834111504,-66500.43808562467,-1981725.3635993423,-1382406.540225697,-735011.2713567598,-1465294.7127917004,7877.952689368377,100277.2981588747,-474950.2303814997,-838427.0205922702,13413815.778683413,3283846.8576226654,,,-356324.83807247574,-788781.4417714031
EURCHF=X,61.92199437072779,66.34499396863691,70.08443908323281,72.73823884197829,66.58624849215923,65.66143948532368,51.025331724969845,51.06554081222357,50.9449135504624,52.673904302372335,48.57257740249296,49.73864093285083,,,67.63168476075593,69.0390028146361,155461.4639156619,100440.93248009557,959441.2411158052,1100075.7462105595,2206232.212392916,1713996.864578767,-121280.74439713747,69135.9586270707,-114609.7399996942,-180393.87449308936,39435.90329890618,423492.0276212083,,,669903.469805108,634044.3386328168
EURGBP=X,67.22959388821874,67.43063932448733,69.72255729794934,71.81342983514274,63.36952151186168,65.902694008846,49.17571371129876,50.462404503417766,49.77885002010454,50.1005227181343,50.98512263771613,53.035786087655815,,,66.5058303176518,69.8431845597105,463497.0950084484,168710.19137033273,-109940.5396803821,21447.584603390136,3566580.40361104,3449113.343633689,741222.1596428981,295933.82135234645,-159051.55557541724,-1766556.8360917582,-1507855.4202607258,-729918.2238954768,,,1170517.296811159,1079770.1078186089
EURHUF=X,66.15755627009646,65.07234726688102,67.80546623794213,68.93086816720258,62.982315112540185,61.69614147909967,51.2459807073955,51.4871382636656,48.91479099678457,48.432475884244376,51.28617363344051,51.28617363344051,,,67.80546623794213,66.92122186495176,10406563.99241962,11279292.736944389,67358364.62328358,45401019.20534552,137239464.91873,127327335.1081,-148964871.9204229,-39783835.27326697,88190852.39833362,96637998.45771132,-113273415.5304381,-63319972.15819133,,,90432061.96497738,64085936.639874615
EURJPY=X,66.62645757941294,66.14394853236831,68.31523924406916,69.36067551266586,57.53920386007238,65.86248492159228,50.9449135504624,48.97466827503016,48.854041013269,48.97466827503016,50.9449135504624,48.97466827503016,,,65.98311218335344,66.74708484117411,-29749877.111807767,-37121958.710935146,-144310169.0978436,-121244666.28875728,-176023196.66669077,-141101574.1589096,54079304.78476311,-23903765.660716534,-64732645.78028043,-35061926.50984939,150064008.724648,-53146025.74076938,,,-100930533.61618663,-77831862.077315
EURMMK=X,49.19484702093398,65.17713365539453,72.46376811594203,69.12238325281803,58.21256038647344,60.829307568438,49.033816425120776,49.07407407407408,48.10789049919485,48.55072463768116,47.74557165861514,49.07407407407408,,,61.35265700483091,68.23671497584542,-22721831497.909817,-34233233915.912247,-69797928583.81483,-101654760447.19196,-84872103094.91837,329780331883.4279,57828937812.917984,144762390331.92273,26655771166.70236,17829829473.668236,20483127861.460888,-90497247504.9028,,,-83570880727.07298,-124058481941.25446
EURSEK=X,62.540192926045016,66.31832797427653,69.4935691318328,70.7395498392283,62.5,66.59967845659163,51.2459807073955,50.0,49.839228295819936,50.12057877813505,50.0,50.0,,,65.95659163987139,65.83601286173634,92.66437435640712,91.66874091325369,79.91556478377176,68.99852860459279,83.55737808173575,133.39997154020762,101.35922031131584,102.38599832294616,102.9098913456176,108.42511634622696,100.008848245434,99.07785555744236,,,84.56186730053086,85.35014483154164
EURSGD=X,67.72508038585208,66.47909967845659,69.2524115755627,71.14147909967846,59.163987138263664,68.04662379421221,49.035369774919616,50.562700964630224,65.43408360128618,57.9983922829582,49.035369774919616,49.035369774919616,,,67.12218649517685,69.09163987138264,140694.43024332207,223409.21175656945,655902.1420237479,137325.10048777246,-2815040.65363425,-663047.0688326132,1571530.735269683,510374.3234300053,-1190781.5571723436,-839256.8160730391,28115.893636204448,125480.27428348736,,,-556131.8518060987,357152.5803816369
GBPJPY=X,65.46039404905508,63.972657820667465,66.5058303176518,70.40611178126257,53.19662243667069,62.1632488942501,51.18616807398472,49.53759549658223,49.69843184559711,49.13550462404503,49.25613188580619,49.25613188580619,,,63.972657820667465,66.02332127060716,-34203221.290894575,-60252251.63641925,-37989675.647871874,-201248184.9737485,60035403.57420936,208759875.4056293,-53276344.2166975,-51181048.36688865,205038651.95168832,-28116131.1442064,-27088640.65158633,-74848228.3304623,,,-58228775.71476514,-62488932.8116699
GBPSGD=X,67.96623794212219,66.72025723472669,70.4983922829582,71.18167202572347,66.55948553054662,64.34887459807074,50.522508038585215,50.36173633440515,49.15594855305466,48.9951768488746,50.522508038585215,50.522508038585215,,,69.09163987138264,68.52893890675242,-11637.784029558898,32069.62116238376,-1360655.2250278103,-886576.1502745103,-2247795.1880460763,1684133.2584943362,-1495400.324575976,-315926.1375688929,-2205406.276891386,2259490.689430299,-1409002.9584469418,-1540363.135097004,,,-2577150.265580353,2596934.738821064
GBPUSD=X,66.02332127060716,65.86248492159228,67.26980297547246,67.18938480096502,59.02694008845999,64.53558504221955,45.637314032971446,55.77000402090873,51.58825894652191,51.30679533574588,49.21592279855248,50.1005227181343,,,62.84680337756333,67.22959388821874,-206386.71701969425,-249964.1304940623,-2454633.7069762014,-2628516.937603212,442120.83280213067,-1546216.3471628202,176223.9547622454,4117925.834805562,-2645141.348176539,-1130832.0509607475,2693135.90788255,517309.3476370747,,,-864535.2555366838,-1819488.6268861005
GHS=X,47.988736926790025,47.988736926790025,48.31053901850362,48.23008849557522,46.70152855993564,48.27031375703942,47.90828640386163,47.988736926790025,48.10941271118263,48.35076427996782,48.31053901850362,48.67256637168141,,,48.10941271118263,48.10941271118263,-1409706466.6252804,-5457267448.260122,-25679007310.487144,-16483116970.85095,-722220328199.616,-4066036135480.392,-159531329145.4306,-60501555680.83075,-137331139301.04472,46366645553.76264,-164107034504.50394,-115345773498.9984,,,-350873086722.584,-1032486551325.8456
HKD=X,57.05669481302774,56.05146763168476,67.06875753920386,67.39043023723362,61.39927623642944,63.49014877362284,50.824286288701245,53.719340570969045,50.38198632891033,51.3470044229996,50.1005227181343,50.1005227181343,,,65.29955770004021,62.00241254523522,-295885.6284168735,-332337.5975536544,-58512.27848123344,-125822.26846637014,-6406810.358805603,-2828570.24189557,21250751.63643591,2671309.0745620565,9406709.448732672,1217117.2974590291,-12691775.263455529,-5141714.123871845,,,-1295463.872292352,-1672650.1023743665
IDR=X,65.50060313630881,61.318858061922,72.81865701648572,73.26095697627663,71.17008443908324,70.48652995577001,49.81905910735826,49.81905910735826,49.53759549658223,54.0410132689988,49.81905910735826,49.93968636911942,,,64.69642139123441,68.91837555287495,-38656385145.9456,-34658683746.80599,-140174633261.98376,-128283497124.34454,-341709891720.45807,-225544765907.5964,-56145338724.1662,-33967457571.42362,-86411549531.0202,-95316669363.42128,-38564886195.19826,-73316165993.07092,,,-151812037738.85193,-150055539524.97928
IDRMYR=X,46.18167202572347,46.262057877813504,45.69935691318328,46.10128617363344,46.94533762057878,49.236334405144696,45.4983922829582,50.64308681672026,44.77491961414791,45.056270096463024,45.98070739549839,45.98070739549839,,,46.18167202572347,47.58842443729904,11150999.684301184,12029211.444470102,6598129.934368381,10686060.466852238,61676914.77764745,12817211.103719156,-65688476.01151578,15905317.780614834,-3940822.120028359,-12680292.7692724,26579691.27411616,116605949.99647827,,,-14416073.320762524,31310618.459944468
IDRSGD=X,47.11934156378601,48.14814814814815,47.668038408779154,47.325102880658434,47.73662551440329,47.39368998628258,53.97805212620027,52.81207133058985,47.325102880658434,47.05075445816186,46.70781893004115,46.913580246913575,,,50.34293552812071,47.73662551440329,8277744.342842196,8646483.089105943,78070694.89079742,50173202.0263457,-2776004429.663166,31592602446.8279,65302104.34059689,519733078.2622803,54119677.14584088,-1296621.595752605,58686232.335782506,58875265.84409477,,,515597722.1161382,6005162613.50961
INR=X,60.49879324215608,56.75784392598552,71.44006436041835,71.52051488334675,66.7739340305712,66.04987932421561,50.80450522928399,51.04585679806919,51.08608205953339,51.32743362831859,50.2815768302494,50.2815768302494,,,62.75140788415124,60.90104585679806,-23944166.605409943,-34096258.923694074,240828946.6319412,227434629.63495204,-96836448.9549088,-45097890.13558562,-30412656.37948572,-130487221.77227049,-83503609.00919499,-152599563.09248364,-39024688.22649043,-62159451.56351276,,,-81900390.33778955,-118494441.02944028
IQD=X,64.59003215434083,64.91157556270096,65.67524115755627,66.43890675241157,59.76688102893891,60.89228295819936,50.12057877813505,50.442122186495176,40.836012861736336,41.80064308681672,47.347266881028936,40.836012861736336,,,64.26848874598072,65.07234726688102,86726289882.21693,130678738404.25478,1530486670384.7263,1706961976505.605,1270432305357.0117,3698088111352.311,-297228000516.5753,-585573357857.4381,-462505035805.3256,-807762456981.9205,1238471439280.9592,-1446323570443.5654,,,662034686522.9023,1615365563751.6897
IRR=X,20.430672268907564,20.483193277310924,20.483193277310924,20.430672268907564,22.689075630252105,25.63025210084033,19.905462184873947,26.20798319327731,19.747899159663863,19.905462184873947,19.642857142857142,19.642857142857142,,,22.951680672268907,20.535714285714285,4515266324610.859,3161040460133.5547,17509251795185.455,14195110249023.15,-72958059198141.78,-16453437326336.297,59023206966325.63,27794340221907.69,31509812030182.496,-34850470612903.785,420930768517983.9,111012208293564.98,,,-54244850541806.66,-63845753192800.46
JPY=X,65.56717618664521,54.34432823813354,66.331456154465,71.56074014481094,61.222847948511664,61.504424778761056,50.92518101367659,45.97747385358005,49.4770716009654,49.15526950925181,50.92518101367659,48.99436846339501,,,65.16492357200322,64.36041834271923,-10751384.711508974,-12162148.044388292,122005059.3809125,4519258.76571136,122836814.19608992,914435.8531421068,79019000.86202128,-60700344.1369001,-17182287.94840753,7916546.584896192,7783665.219704868,-63403697.327150285,,,67230612.27545698,-124014274.8655197
KES=X,59.927652733118975,61.053054662379424,70.86012861736334,70.81993569131832,60.36977491961415,69.41318327974277,48.07073954983923,50.12057877813505,48.432475884244376,55.426045016077175,49.19614147909968,49.19614147909968,,,65.59485530546624,66.2379421221865,-1295984257.3476408,-1224365130.1466084,-1076871226.0117855,-400828150.4351193,19013638072.58237,1230556984.8372834,256115903576.5781,-36471188824.140045,1405494688.1902604,-1489527815.1368718,-7418676676.616642,-6850134881.649084,,,24087348443.13847,-9028520486.61721
KHR=X,71.15848753016894,70.99758648431215,70.11263073209976,71.07803700724055,63.19388576025744,64.80289621882542,52.49396621078037,51.76991150442478,51.246983105390186,50.402252614642,44.60981496379727,53.98230088495575,,,69.30812550281577,70.99758648431215,643640159726.0873,359399165329.3358,2187757542742.7043,2723045638481.32,2249054246725.315,3081792071632.531,-1453665519596.0127,-349791487533.9492,1446588999747.3245,215338113430.4889,-11658330886655.46,502470314163.0915,,,1473438657662.6829,1794044509854.272
KRW=X,68.87816646562122,69.36067551266586,70.60715721753115,70.84841174105347,59.75070365902694,64.77683956574187,50.06031363088058,50.06031363088058,50.58303176517893,50.50261359067149,50.3015681544029,49.97989545637314,,,64.73663047848814,69.60193003618818,44039780.46543545,255932087.19777533,7995349168.182595,7238718106.548461,3614883485.546644,6323299074.731415,-410691308.232554,-1649860759.5585678,-965487397.4038892,672788638.6473591,-266549742.43179536,-2077069840.5029137,,,2046841368.9197936,3675242972.568957
MMK=X,53.41639871382636,47.95016077170418,60.85209003215434,68.28778135048232,56.9935691318328,57.958199356913184,48.19131832797427,48.31189710610933,49.67845659163987,51.0048231511254,50.68327974276527,50.60289389067524,,,54.340836012861736,56.67202572347267,-20932235257.801952,-15846981544.638884,-38566047771.02594,-20429148894.144085,-104906675116.2782,38539338494.96645,105730382914.69296,100720502942.36748,36793577676.19608,50799763507.74976,18891935675.18306,20045716799.34756,,,-12885163183.614143,76805575538.32986
MXN=X,52.0096463022508,59.76688102893891,66.92122186495176,67.40353697749197,57.958199356913184,58.842443729903536,49.15594855305466,51.2459807073955,49.839228295819936,49.39710610932476,52.0096463022508,52.0096463022508,,,61.17363344051447,61.61575562700965,-1045870.0401492352,-1291616.6401329306,-19945352.061514035,-19093883.92776507,13565116.976423323,12474969.400550893,24443072.34097592,-6276194.106446366,-975759.2321412686,-32753275.910231844,-2980940.2168753543,-4155456.765645162,,,-12137055.095664982,-22602348.953566782
MYR=X,52.03055890631283,52.3924406915963,63.08805790108565,63.85203055890632,57.94129473260957,58.383594692400486,48.97466827503016,52.87494973864093,49.25613188580619,50.06031363088058,50.1005227181343,50.1005227181343,,,54.40289505428226,59.22798552472859,-14507714.869228834,-15686994.28797308,-7023305.50037305,499520.8451201578,17978804.548457835,-3018809.9354048306,-14611525.228310604,15791960.55727918,-65649399.204857066,9165394.100551266,14363430.94317256,17978901.971505266,,,-56278062.55673128,-35644431.58186149
MYRPKR=X,50.18181818181818,48.72727272727273,54.94949494949495,59.91919191919192,60.24242424242424,60.12121212121212,49.898989898989896,49.17171717171717,47.11111111111111,47.03030303030303,48.2020202020202,48.72727272727273,,,58.42424242424242,59.51515151515151,-2057287641.890836,-2465883564.7727494,6318438473.300813,1526635296.454532,-1966595067.705648,-13247461860.272251,-14287912356.65917,-4487341654.985656,45828745360.15523,-17000449563.502584,-329877229.2251694,252588946.5950965,,,-2589689705.149699,-11891264158.689098
NPR=X,63.16847607559309,65.62123039806997,75.31162042621634,74.30639324487333,66.34499396863691,67.35022114997989,53.92038600723763,54.2420587052674,55.97104945717732,52.51306795335746,50.98512263771613,55.72979493365501,,,66.78729392842783,69.52151186168074,-91043746.15079588,-111937017.59912317,122221932.56146564,-67753520.34936656,351436035.50062364,432477775.2555718,-76024189.84962279,-219292093.3463604,-608378569.2759154,-315121772.37746817,74298117.49974604,26235776.723049987,,,-229971870.67606604,-298426842.1112477
NZDSGD=X,66.06353035786088,64.57579412947327,63.85203055890632,70.28548451950141,63.32931242460796,63.2086851628468,50.86449537595497,63.24889425010052,49.8994772818657,49.17571371129876,50.542822677925216,50.542822677925216,,,63.89223964616003,67.91314837153196,9630.72102340248,54178.42946917264,-192612.96262646248,-108126.26178509534,552725.305369783,476050.6904508912,260829.8873634576,275244.0907996877,811205.8081804374,47199.54437467715,107129.69245503616,249230.96593468168,,,372708.3368066167,383175.5020583198
NZDUSD=X,63.2086851628468,64.0128669079212,67.75231202251709,71.65259348612787,62.72617611580217,64.17370325693607,50.140731805388015,50.140731805388015,49.497386409328506,50.824286288701245,49.81905910735826,50.140731805388015,,,64.57579412947327,67.43063932448733,59601.53756236622,44076.02398724873,566566.7467100252,538138.0785012657,1204378.0683652265,860176.0448729352,516059.9049911616,435859.9460227916,-49124.43644355314,410324.7961128402,-653115.149366549,794568.2906955814,,,454899.6061252352,391220.791923958
PGK=X,49.93968636911942,71.65259348612787,71.25050261359067,71.57217531162043,48.6529955770004,57.05669481302774,49.73864093285083,49.73864093285083,51.50784077201448,50.3015681544029,49.658222758343385,46.964213912344185,,,51.5480498592682,70.36590269400884,46116836.06667773,-12897764.41957827,-364273256.5402613,-216878613.81078115,9219222402.252214,5054732738.354702,1106314628.8009937,1043663526.4041576,1420718867.3890543,-97515616.28487743,6189516460.104594,-2906374988.1129246,,,3191446905.8204126,67920041.48787168
PHP=X,68.67712102935263,67.7925211097708,68.79774829111379,71.45154804985927,64.05307599517491,66.3047848813832,48.21069561720949,51.22637716123843,49.57780458383595,49.497386409328506,54.08122235625251,54.08122235625251,,,67.18938480096502,70.00402090872538,27914152.564667944,18448360.458423205,162956712.47252807,160205662.73239192,897913.6153086056,167337975.6882062,511361301.311299,183419210.4493636,-113771287.1360726,-232931560.4610368,259894934.20741192,173346192.9091754,,,214540420.9969392,90582897.57154256
PKR=X,71.25050261359067,71.37112987535183,70.40611178126257,71.25050261359067,67.10896662645757,68.31523924406916,51.50784077201448,48.854041013269,45.999195818254925,49.73864093285083,48.492159227985525,48.492159227985525,,,71.29071170084438,70.2452754322477,3277121585.2841773,1992573657.8796945,22118454124.815483,18363263687.28455,29158588997.75136,31340902871.98847,7851991299.649702,-2467197619.6991096,-21267624455.4706,-13037781073.038803,-5855339421.986415,-5802107212.282404,,,16501130014.085585,17506885794.87156
SAR=X,57.54527162977867,57.223340040241446,75.57344064386318,76.17706237424548,59.597585513078464,68.8933601609658,42.61569416498994,43.21931589537223,55.17102615694165,56.4185110663984,57.50503018108651,61.16700201207244,,,60.04024144869216,68.57142857142857,4200643.951500298,4824725.231224955,3673386.6679596417,-2451853.833906824,-12876045.660534335,-34082102.034773394,39584523.33716906,35352236.161900274,-12883217.02237942,-13712225.132522138,-42230429.228434354,-40384577.4087088,,,10691269.445804968,-1587613.385231815
SGD=X,65.86248492159228,65.94290309609971,67.47084841174106,68.43586650583032,54.0410132689988,64.25412143144351,50.1005227181343,49.97989545637314,50.341777241656615,50.341777241656615,49.85926819461199,49.85926819461199,,,62.24366706875754,67.31001206272617,-100758.34719489508,-104046.90509588733,75473.00896254327,-526467.6680058475,830434.6947525728,-236713.6593181489,-1323708.761481051,-591037.0699479342,-1345199.4020809731,-661849.61230917,1011604.7213932626,1205270.64276838,,,-1489702.933477684,-490407.03326238174
SGDCNY=X,65.24537409493162,62.30893000804505,67.33708769107,70.19308125502816,56.31536604987932,69.46902654867256,47.66693483507643,47.78761061946903,50.80450522928399,50.2815768302494,47.66693483507643,47.66693483507643,,,63.43523732904264,69.62992759452936,-526589.3880874623,-833463.8325622906,4682440.188083348,3294414.0780120427,-6724419.8357224725,15145535.6305788,-1815419.918739596,-2543346.79461148,-3632096.2548327823,-2338815.127793236,-698943.3756702656,-7598528.882289778,,,-4193452.889302328,2750064.944467009
SGDHKD=X,67.51105749899477,65.7016485725774,67.51105749899477,67.7925211097708,64.89746682750301,64.25412143144351,49.819059107358264,52.75432247687978,50.502613590671494,50.663449939686366,49.57780458383595,50.341777241656615,,,67.39043023723362,66.66666666666666,480494.0759072248,451035.3913698318,2987211.2488866225,5569053.821320781,-10347.918479700867,-394745.76215593977,163941.1304171588,384944.9359706622,-1396007.7105044948,-2602211.4061547434,186380.7892819705,-758381.6554555455,,,1494159.0624652344,2494709.794544152
