Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
2015-01-27,-2.1949839682950225,-2.197923634533874,-1.9884724551304873,-2.2563890088710146,7.0,-0.5148404937639754,-10.989612499441822,-2.2874273543519243,-0.38924085482088444,-1.4231271629897082,-0.07654675846518619,-2.199530575888648,-0.650094664535793,0.881800186751202,-1.0220816996752347,0.3692236685644916
2015-01-28,-2.3027183072472983,-2.197923634533874,-2.090772107730914,-2.2485938943816146,8.0,-0.29148717911934025,-11.070358396730544,-2.1450771914545674,-0.5704551070316369,-1.1238485027757705,-0.36334143484611137,-2.050007032556056,-1.065477210257237,1.1852150024863128,-1.3180988062238432,0.38575782233201855
2015-01-29,-2.019499168764512,-2.197923634533874,-1.9621065652850165,-2.2396851921080145,78.0,-0.9443985768305379,-11.08004731239575,-1.8071237937611238,-0.8545982905538706,-1.4686024670249265,-0.2563280364361663,-2.1965544723318646,-0.7245612549189538,0.9315152921176246,-0.5997311313432059,-0.2633824383283147
2015-01-30,-2.1994266214476936,-2.2040476119425736,-1.9926909975057627,-2.1528253449404122,-83.0,-0.23300284080397332,-10.949189226394697,-0.2623500050619455,-1.869000861766546,-1.41897103019501,-0.26934336745207355,-1.9755568525663851,-0.27086014285927096,1.0409083750686636,-0.5736075261795293,-0.5552891866537746
2015-02-02,-2.129454834293123,-2.2040476119425736,-1.9599972940973789,-2.2452531310290142,-18.0,-0.6579389514098891,-10.96196164295823,-0.8957010691484325,-1.1918918912739465,-1.4002162735136785,-0.640768044329828,-1.9400635968005437,-1.0169739266432867,0.792685120720986,0.42603760286014314,0.10175444761553835
2015-02-03,-2.202758611312197,-2.2040476119425736,-1.9958549042872191,-2.265297711144615,85.0,-0.5163801803301432,-11.015407957184866,-1.3302328927242995,-0.8505732959005841,-1.3463115437372595,-0.6750608215621569,-1.9518562350328783,-1.5124956514146561,0.7185976944834224,0.1812747428234863,0.506105176789827
2015-02-04,-2.403788666470567,-2.2040476119425736,-2.1867439467684275,-2.170642749487613,-79.0,-0.030756717662669297,-11.08823480273638,-0.5698199534100139,-1.2006511818870629,-0.8715171597437616,-0.77518640632557,-1.6636753876836796,-1.7524258022119572,1.0139286682518587,-0.2681862462388668,0.7092987636395208
2015-02-05,-1.9039901867950615,-2.2040476119425736,-1.972652921223205,-2.258616184439415,-1.0,-1.2954538690238504,-11.16225311361266,-0.6826006400588436,-0.9751565510500498,-1.1293728858996426,-0.6765890696219008,-1.8902934010102599,-0.5648183726369591,-0.11375682909869567,1.0329620065388279,0.4162211467169995
2015-02-06,-2.2582917757205867,-2.2040476119425736,-2.0485866839781606,-2.259729772223615,-17.0,-0.3787522466310178,-11.171922703988765,-0.045842084847740217,-1.2374393797387218,-0.9947799127229364,-0.7904447585951145,-1.7764292536905866,-0.6881257011149399,0.4321818821012668,-0.05751568843853932,0.09188821140525269
2015-02-09,-1.912875493100404,-2.2101715893512726,-1.991636361911944,-2.278660764555015,9.0,-1.2966941878470273,-11.17140192760522,-0.8125162886603893,-0.46878938597507536,-1.3890116344579286,-0.5848432426715063,-1.522954340119561,-0.930867109423532,0.11338899546955933,-0.0897718554640353,-0.6803462269185003
2015-02-10,-2.2271932036518884,-2.2101715893512726,-2.0190568873512333,-2.268638474497215,-2.0,-0.4643742894328982,-11.120974770388269,-0.7030444446180468,-0.5250757720756528,-1.4478210311558983,-0.7323462330701831,-1.465045776145375,-0.6770579025046142,0.022298167061786,-0.09820637655168482,-0.470656259039728
2015-02-11,-2.2705090718904324,-2.2040476119425736,-2.060187675510168,-2.2708656500656152,-25.0,-0.38111555953409565,-11.121099943191373,-0.48253392654956817,0.44120498753699,-1.9538084552964918,-1.1384955842357762,0.25628120889293216,-0.1346700836753509,0.795864188653949,-0.011102029483367158,0.395872476149671
2015-02-12,-2.1883199885660156,-2.2040476119425736,-2.010619802600683,-2.2987053446706156,43.0,-0.6264303381991617,-11.092294211969994,-0.9725463115423337,1.3229961836103052,-2.2045834211314257,-1.063446568370692,1.174996697320333,0.25086126297562994,1.2715103576268878,-0.2567118664613977,-0.18091037935869497
