Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
2015-01-27,-1.0335244864788036,-0.42545169501966795,-1.0274233424177535,-0.3026411091644369,0.0299999713897705,-6.687508483242997,-0.9175621162431944,-0.9142865664052411,-0.3597949183393229,-3.088945776133723,0.6407564849307944,0.7601096617931552,-0.320360151973803,-0.1157284029959427,0.3324647514171189,2.007812397910233,-0.4338953163475125,-0.018164059127725007,-0.1962418380595346
2015-01-28,-1.0354387616924892,-0.42545169501966795,-1.0293542542784642,-0.30008833561026216,0.0600001811981201,-6.392528511171463,-0.6748250203940753,-0.9345406237879901,-0.4261917484267431,-3.1034324403132403,0.7363672764783404,0.6690339427714772,-0.27368532447715443,0.041946020695752415,0.29301454376854014,1.8101775526527424,-0.43658120416856233,-0.05495980875127365,-0.16506901754226588
2015-01-29,-1.023314946227915,-0.4366704247872628,-1.0171863819815234,-0.2949827682142718,-0.0500001907348632,153.24708022657686,-21.14811646036013,5.038558522431137,-0.5930611351085924,-3.1946195590317092,0.7774172296591731,0.6769465634400416,-0.2878866781463927,0.18574294849537062,0.29105317476578896,1.7580249392749667,-0.4047703298529807,-0.029937289579599402,-0.2410680436443512
2015-01-30,-1.0247734726764892,-0.4297383408340988,-1.0185962750121227,-0.29923741109220386,0.0199999809265136,-6.111486766522717,-0.4098454301097533,-0.628322056237686,-0.46198667040591845,-3.122071134708567,0.8103104495476673,0.6348754727127677,-0.2995721799409231,0.2529658452967196,0.21735524017323604,1.3962577134914094,-0.30046419541810127,-0.10401071811218238,-0.25614045101834265
2015-02-02,-1.0216741492511223,-0.43463734793608505,-1.0168799089137133,-0.29753556205608733,-0.0399999618530273,-3.148754808895438,-0.5985521681136172,-0.5073328769064932,-0.398483669152873,-3.1345635484159793,0.8532987362043869,0.5944600434451307,-0.3340802992135097,0.32891613485364835,0.1651433898167642,1.046756955745607,-0.19686497923204482,-0.1746386400499919,-0.266843348872442
2015-02-03,-1.0246214839768861,-0.4316856853529956,-1.0184429654040477,-0.3009392601283204,-0.0099999904632568,-6.280872978518668,-0.5430790788930714,-0.5776529121031961,-0.32803171129323616,-3.0688461197495833,0.8214269930665639,0.6157580435607873,-0.323778180625791,0.2410803610949177,0.12794182968124113,0.8106418849562786,-0.20127879270963556,-0.16904806071019163,-0.352993975930223
2015-02-04,-1.020367539057585,-0.42422694324417143,-1.0141520501580243,-0.30179018464637863,0.0800001621246337,-6.9073082665016585,-0.6318377758765378,-0.6147211563302316,-0.32720116061129756,-3.0023866141045867,0.7175259662668373,0.7517924359960386,-0.3290240792117406,0.06292733105312874,0.18362878077857633,1.1152266683537613,-0.2917634428808545,-0.20306968978243894,-0.29576606302688313
2015-02-05,-0.993506832630494,-0.4247046031527038,-1.000819521744069,-0.2949827682142718,-0.0200002193450927,-6.928555047425923,-0.09489895546056193,-0.9486957427984506,-0.3245992183525943,-2.991361967527512,0.7127424320821897,0.7851953792846209,-0.29000384496510573,0.027668919524831873,0.23458646817515116,1.511824318674585,-0.4189532855194151,-0.33538281034745215,-0.19466842305740611
2015-02-06,-1.0105530390254454,-0.4260640855076091,-1.0328789137807919,-0.2966846375380291,0.0200002193450927,-6.6668049785149925,-0.18682086845830148,-0.7774567969967184,-0.3876751556968556,-2.9753907584656036,0.8299221994354095,0.6866158438450592,-0.26778003995203487,0.048993382887317236,0.18179247484952038,0.8695212545711368,-0.3149297872002678,-0.47378855962424765,0.1095919675653599
2015-02-09,-1.027660098855891,-0.42300219146867485,-1.0215079883788298,-0.2949827682142718,0.0099999904632568,-6.026138812435583,-0.09548273672192598,-0.635162920330027,-0.4108627021807072,-2.9402266296267685,0.716697463272197,0.8195707013022175,-0.2893869815672367,-0.13630890307840013,0.25836585118514,1.314820956072286,-0.4086457100531546,-0.4389461911042403,0.3869321040925199
2015-02-10,-1.0025920332160632,-0.4236145527562303,-0.9962220603560654,-0.2941318436962135,0.0,-5.898592306357359,-0.03680389338670609,-0.6369646531743326,-0.3455778782624067,-2.910879690135217,0.657761326519216,0.8737365760019146,-0.25002820070031995,-0.3398074408038535,0.3091414973767409,1.6428265322307685,-0.5147857860594844,-0.3775522149584019,0.07156871766946861
