Ticker_Symbol,RF_1_Sign_Accuracy,RF_2_Sign_Accuracy,RF_3_Sign_Accuracy,RF_4_Sign_Accuracy,RF_5_Sign_Accuracy,GBT_1_Sign_Accuracy,GBT_2_Sign_Accuracy,GBT_3_Sign_Accuracy,GBT_4_Sign_Accuracy,GBT_5_Sign_Accuracy,GRNN_1_Sign_Accuracy,GRNN_2_Sign_Accuracy,GRNN_3_Sign_Accuracy,GRNN_4_Sign_Accuracy,GRNN_5_Sign_Accuracy,CNN_1_Sign_Accuracy,CNN_2_Sign_Accuracy,CNN_3_Sign_Accuracy,CNN_4_Sign_Accuracy,CNN_5_Sign_Accuracy,LSTM_1_Sign_Accuracy,LSTM_2_Sign_Accuracy,LSTM_3_Sign_Accuracy,LSTM_4_Sign_Accuracy,LSTM_5_Sign_Accuracy,CNN_LSTM_1_Sign_Accuracy,CNN_LSTM_2_Sign_Accuracy,CNN_LSTM_3_Sign_Accuracy,CNN_LSTM_4_Sign_Accuracy,CNN_LSTM_5_Sign_Accuracy,Transformer_1_Sign_Accuracy,Transformer_2_Sign_Accuracy,Transformer_3_Sign_Accuracy,Transformer_4_Sign_Accuracy,Transformer_5_Sign_Accuracy,RF_1_Profit_Loss,RF_2_Profit_Loss,RF_3_Profit_Loss,RF_4_Profit_Loss,RF_5_Profit_Loss,GBT_1_Profit_Loss,GBT_2_Profit_Loss,GBT_3_Profit_Loss,GBT_4_Profit_Loss,GBT_5_Profit_Loss,GRNN_1_Profit_Loss,GRNN_2_Profit_Loss,GRNN_3_Profit_Loss,GRNN_4_Profit_Loss,GRNN_5_Profit_Loss,CNN_1_Profit_Loss,CNN_2_Profit_Loss,CNN_3_Profit_Loss,CNN_4_Profit_Loss,CNN_5_Profit_Loss,LSTM_1_Profit_Loss,LSTM_2_Profit_Loss,LSTM_3_Profit_Loss,LSTM_4_Profit_Loss,LSTM_5_Profit_Loss,CNN_LSTM_1_Profit_Loss,CNN_LSTM_2_Profit_Loss,CNN_LSTM_3_Profit_Loss,CNN_LSTM_4_Profit_Loss,CNN_LSTM_5_Profit_Loss,Transformer_1_Profit_Loss,Transformer_2_Profit_Loss,Transformer_3_Profit_Loss,Transformer_4_Profit_Loss,Transformer_5_Profit_Loss
AUDSGD=X,49.9092558983666,53.23653962492438,53.23653962492438,65.15426497277676,58.43920145190563,67.27162734422262,66.00120992135511,61.766485178463405,73.4422262552934,68.48154869933454,47.48941318814277,51.30066545674531,50.99818511796733,51.90562613430127,48.880822746521474,50.93768905021173,52.14761040532365,50.877192982456144,50.0302480338778,50.99818511796733,52.45009074410163,50.69570477918936,50.33272837265578,51.24016938898972,52.45009074410163,49.788263762855415,49.9092558983666,50.81669691470054,49.9092558983666,50.0302480338778,,,,,,0.0439099073410034,0.7547444105148315,0.7903838157653809,2.546381950378418,1.7008048295974731,2.706960678100586,2.566170215606689,2.032841205596924,3.3007302284240723,2.7815074920654297,-0.3368426561355591,0.3102900981903076,-0.1114723682403564,0.4077106714248657,0.0361274480819702,0.2131365537643432,0.3221842050552368,0.319624662399292,0.2011473178863525,0.2195696830749511,0.4824703931808471,0.2297697067260742,-0.1071703433990478,0.4918394088745117,0.6307860612869263,0.1406235694885254,0.0439099073410034,0.025369644165039,0.0562299489974975,-0.0439099073410034,,,,,
AUDUSD=X,66.28259551243177,62.88659793814433,62.15888417222559,60.64281382656155,63.79624014554275,66.34323832625833,60.64281382656155,60.824742268041234,73.07459066100667,73.86294724075198,57.489387507580346,68.64766525166768,51.24317768344451,77.01637355973318,51.00060642813826,49.181322013341415,52.94117647058824,50.1516070345664,51.24317768344451,50.87932080048514,49.06003638568829,53.7901758641601,47.90782292298363,50.636749545178894,51.849605821710135,49.06003638568829,51.00060642813826,49.06003638568829,50.57610673135233,51.849605821710135,,,,,,2.8011834621429443,2.26136326789856,2.1173813343048096,1.8525524139404297,2.363051176071167,2.7529780864715576,1.9060490131378167,2.038879871368408,3.3716025352478027,3.4500715732574463,1.514287352561951,3.261202812194824,0.4149683713912964,4.117932319641113,0.1842317581176757,0.1563705205917358,0.5643801689147949,0.2972999811172485,0.3656837940216064,0.32606041431427,0.0237389802932739,0.8545902967453003,0.1599574089050293,-0.0237389802932739,0.106191873550415,0.0237389802932739,0.2759627103805542,0.0237389802932739,0.2349454164505005,0.3613976240158081,,,,,
BDT=X,64.55927051671733,59.45288753799392,63.89057750759879,59.63525835866261,61.94528875379939,69.48328267477204,72.58358662613982,62.12765957446808,66.56534954407294,64.13373860182371,57.08206686930091,49.361702127659576,44.07294832826747,48.81458966565349,44.86322188449848,48.02431610942249,50.516717325227965,48.632218844984806,59.87841945288754,47.537993920972646,48.51063829787234,58.29787234042553,47.72036474164133,48.69300911854103,48.38905775075988,51.12462006079027,47.78115501519757,47.72036474164133,47.72036474164133,47.72036474164133,,,,,,255.01095581054688,185.3178100585937,244.49658203125,196.5472106933593,209.4771270751953,263.47039794921875,280.97509765625,213.2206573486328,262.3969116210937,234.86427307128903,179.01385498046875,42.68400573730469,-57.76875305175781,-35.50634765625,-50.12506103515625,-8.430526733398438,21.875518798828125,53.09730529785156,166.72691345214844,37.77716064453125,27.83833312988281,121.96257019042967,11.508453369140623,3.66552734375,22.54383850097656,87.99160766601562,7.386917114257812,7.2075347900390625,7.2075347900390625,7.2075347900390625,,,,,
CAD=X,58.61229458307973,55.02130249543518,71.81984175289105,64.82045039561777,64.27267194157031,68.47230675593427,66.64637857577603,65.12477175897749,66.15946439440049,73.15885575167377,51.43031040779063,64.39440048691418,53.01278149726111,67.0724284844796,62.994522215459526,52.16068167985392,49.23919659160073,54.53438831405965,51.79549604382228,51.2477175897748,51.85636031649422,52.038953134510045,52.4041387705417,53.07364576993305,51.43031040779063,49.54351795496044,51.2477175897748,48.87401095556909,48.56968959220937,48.56968959220937,,,,,,2.6106598377227783,1.9532201290130613,4.828418731689453,3.767119646072388,3.611400365829468,4.222378253936768,3.9942994117736816,3.7924997806549072,3.8063998222351074,5.04143762588501,0.1803414821624755,3.7497403621673584,0.5266201496124268,4.33381986618042,3.408298969268799,0.5517401695251465,0.321120023727417,1.297299861907959,0.5925390720367432,0.4800601005554199,0.5208995342254639,0.5921194553375244,0.566199541091919,0.6101996898651123,-0.0269000530242919,0.1525390148162841,0.4654202461242676,0.0400996208190918,0.0269000530242919,0.0269000530242919,,,,,
CHF=X,59.81927710843373,59.87951807228916,64.39759036144578,63.0722891566265,53.855421686746986,70.96385542168674,76.08433734939759,64.81927710843374,65.18072289156626,69.09638554216868,53.55421686746988,74.75903614457832,54.03614457831325,65.78313253012048,50.30120481927711,48.43373493975904,52.65060240963856,51.74698795180724,52.2289156626506,52.2289156626506,52.108433734939766,52.53012048192771,51.62650602409639,51.08433734939759,52.34939759036145,52.2289156626506,50.24096385542168,47.59036144578313,52.2289156626506,52.2289156626506,,,,,,1.8651158809661863,1.993730068206787,2.651486158370972,2.418890953063965,0.5412302017211914,3.5972790718078613,3.965618133544922,2.677178382873535,2.895738124847412,3.4224183559417725,0.7322698831558228,4.15012788772583,0.8056941032409668,3.0202455520629883,0.4188023805618286,0.1953159570693969,0.2542693614959717,0.394129991531372,-0.0090899467468261,-0.0090899467468261,0.6327698230743408,0.5841699838638306,0.7147501707077026,0.415929913520813,0.7057293653488159,-0.0090899467468261,0.4388895034790039,-0.0019500255584716,-0.0090899467468261,-0.0090899467468261,,,,,
CNY=X,48.78197320341047,58.7088915956151,52.98416565164433,55.9074299634592,49.756394640682096,57.55176613885505,55.96833130328868,68.51400730816079,56.94275274056029,57.003654080389765,46.4068209500609,48.78197320341047,47.80755176613886,49.81729598051157,46.711327649208286,48.84287454323995,51.33982947624848,51.76613885505481,50.0,51.21802679658952,51.76613885505481,48.17295980511571,50.48721071863581,50.48721071863581,48.660170523751525,49.02557856272838,48.721071863581,48.23386114494519,51.40073081607795,48.721071863581,,,,,,0.355100154876709,8.131500244140625,4.580105304718018,6.945902347564697,1.7816996574401855,7.946693897247314,7.092104434967041,11.107301712036133,7.65648889541626,8.199703216552734,-1.6466994285583496,1.1573004722595217,-0.6578936576843262,0.6524958610534668,-0.991701602935791,0.074099063873291,2.7687010765075684,2.8253064155578613,1.5437016487121582,2.2239022254943848,3.161496639251709,-0.2013001441955566,2.1882987022399902,1.9674992561340328,0.2521004676818847,0.4191021919250488,0.2013001441955566,0.5664992332458496,2.2633042335510254,0.2013001441955566,,,,,
CNYJPY=X,53.67781155015198,54.46808510638298,50.33434650455927,50.33434650455927,59.02735562310031,67.8419452887538,67.29483282674772,66.80851063829788,76.35258358662614,57.56838905775076,48.69300911854103,49.66565349544073,59.02735562310031,48.51063829787234,51.246200607902736,50.33434650455927,51.00303951367782,50.5775075987842,50.33434650455927,50.33434650455927,49.48328267477204,51.246200607902736,49.6048632218845,51.55015197568389,49.66565349544073,50.33434650455927,50.33434650455927,51.42857142857142,50.33434650455927,50.33434650455927,,,,,,20.502347946166992,19.876314163208008,2.01947021484375,2.01947021484375,39.363555908203125,62.56557846069336,62.64657211303711,58.61687469482422,78.10616302490234,33.308982849121094,-4.729127883911133,-4.902580261230469,32.635353088378906,-2.962850570678711,2.4410972595214844,2.01947021484375,8.098915100097656,3.652496337890625,2.01947021484375,2.01947021484375,5.626947402954102,8.23031997680664,5.163055419921875,8.953912734985352,-0.3777828216552734,2.01947021484375,2.01947021484375,4.806425094604492,2.01947021484375,2.01947021484375,,,,,
CNYUSD=X,50.0,52.86236297198539,56.69914738124239,48.84287454323995,58.16077953714982,55.66382460414129,78.7454323995128,67.66138855054811,61.63215590742996,63.337393422655296,62.42387332521315,47.442143727162,50.2436053593179,59.80511571254568,52.436053593179054,48.721071863581,50.304506699147375,50.91352009744215,48.721071863581,51.46163215590743,51.33982947624848,49.086479902557855,50.18270401948843,51.40073081607795,48.721071863581,48.721071863581,49.086479902557855,49.756394640682096,49.57369062119367,50.304506699147375,,,,,,0.0429657250642776,0.0933785587549209,0.1660886853933334,0.0102302581071853,0.1785254925489425,0.1435055583715438,0.2921772003173828,0.2636070251464844,0.2045188695192337,0.2376568466424942,0.2252305001020431,-0.005822017788887,0.0570201128721237,0.1891041845083236,0.1013643890619278,0.0049865096807479,0.0308074504137039,0.0384769588708877,0.0049865096807479,0.0571687668561935,0.0649047344923019,0.0161244124174118,0.060480460524559,0.0449386090040206,0.0054074674844741,0.0049865096807479,0.0186599045991897,0.0286234766244888,0.0248685926198959,0.0374937802553176,,,,,
Cocoa,67.96610169491527,71.35593220338983,66.61016949152543,66.94915254237289,70.84745762711864,67.11864406779661,68.30508474576271,72.03389830508475,72.88135593220339,64.91525423728814,46.61016949152542,55.08474576271186,54.74576271186441,46.61016949152542,49.32203389830509,50.0,50.67796610169491,46.61016949152542,56.271186440677965,52.54237288135594,51.35593220338984,55.59322033898305,51.01694915254237,56.61016949152542,53.38983050847458,49.83050847457628,49.15254237288136,51.69491525423729,49.15254237288136,49.49152542372882,,,,,,9661.0,10487.0,9965.0,8909.0,10289.0,10021.0,10681.0,11011.0,11859.0,8279.0,-37.0,2247.0,927.0,-1427.0,721.0,481.0,1317.0,-51.0,4059.0,667.0,911.0,1373.0,873.0,2981.0,2395.0,63.0,-63.0,845.0,-63.0,1087.0,,,,,
Coffee,70.27027027027027,58.61486486486487,61.317567567567565,62.5,67.73648648648648,77.36486486486487,81.08108108108108,67.0608108108108,63.00675675675676,66.38513513513513,48.47972972972973,50.67567567567568,44.08783783783784,51.520270270270274,50.8445945945946,48.64864864864865,51.35135135135135,50.16891891891891,46.79054054054054,48.141891891891895,49.83108108108108,48.64864864864865,54.89864864864865,51.35135135135135,52.87162162162162,49.83108108108108,49.83108108108108,49.83108108108108,48.64864864864865,51.35135135135135,,,,,,513.2000122070312,267.1000061035156,299.29998779296875,306.0,443.2000122070313,614.2000122070312,678.0999755859375,425.0,399.7000122070313,452.5,3.0999984741210938,-12.199996948242188,-132.60000610351562,19.59999656677246,49.40000534057617,3.3000030517578125,45.0000114440918,6.599994659423828,-95.50000762939452,-12.600000381469728,-3.3000030517578125,3.3000030517578125,160.89999389648438,78.30000305175781,81.80000305175781,-3.3000030517578125,-3.3000030517578125,-3.3000030517578125,3.3000030517578125,40.79999542236328,,,,,
