Date,DAILY_CLOSEPRICE_CHANGE,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
17/6/2014,5.25,-0.020499779,0.011181762,0.0733828,0.02656486,-0.005606523,4.81029,1.2251842,0.72155017,-0.29561064,3.2613983,20.22684,0.2477028,-0.6412324,-0.7980044,1.8962277,0.3768103,-0.56648034,0.51553977,-0.10029256,0.73332494,-1.7148615,-0.78328556,-1.5033466,-1.668027,0.009181948,0.031350106,0.47018492,-5.2315264,4.6556096,1.6667404
18/6/2014,6.5,0.058999367,0.0073941555,-0.007540943,-0.039381556,-0.010483561,0.86647886,6.693595,-0.31922844,0.5325314,1.048028,24.944948,-1.0173732,-0.76969725,-0.70666474,-2.0897856,0.23752004,-0.57894295,0.2738813,-0.14309841,0.5436481,-1.6639162,-0.7772923,-1.5518618,-1.6670355,0.013290977,-0.21195325,0.50313574,-5.257654,4.004472,1.6630086
19/6/2014,-8.25,-0.38637048,-0.074071564,-0.20495272,-0.1411502,-0.05425052,-4.873194,-4.9212747,-2.0311043,-3.2209444,-4.8134527,21.924425,-0.77146554,-1.2852579,-1.2474251,2.3411508,0.3675186,-0.4520207,0.53512347,-0.083846,0.36760005,-1.6366833,-0.7732953,-1.6129258,-1.6664758,0.013449961,-0.24892502,0.5778049,-5.195414,4.503422,1.6865662
20/6/2014,-5.5,-0.22875972,-0.033966683,-0.1644283,-0.106275715,-0.03417834,-5.4861116,-4.605888,-2.9686153,-1.7518127,-0.43303397,26.435333,-2.5829737,-1.6505842,-1.9603637,-3.86582,0.23457158,-0.4470195,0.34872824,-0.1342011,0.22477672,-1.5805961,-0.770247,-1.5180631,-1.6664263,0.016257362,-0.38540465,0.56914246,-5.263837,4.1238575,1.6542346
23/6/2014,-8.75,-0.25781566,-0.05772607,-0.13241601,-0.113442235,-0.038473938,-7.925596,-8.541701,-2.6396277,-1.7518127,-0.73009324,25.577051,-1.658279,-1.4284855,-1.0679945,-5.1560574,0.27594632,-0.38099062,0.42719546,-0.11783717,0.114655375,-1.5108405,-0.76774615,-1.4127045,-1.666445,0.018293677,-0.40012658,0.5783775,-5.1298447,4.2442923,1.6680045
24/6/2014,4.5,-0.16644922,-0.0440049,-0.22569676,-0.09658263,-0.026538167,2.8342347,-9.591238,-2.243972,-1.7518127,-0.41995987,28.273138,-2.248131,-1.5681248,-1.7176197,-6.242592,0.23308396,-0.3367217,0.40889424,-0.08122387,0.09255922,-1.4466106,-0.7659311,-1.2596911,-1.6667753,0.022613617,-0.39180854,0.58469963,-5.2210097,4.2764907,1.647317
25/6/2014,6.75,-0.31243357,-0.054580927,-0.26016757,-0.10040553,-0.05053315,-2.6475773,-5.039476,-1.5204582,-4.316919,-3.1562493,20.65431,-0.5373598,-1.2448744,-0.94342446,0.15902811,0.4503066,-0.21821763,0.7168929,0.039147586,0.0056443345,-1.40293,-0.7644954,-1.0901318,-1.6668494,0.023832085,-0.17965567,0.63137573,-4.631383,4.6748424,1.7009841
26/6/2014,3.0,-0.17203586,-0.04800914,-0.18324377,-0.096185304,-0.038597383,-1.9088333,0.19758408,-1.4383358,-2.9071183,-3.446932,15.17011,-0.9948662,-1.2841929,-1.0106157,4.2761703,0.45544797,-0.22251955,0.44419986,0.00035387077,0.09741305,-1.3905922,-0.76351523,-1.0158252,-1.6668357,0.021033792,-0.044588745,0.69872284,-4.4318423,3.9833243,1.7015262
27/6/2014,-20.5,-0.90520906,-0.16114976,-0.19481125,-0.24324852,-0.055107202,-10.131093,-11.740339,-5.124668,-2.825201,-7.5246124,13.787369,-0.21756046,-0.91038567,-0.4690721,8.218042,0.48322415,-0.18980198,0.41300425,0.012610292,0.027908044,-1.3899235,-0.7626723,-0.98725355,-1.6667513,0.01597139,0.03572648,0.74579096,-4.139926,3.7952425,1.7092943
30/6/2014,-5.0,-0.37847656,-0.076656416,-0.1553407,-0.21078196,-0.03635028,-4.070401,-10.363827,-5.428291,-1.8819894,-6.8943286,29.975677,-2.3848057,-0.6095097,-1.8301208,-9.614993,0.20707455,-0.36672944,-0.33826512,-0.2985842,-0.10299853,-1.3850057,-0.7617776,-0.91213906,-1.6664653,0.016699856,-0.5840786,0.6787259,-4.7902822,2.9159234,1.6104863
1/7/2014,2.0,-0.12153842,-0.0077590216,-0.027305314,-0.028053613,-0.0018891414,-0.8845103,0.7807731,-0.036205325,-0.34393895,-0.6733253,28.641361,0.13857143,-0.31366673,-0.7427089,-2.6277962,0.5108954,-0.10312948,0.62433386,0.06074009,0.29624692,-1.3226874,-0.7605888,-0.875794,-1.6663785,0.019515743,0.1073408,0.6701019,-4.2846594,4.0922046,1.6952454
2/7/2014,6.25,-0.20361702,-0.023441903,-0.10667622,-0.04513889,-0.013443045,-0.520228,0.10406123,-0.3774768,-0.22219576,-0.6769369,26.470366,0.5778518,-0.75062364,-0.7176101,-0.28555292,0.5890251,-0.011974176,0.96108997,0.16301896,0.22095054,-1.247893,-0.7594244,-0.9394965,-1.6663679,0.020611042,0.078428075,0.7069777,-4.0094404,4.596237,1.7301964
3/7/2014,-23.0,-0.83811516,-0.15350044,-0.24384902,-0.26010808,-0.05870468,-11.723831,-10.8857,-6.8559575,-1.9383761,-6.820922,23.154745,-0.5845534,-1.0290997,-1.1694913,3.107502,0.52808774,-0.015225099,0.820717,0.16023223,0.075180545,-1.201648,-0.7586444,-0.9387624,-1.6668812,0.023877973,-0.006782716,0.7644771,-3.9323344,4.289069,1.7249542
7/7/2014,0.25,-0.18931603,-0.021324104,-0.09395146,-0.047778085,-0.012490373,-1.2253628,-3.1209676,-1.0104654,1.5273364,-0.7898783,31.665173,-3.669568,-1.2691119,-2.7979643,-6.424258,0.41771883,-0.10832771,0.21601132,-0.08007172,0.19336636,-1.1911696,-0.75792116,-0.8019238,-1.6678398,0.033308156,-0.10410669,0.6849827,-4.4191027,3.6074176,1.6533034
8/7/2014,-5.75,-0.16954781,-0.0077806097,0.04471395,-0.061105154,0.0020598525,-1.5393201,-2.5475996,-1.1406242,0.35960597,-3.091909,23.020039,1.1349107,-0.08876252,-0.6510452,1.8154665,0.88251364,0.1363656,1.2805158,0.2705823,0.57633555,-1.1303377,-0.7572443,-0.87072825,-1.6680336,0.039818868,0.6733216,0.6617607,-3.6022456,5.0677943,1.7601554
9/7/2014,-2.75,-0.2367906,-0.025502913,-0.08505168,-0.07539202,-0.015016772,-3.7881536,-3.0299883,-1.3763022,-0.4551761,-2.3626063,28.465853,-0.17332675,-0.6466869,-1.2994467,-2.5823221,0.81013525,0.16112988,1.3560767,0.29564857,0.43803537,-1.0392137,-0.75660247,-0.9234597,-1.6688583,0.04666864,0.48391002,0.648235,-3.4882362,5.0087996,1.7536415
10/7/2014,-22.0,-0.8699226,-0.06315549,-0.19589713,-0.23256359,-0.06031297,-12.321081,-6.7068076,-2.2791655,-4.4835744,-4.1665955,29.194553,-0.69358987,-1.028998,-1.3033416,-4.1814065,0.8116077,0.20785835,1.5232465,0.33906552,0.41695723,-0.9341903,-0.75613236,-0.90096456,-1.6697747,0.055153526,0.50891197,0.66544396,-3.481368,5.389322,1.7620795
11/7/2014,23.0,1.7811483,0.32418764,0.51125157,0.486668,0.14891204,14.582276,17.43693,5.589165,3.995258,10.629752,38.356575,-3.5379388,-1.230767,-2.924287,-14.614312,0.7277004,0.11136702,1.178373,0.1824043,0.22135448,-0.8734448,-0.7556577,-0.7656129,-1.6206598,0.0708038,0.19871649,0.52912587,-3.7060275,5.338709,1.6939341
14/7/2014,0.0,-0.21425958,-0.040939175,-0.08367941,-0.09012787,-0.016298534,-1.5707982,2.2219152,-0.679015,-1.960251,-1.9587644,27.90621,0.35192135,0.34742585,-1.170111,-17.943214,0.702828,0.052350126,0.8545319,0.24482599,0.1735279,-0.8384567,-0.75520635,-0.7760797,-1.6144384,0.07717083,0.366992,0.7181702,-3.2897012,4.345579,1.7512015
15/7/2014,0.25,-0.1290078,-0.032419488,-0.008870536,-0.053441647,-0.019775636,1.3576418,-0.90961665,-0.39413556,-1.7427754,1.1654619,11.969766,1.2990335,0.6245313,-0.7495861,-18.65175,0.6212566,0.03831151,0.48072273,0.12763764,0.3652177,-0.7085396,-0.7546251,-0.87631255,-1.5835277,0.08502802,0.7227882,0.84302676,-3.5354247,3.829184,1.7390838
