Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-02-20,1141.800048828125,1166.0,1137.4000244140625,1164.0,0.0,-6.038960096345506,-4.375035349972458,0.6470921249210706,0.5276503909675739,2.2056955847747206,3.290610062215243,2.334990524520869,0.1030232872117306,-1.890367002626024,-1.957041412059396,0.5599192507438994,-0.5634335551296632,-1.01068253803763,-0.5221599,-0.3122944,-0.13578789,-0.45779744,-0.3819945,0.6715891,1.1614958,0.23259169,-1.1816223,-2.3147147,60.4873,-16.967684,-4.3572297,9.187947,106.6639,-9.075474,-17.697533,-12.774909,9.60933,-1.4160159,-2.721757,4.080175,2.231167,-2.7101424,3.832185,3.4869688,2.4484584,-12.650091,-12.057699,-9.36588
2015-02-23,1133.0,1165.0,1133.0,1164.0,1.0,-5.846504555315743,-4.37156993809838,0.6483676640607757,0.5618982620241211,1.9014321581665987,3.144427053892249,2.5961744941102345,0.1090029508826403,-1.9521225166680645,-1.870756368844624,0.5615975441065604,-0.677293042412322,-0.9372650230645796,-0.5768146,-0.31568828,-0.22167794,-0.65339077,-0.5883431,-5.8165708,-2.1108518,2.2899375,-2.6365242,-4.5540533,57.060043,-21.217636,-7.144028,8.536625,109.419365,-9.185911,-17.956652,-13.311012,9.170276,-2.4539535,-1.2992456,4.077361,2.2031522,-3.0066333,3.1872046,2.866196,1.7810695,-13.239588,-11.493972,-9.499989
2015-02-24,1135.9000244140625,1165.0,1135.9000244140625,1165.0,0.0,-5.815340827883079,-4.355108462306183,0.5427040428282655,0.6561011052591312,1.591486376953976,3.022254258358198,2.7367481081385026,0.2065563759626963,-1.951662897862405,-1.7015075570721807,0.9568457206262616,-0.5881962631642269,-1.013251665258859,-0.57938826,-0.3305411,-0.24703868,-0.66453755,-0.64805907,-7.0139647,-6.650677,-2.3904626,-3.9191682,-5.784966,39.94076,-23.810925,-7.9603486,6.4829283,114.03305,-9.105124,-17.735823,-13.455908,8.858741,-2.4716873,-1.8324761,4.074487,2.2095308,-3.1998427,3.1914983,2.7676806,1.8231168,-13.722629,-11.208068,-9.2501135
2015-02-25,1135.699951171875,1166.0,1135.699951171875,1165.0,-1.0,-5.848371430934371,-4.327050315400065,0.6438454771574017,0.7464450969366561,1.4452692730502812,2.914709875288528,2.6639341031049493,0.2007504480141001,-1.8574884959849485,-1.383258070306653,1.174910731954952,-0.6872568184446741,-0.9770406456840116,-0.57938826,-0.3305411,-0.22404005,-0.6442328,-0.5717433,-4.698633,-5.2508135,-0.87605506,-2.6365242,-5.4910526,37.56631,-20.843073,-7.627124,7.39765,117.74554,-9.141867,-17.860418,-13.459625,8.377716,-2.163219,-1.9936029,4.0710816,2.2354314,-3.3777494,3.5417368,2.7662048,2.1488762,-14.207256,-11.368721,-8.866938
2015-02-26,1136.699951171875,1166.0,1136.699951171875,1164.0,1.0,-5.883607744353757,-4.312600655005591,0.6988922674941055,0.7587906478375164,1.3515221623718936,2.798744065336564,2.4794906085708144,0.2688485194920578,-1.715622586278818,-1.2598621588866892,1.2220513315587236,-0.7924513660209399,-0.8947966404252907,-0.5567539,-0.69981027,-0.1812177,-0.6429003,-2.3487875,0.6715891,1.1614958,-0.33116826,-1.1816223,-3.0694103,37.846603,-17.803663,-6.8210945,7.589516,119.67394,-9.149335,-17.990839,-13.421295,8.099924,-1.6438099,-2.1109583,4.0677767,2.0968013,-3.4413342,4.263479,2.6982412,2.7340097,-13.790757,-10.591939,-8.464456
2015-02-27,1152.699951171875,1165.0,1138.9000244140625,1165.0,-1.0,-6.343595566686806,-3.7693861986096246,0.8083832074505015,0.4918801124398438,0.8999494170712817,1.9809988035452408,2.0029810092438254,0.2690864600709646,-1.082487754374727,-0.7146150945107275,1.0580582379683894,-0.628559920683329,-0.9473697254970356,-0.5540812,-0.29654932,-0.18929268,-0.4327955,-0.525811,0.6715891,-1.978469,-2.2556252,0.6937333,-1.1324661,46.182976,-11.875002,-4.725801,7.2760487,126.64241,-9.499594,-18.882881,-13.474703,7.069498,-1.1230018,-2.0977995,4.0656495,2.4345465,-3.4719415,4.7672515,2.29323,5.630488,-11.327953,-7.9881406,-7.5345864
2015-03-02,1144.800048828125,1166.0,1139.0999755859375,1164.0,0.0,-6.101108836158586,-3.739559632284229,0.8912915453074228,0.5234894503108174,0.91190862478856,1.7877361504823643,1.528681506553688,0.3397969988893188,-0.8997862783115284,-0.800863469375474,0.9941475224581902,-0.5772259268062504,-0.8879671817769295,-0.52639353,-0.29654932,-0.16396181,-0.41249073,-0.47962847,0.6715891,1.1614958,-2.8695173,0.6937333,-1.2851369,47.167225,-13.989595,-5.995134,6.5931873,123.16424,-9.591722,-19.180525,-14.205671,6.376589,-1.2219611,-2.1392593,4.0638165,2.7766707,-3.4709122,4.378087,1.0605085,5.326153,-10.77574,-6.9255257,-7.8101535
2015-03-03,1143.5,1166.0,1138.800048828125,1164.0,0.0,-6.061009215991067,-3.728480481527674,0.9526033631585942,0.3351460172691958,0.972386253193397,1.7478075951806298,0.9065288928808732,0.5540894694136533,-0.8509588177581543,-0.8662314120310868,1.0017837730984018,-0.5439015405199246,-0.8960195709134096,-0.5341502,-0.29654932,-0.15905936,-0.4145962,-0.39789718,0.6715891,1.1614958,-2.8695173,-1.3098946,-1.9071666,57.071346,-12.806129,-5.8174887,7.923923,120.22534,-9.552485,-19.328466,-14.339339,6.1685343,-1.0253304,-2.0172443,4.062211,3.1019423,-3.4087064,4.230315,0.8966664,5.608543,-9.648878,-5.9635024,-7.860689
2015-03-04,1136.800048828125,1165.0,1136.800048828125,1164.0,0.0,-5.849842875571161,-3.704686384724161,1.2796313393847236,0.1377618399126662,1.2731168955746672,1.678599867804077,-0.2835487033368404,0.7932142628847243,-0.791640344771083,-1.1260266203550289,0.7703517648101827,-0.4377564557706427,-0.8378745111190296,-0.588976,-0.31092644,-0.2166092,-0.6780615,-0.52591926,-5.8165708,-2.1108518,1.7157091,-2.7647967,-4.925151,81.1143,-13.69294,-6.994473,8.234653,109.92102,-9.904219,-19.980436,-14.979063,5.759888,-2.4483917,-1.8206438,4.060881,3.3538394,-3.2930768,4.322422,0.017258951,4.4362745,-9.110938,-6.461792,-8.194038
2015-03-05,1144.199951171875,1166.0,1138.9000244140625,1164.0,1.0,-6.083798997992518,-3.6829727037519713,1.374325124392585,0.0667769820465351,1.3140336009513152,1.595133528612066,-0.8597961277565699,0.9463964964263054,-0.5648791824626043,-1.190881448078673,0.7669591407231777,-0.4155688834562496,-1.0043897626726732,-0.52843815,-0.27520412,-0.15905936,-0.4145962,-0.36183047,0.6715891,1.1614958,2.3941686,-1.3098946,-1.9071666,88.01105,-12.167699,-5.5440135,7.199755,107.04906,-9.489025,-19.858362,-14.395413,6.2582765,-1.4146531,-1.6933845,4.0602307,3.3993146,-3.1724076,4.701172,0.9470576,5.2092175,-7.993156,-6.307022,-7.759015
