Date,Open,High,Low,Close,Volume,Change,Last,Previous Day Open Interest,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-05-02,382.0,387.0,381.0,385.5,135663,1.5,385.0,507124,0.0,-0.0419820308319513,0.302352918809927,-1.938533075011245,2.74275456537426,0.3691130867926285,1.0135455877795414,1.125571751919803,-1.1834235974321852,-0.6696324479004907,-0.05937183,-0.15104908,-0.16273114,-0.12906224,-0.22571659,-1.5571356,-0.45500317,-1.4268612,-0.6223432,-3.6255722,3.9480424,-1.7824503,7.7292786,-2.3098242,7.4560895,-4.6373396,0.35932192,-0.49623308,-0.74713266,0.6408806,-1.0551277,0.124359526,0.24734706,-1.0456904,-0.2619449,-0.6349893,-0.8345904,3.6336322,-0.75827587,-1.051288
2015-06-02,385.0,389.0,380.0,385.5,200275,0.0,385.5,497289,6.0,1.068695179831667,0.359691676808027,-1.678747414405788,2.7871739855464224,0.1575651369299179,1.07646562751874,0.8544182587509123,-0.7702392663825979,-0.6856956084517591,-0.1613222,-0.7104245,-0.40348157,-0.310905,-0.473447,-4.88001,-3.4640207,-3.3327658,-1.9755782,-1.1806262,2.7222424,-2.123013,7.7956295,-2.1216617,8.3815975,-4.620791,0.25715354,-0.47939655,-0.76047623,0.640639,-1.8724447,-0.20634517,-0.13720596,-1.0825702,-1.1079218,-0.6403497,-0.8469803,3.6561668,-0.7665056,-1.1133472
2015-09-02,385.5,391.5,383.0,391.5,215961,5.0,391.0,476415,-3.5,-0.6898770703857288,0.7342371430124608,-0.1751091745723705,3.291878674419332,-0.6236796682673105,1.8199802952341744,0.7103850616602648,-0.663228371063576,-0.6086877076359213,-0.16668344,-0.44643846,-0.37588063,-0.3029556,-0.3684723,-2.2940896,-5.8404613,-3.4929283,-1.742407,-2.0231562,18.484758,3.9512699,5.059121,-2.8178563,13.64673,-4.449198,0.8254831,-0.67245007,-0.79061776,0.61038274,-2.5520055,-0.5359765,-0.5132189,-1.2042024,-0.8009544,-0.65931094,-0.9666564,3.682636,-0.7296502,-1.3896401
2015-10-02,390.5,391.0,384.0,388.0,208626,3.5,388.0,445832,-2.5,-0.5047642019417924,0.8343639341585499,0.296394212675449,3.2653711866612287,-0.9982575294426718,1.19250298770701,0.3697058257188634,0.6406533329771745,-0.0449575565899908,-0.1933642,-0.39221987,-0.3027021,-0.315815,-0.48117515,-2.357028,-3.710962,-2.972576,-1.958918,-1.8426415,19.733536,3.7256794,3.7393506,-2.3510892,15.447792,-4.4216895,0.52403647,-0.62823963,-0.79061824,0.6131615,-2.9429688,-0.76595557,-0.79907995,-1.2433014,-1.1453669,-0.6603646,-0.94022244,3.683062,-0.7035316,-1.4044665
2015-11-02,388.0,389.5,384.0,385.5,175238,2.5,385.0,425613,-2.5,-0.5047642019417924,0.9360424463405482,1.1496547006037363,3.1674844865083824,-1.3912020495667856,0.6643458660049831,0.5586301902649987,0.7890487758481326,0.2058507204490414,-0.14921841,-0.2647382,-0.30002734,-0.23260584,-0.3805053,-1.9679095,-3.1147397,-1.9370118,-1.7071326,-1.5308843,20.39509,3.8395092,3.0922143,-2.0396154,15.535267,-4.4160814,0.68566734,-0.5993062,-0.7876695,0.6213369,-3.108645,-1.050016,-0.99313575,-1.2642685,-0.88427323,-0.66419214,-0.9317526,3.6620445,-0.7173617,-1.4799623
2015-12-02,385.5,387.5,381.5,383.0,168445,2.5,383.0,401548,4.5,0.7910258771657624,0.8711105677192343,1.0987203396933674,2.938096822443196,-1.4044139728731555,0.2112447695628936,0.5777861067116358,1.1854331137993996,0.3197165073542851,-0.09297195,-0.21635091,-0.14571473,-0.24004993,-0.23341593,-1.4373386,-3.2648964,-0.95689803,-1.175951,-4.6618667,19.54544,2.817069,2.8952289,-1.8523701,15.421418,-4.486187,0.4464488,-0.46522775,-0.78364414,0.63715273,-3.0529895,-1.2658147,-1.088046,-1.2559537,-0.5903454,-0.6527392,-0.9065568,3.6614938,-0.71232533,-1.349037
2015-02-03,383.0,385.0,377.0,378.5,16937,5.5,379.0,21297,3.5,0.605913008721826,-0.2230927784394652,-1.9511406414119237,-0.3670643571649599,-1.0334421697055651,-1.4063708046850223,1.1409235816294891,0.4034511940218348,-0.3089664836398714,-0.051276743,-0.08717379,-0.072333485,-0.095240176,-0.061307997,-0.97682315,0.19439252,0.6711083,-0.12774009,0.065246195,-8.824106,-5.1760845,-0.7930681,-0.8056292,-4.373753,-4.7953935,-0.40170082,-0.113505155,-0.7465241,0.6471399,-2.3654032,-1.2325011,-0.8823144,-1.0399075,-0.43893406,-0.56807727,-0.65962476,3.607153,-0.73269784,-0.7796944
2015-03-03,379.0,382.5,375.5,382.0,13705,3.5,382.0,16241,-1.0,-0.2270948992758877,-0.1891567435374058,-1.6312413934051315,0.057437530195897,-1.192434268813802,-0.9431771794511314,1.1849514795177507,-0.1774462533275394,-0.7735782899772731,-0.06873101,-0.12533799,-0.17874834,-0.11401591,-0.0704909,-0.85981876,-1.3740159,-0.4560735,-0.34889057,0.9480242,-11.892048,-3.7071438,-0.3169751,-1.0906018,-2.4857464,-4.874048,-0.41538307,-0.059208214,-0.7756066,0.6446307,-1.8805248,-1.199017,-0.84963137,-0.79838675,-0.80808264,-0.5534339,-0.6534327,3.6459842,-0.7397031,-0.88360375
2015-04-03,382.0,382.5,378.0,381.0,10600,0.0,382.0,12421,1.5,0.2356872718339532,-0.2117536465533186,-1.26112403146003,0.3443283123528037,-1.708248504173618,-1.011605609782732,0.7936041846823815,0.482165019112294,-0.2964652180420234,-0.07182711,-0.18806607,-0.13856041,-0.106024355,-0.087209076,-0.19747365,1.1485641,-1.1224446,-0.5469418,0.065246195,-13.642694,-2.9186504,-0.28468493,-0.829104,-0.4348648,-4.8217535,-0.3939968,-0.10425377,-0.7650347,0.6460124,-1.6610893,-1.2054795,-0.8790621,-0.7702655,-1.3051442,-0.5567541,-0.6494362,3.6331046,-0.745133,-0.905399
2015-05-03,381.5,384.5,380.0,382.5,6336,1.5,380.5,9472,-3.0,-0.5973206361637606,-0.26655995114715,-1.2708543138857238,0.4478589351010537,-1.8373622802482743,-0.5149638652448105,0.903090708282878,-0.3418424370919201,-0.9058602690625894,-0.0886482,-0.18997145,-0.24007714,-0.12049529,-0.1327967,-0.47420415,-0.5428931,-2.2419064,-1.4491868,0.9480242,-13.928396,-0.9044464,-0.092007816,-1.2703319,-0.8088524,-4.8876476,-0.4040598,-0.0868952,-0.7764457,0.6449046,-1.6496538,-1.3542031,-0.9739303,-0.7848832,-1.7385948,-0.5500358,-0.6483832,3.6457825,-0.74815166,-0.89704806
