Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Previous Day Open Interest,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-02-04,134.15,141.45,134.05,140.9,27826,6.05,0.0,713,28,0,79367,5.299999999999983,2.2241167334399776,5.0,5.0,5.0,4.917221861459533,1.020303368883361,2.5897627653109776,1.1030883256284794,3.7794075087457664,-2.5724439156832903,-1.908294939851192,-0.3081237121408214,0.35538033,0.1811229,0.6004292,0.07445237,0.4962332,3.9909327,5.123166,3.6645072,3.0792794,4.9132967,-8.315704,-0.24586144,1.9252033,0.9179749,-0.6667147,-0.6565843,0.055031072,0.05149261,-0.0008098784,-0.20722193,0.36114603,-0.097865306,0.14455365,-0.04147898,-0.20197499,0.2443497,0.67005515,0.15364929,-0.1260489,-0.11681269
2015-06-04,140.9,147.35,140.2,146.2,23226,0.0,0.0,449,11,0,78778,-4.25,-1.789258116282896,5.0,5.0,7.333333333333333,5.397745600549156,3.3070732617780765,2.988439412000027,1.2388024674577442,5.915278556618965,-3.9753837128844474,-0.6186132529495388,-1.5934459425383471,-0.42178878,-0.15568143,-0.5041693,-0.07026839,-0.40930107,-3.1982749,-4.3315754,-2.1921349,-2.5520844,-3.562342,-15.039064,0.009307962,1.2217194,1.9334775,2.0197597,-0.7170161,0.059369266,-0.0847167,0.010203626,-0.17452568,0.35821348,-0.1187709,0.042200908,-0.039595064,-0.19001861,0.2839772,0.7031825,0.17402425,-0.13974431,-0.27860555
2015-07-04,145.5,145.75,141.2,141.95,15858,-4.25,0.0,1385,32,0,71590,-6.25,-2.629755467010201,5.0,5.0,5.0,5.291156784018067,2.4946369990270982,1.500325272545765,-0.3972483781309278,5.343616983434493,-4.259298035229997,0.1591637397590981,-1.366955651983105,-0.51388806,-0.19718675,-0.63713264,-0.073555745,-0.57581943,-4.2881274,-5.799583,-3.6593964,-2.9973257,-4.766236,-10.561963,0.2809731,3.931988,0.89303946,1.6359798,-0.68969023,0.06497858,0.0026164425,0.014803078,-0.21816108,0.35740787,-0.14230286,-0.060787044,-0.071274735,-0.21346967,0.27461335,0.71008354,0.15878764,-0.13472107,-0.15735497
2015-08-04,141.75,144.4,135.1,135.7,25547,-6.25,0.0,571,20,0,67636,1.75,0.7322339358990188,5.0,5.0,5.0,5.454558876615769,1.1530289429208909,0.4313151347633857,0.268995747179907,6.032852049636309,-3.916034240731885,1.33559358961562,0.4390890644554834,0.10019963,0.042505708,0.08162401,0.021925796,0.121969365,1.2800885,1.9445065,1.5900115,1.3846486,0.88239986,-11.463386,1.1260686,4.856978,1.7642603,1.0626022,-0.6770953,0.03571932,0.014044676,0.029212195,-0.20508513,0.36360186,-0.16524196,-0.16323645,-0.057987712,-0.2245904,0.27108344,0.610997,0.15085073,-0.13342606,-0.12569495
2015-09-04,135.9,137.9,133.6,137.45,27086,1.75,0.0,391,1,0,65790,-2.35,-0.9907856330919564,5.0,5.0,5.0,5.227784280086361,0.4725370766837766,0.2934427008124551,1.1324274117294917,4.208009549651,-3.519211423677061,2.213073140630884,0.9282852987437206,-0.12345874,-0.03809456,-0.10406231,-0.030899357,-0.086922266,-1.9857405,-2.0706205,-2.1278691,-1.8631958,-2.441506,-8.672786,2.2069576,4.1520934,1.2584316,-0.99997026,-0.66051,0.0397402,0.064779855,0.014438512,-0.20913252,0.37417904,-0.18456502,-0.26188338,-0.036430016,-0.23768379,0.25355676,0.6171001,0.14016843,-0.12774359,-0.12194288
2015-10-04,137.4,138.45,133.8,135.1,21117,-2.35,0.0,117,2255,1043,58946,-1.35,-0.5705369577283038,5.0,5.0,5.0,5.24082281221163,0.1915554115084365,-0.6700098108545808,0.2416369502108427,4.68179172110262,-3.876435576400691,1.786163653691056,1.3372548455509494,-0.053279676,-0.013211069,-0.094374545,-0.03529599,-0.03606211,-0.71521294,-0.8202794,-0.7383828,-1.2968713,-1.8904335,-16.834505,1.1664629,13.895983,1.9622257,9.87249,-0.6997836,0.09532694,-0.0318942,0.021584412,-0.13638268,0.38312948,-0.18308198,-0.27231735,0.020422535,-0.24514586,0.30093133,0.73183006,0.20064656,-0.13940997,-0.20490877
2015-04-05,132.5,132.5,131.5,131.85,40,-1.6,0.0,0,0,0,189,0.7,0.2909728267671836,5.0,5.0,5.0,4.895305688066373,-2.0857358339552743,-2.4039814789687286,0.0328643162876217,1.4108807347087915,-2.94690048609613,-1.361848588196605,1.1371727930168114,-0.012859716,-0.011175866,-0.028119061,-0.0017358784,-0.03483365,-0.32058397,0.29180762,-0.40433657,-0.008063649,0.0071601872,-8.192788,1.4254661,1.7522907,0.4618188,-0.8776652,-0.5728339,-0.018050957,-0.033376366,-0.028726775,-0.20743819,0.3985577,-0.16630718,-0.21770456,0.056274947,-0.17272651,0.22811936,0.53029287,0.09196647,-0.1144848,-0.06950441
2015-05-05,131.7,132.8,131.5,132.55,7,0.7,0.0,0,0,0,171,-4.5,-1.894320285123809,5.0,6.8,5.0,4.784124786489119,-2.499953679167648,-1.7958697738927183,1.412480285498026,0.6181834650966478,-2.7521437764113807,-0.7235839500829848,0.907457949516399,-0.13565144,-0.017524961,-0.033381656,-0.0031569947,-0.08351055,-2.6656208,-3.3904898,-1.4121256,-0.62094665,-1.6789564,-7.326509,0.88787544,-0.6932119,0.19464609,-1.4821098,-0.6004248,-0.014360174,-0.056063518,-0.025862388,-0.1868841,0.4121767,-0.14902596,-0.14917086,0.09045765,-0.09594538,0.23011278,0.52136165,0.097181305,-0.11590085,-0.11393006
2015-06-05,132.4,132.4,127.85,128.05,9,-4.5,0.0,0,0,0,168,2.799999999999983,1.1734950450308466,5.0,5.0,5.0,4.844388332202365,-4.514782485791339,-1.921622607070823,-0.1898332910639903,2.178275662115404,-1.6232989713901558,-1.4621644053221914,1.5381756720115627,0.014218034,-0.0014390938,-0.0036383655,-0.004834954,-0.009958462,0.29524237,0.6834168,-0.22109173,0.05098393,0.5660654,-7.743523,2.269988,0.41414472,0.8278859,-0.24602324,-0.56925845,-0.00409653,-0.11170087,-0.020312725,-0.23099834,0.42225114,-0.12830865,-0.054267045,0.1310527,-0.01922541,0.23801163,0.55643517,0.090646684,-0.11867921,-0.037749253
2015-07-05,129.05,129.9,129.05,130.85,10,2.8,0.0,0,0,0,166,2.050000000000012,0.8583085385081194,5.0,5.0,5.0,4.461095845628427,-4.135891530960655,-0.2580951634718384,2.570847059315152,0.1264823950367207,-0.7885180137018505,-1.3036284904504636,1.382819175389597,0.049918797,0.0050495835,0.014772643,-0.00025077193,0.031671442,1.1429474,1.9601047,0.777077,0.51182455,1.001621,-6.7663026,1.9743547,-3.056443,0.13296393,-1.5137488,-0.5964191,-0.0003415498,-0.02229079,-0.015218987,-0.22826922,0.42919886,-0.110366575,0.03909853,0.15898895,0.06030527,0.23356634,0.5677465,0.097412996,-0.11772807,-0.03095619
