Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-02-18,23.9950008392334,23.9950008392334,23.8759994506836,24.011999130249023,-0.0099983215332031,-0.0665907623398324,-0.262617565573899,-5.155492718943881,-3.4770168433835664,-0.587109505416939,1.5832959380457066,-0.137890508231928,-0.6727658480246286,0.3040428127572325,-1.2257189839921594,-0.004105998,-0.0060795243,-0.0034022979,-0.0032647175,-0.005082154,-0.018801605,-0.021736104,-0.019937025,-0.041406225,-0.01587468,0.3963365,-0.003347226,-0.039521936,-0.25120094,-0.0028843533,-0.025020374,-0.02407333,-0.023749853,0.06865684,-0.00032267382,0.0090938965,-0.0016649155,-0.02638221,-0.0071741478,0.006185119,0.058854837,-0.0011226824,-0.0005449062,0.0353541,-0.017946737
2015-02-19,23.988000869750977,24.0009994506836,23.89900016784668,24.00200080871582,-0.042001724243164,-0.2859976709123882,-0.3039194225933977,-4.892603328107227,-3.5002944347931844,-0.8459586043547584,1.5501700435366794,-0.3973075327031668,-0.4323403926985651,0.6241739543280856,-1.3550668720200183,-0.0040700473,-0.0025388019,-0.00288174,-0.0035131602,-0.004808106,-0.025790188,-0.021736104,-0.013550776,-0.027116753,-0.0039329687,0.3863912,0.0036780285,-0.038190205,-0.26759118,0.0021826457,-0.031467754,-0.02187925,-0.026345609,0.06738237,-0.0032093758,0.00872686,0.000863631,-0.02639626,-0.007240183,0.006242569,0.05849006,-0.0015896417,-0.00053944055,0.033162065,-0.018731581
2015-02-20,23.92799949645996,23.98200035095215,23.85300064086914,23.959999084472656,-0.059000015258789,-0.4025334816995996,-0.3906136459199986,-5.423638986699218,-2.9614157199285773,-0.7709799572109157,1.717857811958508,-0.1577867668487951,-0.1424254068962587,1.4235479166541918,-1.5819168308534426,-0.004533386,-0.0054238043,-0.003340258,-0.004261268,-0.0049474756,-0.033146907,-0.0088568255,-0.0073785856,-0.016350353,0.011484415,0.37872013,0.02139772,-0.027013507,-0.30099916,0.016740892,-0.03356688,-0.018287588,-0.026298372,0.077686615,-0.0012469725,0.0091887815,0.0034075968,-0.022652404,-0.007278744,0.0062844995,0.058213554,-0.0021004293,-0.0005160747,0.036147855,-0.018787397
2015-02-23,23.91399955749512,23.94300079345703,23.84000015258789,23.900999069213867,0.0330009460449218,0.2282009026497195,-0.4716886334966952,-5.151309295408456,-2.936024345218789,-0.817932536041938,1.705960545361416,-0.4651468431571962,-0.6827417645559057,0.965077675357896,-1.2766692705672529,-0.004030742,-0.0025388019,-0.0027764458,-0.003478081,-0.0046734284,-0.01662438,-0.019518647,-0.07947848,-0.011212773,-0.05428317,0.37705514,0.021949857,-0.032111965,-0.26698363,0.018556634,-0.036568902,-0.019197218,-0.02626688,0.07094443,-0.0033346158,0.009631261,0.004871561,-0.019325612,-0.007421113,0.00633206,0.05529579,-0.0021496331,-0.0005277685,0.030688254,-0.019331329
2015-02-24,23.93400001525879,23.93400001525879,23.856000900268555,23.93400001525879,0.0230007171630859,0.1596419645934642,-0.5248034331043494,-4.746009393641645,-3.0481429060230165,-0.9408604178935176,1.7115368193379663,-0.2804472219056842,-0.8286569845714443,-0.0271375568213108,-0.8114018681536111,-0.0040613725,-0.0053595626,-0.003283564,-0.0031272783,-0.005082154,-0.01594547,-0.017363435,-0.019937025,-0.015905475,-0.01652562,0.38594142,-0.011035212,-0.04318852,-0.21659833,-0.008414457,-0.03486018,-0.021728907,-0.026041288,0.064073,-0.0046722987,0.008958568,0.0047743586,-0.018903175,-0.0076019615,0.0063739996,0.053082682,-0.0025619096,-0.0005448624,0.026372014,-0.019706354
2015-02-25,23.95599937438965,24.006999969482425,23.944000244140625,23.957000732421875,0.0339984893798828,0.2350397972908455,-0.4966859135053031,-4.273933930465024,-3.190711708484209,-1.128737183020644,1.5961343195485176,-0.4197718981927436,-0.4069997389667766,-0.0588008438782681,-0.8417051228261342,-0.003853031,-0.002590062,-0.0028065594,-0.0028634213,-0.004808106,-0.0042722863,-0.017363435,-0.019937025,-0.005075414,-0.01034544,0.37328738,-0.0175178,-0.045580074,-0.22336921,-0.0108121205,-0.038158122,-0.020709218,-0.025985992,0.059858575,-0.007629884,0.008464137,0.0049029035,-0.023618918,-0.0076989043,0.006416965,0.052707504,-0.0031885707,-0.0005486883,0.022956522,-0.020296853
2015-02-26,23.97599983215332,23.99399948120117,23.80299949645996,23.99099922180176,-0.1439990997314453,-0.9852648407571952,-0.4928989676528501,-3.2893179064808216,-3.62869310901749,-0.7138304834225285,1.5380464489727117,0.005409349973443,-0.9288812830058558,-0.5789881275492771,-1.0893466097341833,-0.004113141,-0.005495786,-0.0034942536,-0.0033583741,-0.005082154,-0.07587227,-0.02581007,-0.019937025,-0.059877813,-0.019743102,0.36895195,-0.03982268,-0.056589674,-0.20731035,-0.028303549,-0.023731306,-0.027388945,-0.02592656,0.05514351,-0.0041899094,0.0072853444,0.0045662248,-0.029899752,-0.0078048166,0.006486313,0.050366934,-0.0040108818,-0.00055107323,0.016529348,-0.020551391
2015-02-27,23.82299995422364,23.85700035095215,23.67200088500977,23.847000122070312,-0.1240005493164062,-0.8481600409250682,-0.6551156277406228,-4.8338671814764576,-2.185264700159285,0.0793731847964418,2.0576179161023327,0.0039671130876173,-1.39594451248297,0.5825237981978063,-1.6305093629325316,-0.004517863,-0.0054135746,-0.0035546639,-0.003367769,-0.005082154,-0.028362684,-0.02581007,-0.0233285,-0.043648187,-0.018689632,0.3882321,0.025469048,-0.022302946,-0.22291584,0.028177626,-0.022597326,-0.02073143,-0.025825601,0.06976921,0.0005403845,0.008204337,0.005913323,-0.018205699,-0.007520314,0.0064735264,0.055238437,-0.0037342652,-0.0005256434,0.024755677,-0.019862536
2015-03-02,23.73699951171875,23.73699951171875,23.632999420166016,23.722999572753903,-0.0739994049072265,-0.5053653506437905,-0.8589684009343312,-5.833084615856184,-1.4029980036423664,0.4238954708597999,2.0189556687728425,-0.486082303690083,-1.071074941662654,1.088055823574113,-1.2654642693854754,-0.0033317588,-0.0026360815,-0.0031568583,-0.003100799,-0.0045095934,-0.025794996,-0.0024993254,-0.07947848,-0.029846184,-0.017369457,0.39213562,0.067430414,0.012521743,-0.23421003,0.05709093,0.030794553,-0.012592218,-0.003133838,0.080043666,0.013171166,0.009740325,0.008043792,-0.0016657822,-0.0071309,0.0064353435,0.04983563,-0.003453422,-0.0005082822,0.030307816,-0.018449862
2015-03-03,23.68199920654297,23.739999771118164,23.645999908447266,23.64900016784668,0.0609989166259765,0.4201476224146966,-1.0468937535699334,-6.414273082672396,-1.1879851929367578,0.4031805029419346,1.5434741166074226,-1.3660977566265895,-0.5346603982239473,1.2470162990787583,-0.7715473785299635,0.0016658402,-0.0008242034,-0.00028565095,-1.6809763e-06,-0.00031215895,0.05913947,0.027614972,0.029869191,0.04563634,0.04054079,0.40544897,0.092737734,0.024345957,-0.24519464,0.07717069,0.122381635,-0.0012284637,0.014598274,0.07927382,0.024434429,0.011172499,0.010756761,0.014631018,-0.006717968,0.006350964,0.051568653,-0.0012662463,-0.00051904575,0.03727795,-0.017505016
2015-03-04,23.71299934387207,23.71299934387207,23.631000518798828,23.709999084472656,-0.0639991760253906,-0.4368064125875353,-1.158710039676206,-6.314243636474416,-1.427732370914957,0.2061406501017891,1.3142633979910856,-1.0765544612372635,-0.4384877971711339,0.565213779854541,-0.6668186305758929,-0.0024096167,-0.0012053514,-0.0019506653,-0.0018681629,-0.0022308887,-0.010497263,0.0048101554,-0.006384921,-0.029923277,0.005509186,0.43729123,0.061007235,0.012414092,-0.22308123,0.048726235,0.020854097,-0.01461478,-0.0050662165,0.06697521,0.01387862,0.011602889,0.012308666,0.011780744,-0.0065004206,0.006270562,0.051223762,-0.0018050274,-0.0005465663,0.034939807,-0.018324682
2015-03-05,23.666000366210938,23.709999084472656,23.57699966430664,23.645999908447266,-0.0109996795654296,-0.0734558095417267,-1.364796086819631,-6.774046581193454,-1.1017015145053697,-0.1593661509073885,1.5029161650652738,-0.9015440720805205,-0.7139035961306919,0.424480723857996,-0.8264664718708287,-0.0025239682,-0.0014601877,-0.0019823858,-0.0020550482,-0.0028197416,-0.004554368,0.005243849,-0.019937025,-0.023069581,0.015180329,0.48058468,0.05114034,0.0042332322,-0.20196943,0.0477955,0.017242838,-0.015790563,0.0075203143,0.070183426,0.018377349,0.012831975,0.013154941,0.007876811,-0.0063231913,0.0062021706,0.05153067,-0.0006954823,-0.00054497854,0.039333574,-0.017835153
2015-03-06,23.638999938964844,23.69099998474121,23.503999710083008,23.63500022888184,-0.0039997100830078,-0.0254658605303868,-1.5085128407745747,-6.887299619356073,-1.1154160943279836,-0.139670778432112,1.3862034028660493,-0.547199504594041,-1.1358523226758102,-0.6769602247254985,-0.9230806529620422,-0.0032845864,-0.0022026813,-0.0026973663,-0.0024052002,-0.001958764,-0.0055961725,-0.0056431126,-0.019937025,-0.010124795,-0.031604294,0.5468623,0.02003105,-0.02235465,-0.13178314,0.028652001,0.0012208412,-0.022581944,0.0032210816,0.069202445,0.019523505,0.013180955,0.013060562,0.005379531,-0.0060995664,0.0061247065,0.05415292,5.80409e-05,-0.0005538975,0.041259192,-0.017474078
