Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-02,587.3200073242188,587.3200073242188,584.3099975585938,584.260009765625,0.04998779296875,0.0245089183695519,-1.201961796177174,1.3084354968599432,3.508461678157495,0.2131514252078243,1.962446790934603,-4.0058878193463325,-1.3781199134050497,1.5002103519727998,0.15635107,-0.006766895,0.061671928,-0.035975795,0.25823087,1.8292367,2.1895373,2.760934,2.4538338,2.2974632,3.7582796,-3.7847753,10.596321,-3.0781212,5.531762,-0.39748037,1.8331114,0.59338605,-0.5465603,0.79555714,0.6180828,0.007694021,1.2693086,1.8179548,1.978303,0.8632795,-0.14540465,-0.33068767,1.8220825,0.304882
2015-03-03,586.5800170898438,587.77001953125,586.5800170898438,584.3099975585938,3.46002197265625,1.2079742466556271,-2.022724790992059,1.3918632496092394,4.042190581282762,0.1986290426318125,1.3905032814948413,-2.977239572237824,-1.4995701404898871,0.7425993749523793,0.346534,0.07116747,0.3050116,-0.030427305,0.5018239,3.3865955,2.929297,4.0675893,3.2847483,3.3128428,-1.0907607,-3.0792434,9.818839,-3.059327,5.270255,-0.36866796,2.6227157,0.9419863,-0.31313404,1.1944116,0.7465639,0.008134648,1.1709467,1.7960624,2.1434226,1.1594857,0.028605668,-0.32637507,2.008398,1.2775913
2015-03-04,586.6699829101562,589.4099731445312,586.6699829101562,587.77001953125,1.63995361328125,0.5763126019538057,0.240303670881282,1.9530764628425163,5.163979185711725,0.0805127252228173,1.9888072354822444,-2.421371521856465,-1.011834063350176,0.6339635814250337,-0.11412167,-0.048857428,-0.063331485,-0.04884944,-0.13504827,-0.018528216,-0.71513546,-0.9941607,-0.3222847,0.22107513,-3.5773363,-2.768313,11.374218,-2.9342806,6.6492286,-0.6755497,-0.5022663,-0.91296613,-1.1253487,-0.9261359,0.51901954,0.008085433,0.9581691,1.897346,0.71286404,-1.2235866,-1.4597042,-0.3879083,0.025079546,-1.4194273
2015-03-05,592.1500244140625,593.6799926757812,592.1500244140625,589.4099731445312,4.27001953125,1.4890869792792985,-2.014883670158349,2.250227563169572,5.569787467387632,0.1761700074371817,2.2383928511447726,-2.1339962528913645,-0.7447182941779856,0.7776956293273336,0.4606357,0.08951913,0.4133183,-0.025304103,0.5150404,4.175602,4.169448,4.003659,3.4370909,3.8075995,-6.1269236,-1.4638051,11.488123,-2.5600317,6.004367,-0.64170015,3.172419,0.45486194,-0.59791625,0.8185777,0.5459617,0.007995198,1.1804459,1.7569449,1.2336165,0.8223591,-0.43891558,-0.37305215,2.0202224,1.5632411
2015-03-06,595.25,599.239990234375,595.25,593.6799926757812,5.55999755859375,1.936778758647944,-0.6578445375559447,3.071868266623101,6.903969738453559,-0.2168518472666034,2.8094891366740784,-2.401120683712081,-0.3098264890056095,0.6157063454857622,0.35597432,0.059909992,0.4659718,-0.027872855,0.37480327,3.0321567,3.6714087,3.7887664,2.6884942,2.9819531,-8.264813,-1.5185242,14.158403,-3.4942734,7.350347,-0.89821833,1.8307958,-0.535068,-1.0021662,-0.12874095,0.30425152,0.007925853,0.94915116,1.4765503,1.5170665,-0.48588553,-1.7067444,-0.41606423,1.4408185,0.561782
2015-03-09,604.780029296875,604.780029296875,603.8200073242188,599.239990234375,4.58001708984375,1.5966728107159367,-6.069879399998357,3.6821153976266383,8.17914790839505,-0.4299437301549605,4.311975430114094,-1.8817319665243963,-0.0981705020031688,0.7158684352860021,0.4967596,0.09669135,0.48155057,-0.02274549,0.5783653,3.7994783,3.1452224,2.7163782,3.5097427,3.1851048,-13.822391,1.1801668,14.440386,-3.200254,7.4101667,-0.72464854,4.951044,1.7078508,0.042374924,1.1148543,0.28468335,0.00840205,1.2382791,1.3605943,1.5668864,1.2335088,-1.0468875,-0.3388291,2.4601252,2.4436526
2015-03-10,605.47998046875,610.6599731445312,605.47998046875,603.8200073242188,6.8399658203125,2.380996610795559,-0.6393999790330906,4.868968277618965,9.541559704339438,-0.441775781081998,5.325470886796077,-1.267898869519929,-0.0441796339366196,0.2472863533253622,0.53526765,0.07983594,0.623494,-0.02005883,0.5443848,4.123408,3.7585564,2.5472243,2.4391394,2.0528245,-15.679546,-0.22534996,17.991062,-3.676415,12.620619,-1.4450986,2.3815925,-1.2281349,-1.3155704,-0.5841141,0.32687277,0.008322811,0.9392751,1.4671438,1.0779865,-1.6073545,-2.2986984,-0.47568944,1.5238992,0.26780844
2015-03-11,612.8099975585938,618.6099853515625,612.8099975585938,610.6599731445312,7.95001220703125,2.7662424301178943,-0.7810911069418138,6.178490182439829,11.59817232527358,-0.7637649945576286,7.45318954787565,-1.4448090663817057,0.4994990652076998,-1.016108998672247,0.499806,0.041514546,0.43610898,-0.032889687,0.4306324,5.083263,2.2574077,1.1949013,3.236001,0.8654463,-19.485497,0.415381,20.168901,-4.666703,17.663635,-1.8196273,2.5055764,-1.3156409,-1.4148396,-0.56446755,0.1558877,0.008206518,0.63374627,1.123999,0.19057916,-1.8870711,-2.4511673,-0.4975697,1.6390246,0.15400948
2015-03-12,621.6500244140625,621.6500244140625,616.739990234375,618.6099853515625,-1.8699951171875,-0.6418284510933991,-1.0600184077568655,7.339371374892814,13.872840776134254,-1.2382467624644555,8.323280031360174,-1.1971460829637386,0.5487795958716737,-2.0719135290212827,-0.032585926,-0.037279174,0.18916078,-0.047172174,0.32142535,2.5897615,0.029719053,-0.05425521,1.9080683,-1.8254532,-25.850536,0.86326027,22.974802,-5.8803697,20.864857,-2.0459514,2.091116,-1.1710202,-1.451141,-0.46127865,0.23348615,0.0075660385,0.32487112,0.88561636,0.20158592,-1.9010541,-2.445653,-0.5089435,1.7364675,0.09225694
2015-03-13,618.1199951171875,620.469970703125,618.1199951171875,616.739990234375,3.72998046875,1.3016643692081475,-0.976587888217622,7.6713790478908,14.11585594698806,-0.8125257171886027,5.765565732912682,-0.8803675072668519,-0.2811520627508729,-2.4729853433796367,0.38422218,0.040046696,0.44317633,-0.031118616,0.40948763,2.0234277,3.1356652,2.0648468,2.6815948,1.4082135,-29.430677,-0.39421037,23.806723,-6.093943,19.397406,-1.8790145,1.4816413,-1.1610723,-1.4688534,-0.40680775,0.051041365,0.006321335,0.4131551,0.9026494,0.29141784,-1.7840562,-2.3483596,-0.49691328,1.6464481,-0.019905975
2015-03-16,624.8099975585938,624.8099975585938,622.7899780273438,620.469970703125,2.32000732421875,0.812327828153259,-2.6576664784716466,8.398246726525251,14.472606569714335,-0.2289244219631649,5.42086003794423,-0.9424558845047084,-0.5543300143868306,-1.7191828749697031,0.33159366,0.042065263,0.29574922,-0.03384726,0.397021,2.8022022,2.9472318,2.5764623,2.7477503,1.7275449,-30.88204,-0.31248745,25.78456,-5.251522,19.221565,-1.8606056,3.0641234,-0.3104854,-1.27692,0.030731225,-0.10879905,0.0056560393,0.14449093,1.1360967,1.110574,-1.2174749,-2.252199,-0.4948252,2.1263154,0.26063812
2015-03-17,621.0,621.0,616.989990234375,622.7899780273438,-5.79998779296875,-2.0057473525255114,0.0020663182638685,8.849440849673263,15.093268421805226,0.0695141430432499,3.745289129018965,-0.016631577309281,-1.7590510549141496,-0.879307527340762,-0.6809039,-0.16458166,-0.60582674,-0.0781817,-0.6791001,-3.797309,-4.6095943,-3.4604287,-3.8586836,-3.054161,-33.989143,-2.2043486,28.864136,-4.938013,18.850098,-2.0180776,-1.9132168,-2.2162604,-1.8204609,-1.4122144,-0.3169821,0.0049785823,-0.1772124,1.0555496,0.7953999,-2.291297,-2.493912,-0.5182241,-0.2611138,-1.7063069
2015-03-18,618.5700073242188,618.5700073242188,618.1900024414062,616.989990234375,1.20001220703125,0.4236292640929496,-4.685187229247913,8.666594848117906,13.692567334200364,1.5435115161226278,2.513848666075027,0.124501578127655,-2.343749468808394,-0.293434915822468,0.23258182,0.035186514,0.19750683,-0.036165074,0.3562516,1.3427675,1.7904919,1.7700146,2.0741663,2.001623,-32.71187,-1.7967724,25.90728,-2.4007633,16.595118,-1.3922337,2.6634064,0.5361263,-0.81200105,0.7216748,-0.16377832,0.0023803504,-0.07604977,0.85859466,1.6052315,-0.69260687,-2.123555,-0.44349468,2.3911464,0.99183583
2015-03-19,601.9099731445312,613.9199829101562,601.9099731445312,618.1900024414062,-4.27001953125,-1.474766049784379,0.8925946569311163,9.497146241060545,12.51569969605566,2.904628607388128,4.934930274239419,2.6549782495288192,-4.23321021440033,1.4786922251520869,-1.0404521,-0.25900608,-0.71860135,-0.096294604,-1.0488161,-5.1486354,-5.142893,-4.246741,-7.2346497,-4.4580727,-28.551167,-4.700011,26.332672,1.4643768,24.009123,-2.023342,-7.060146,-3.576578,-2.5078363,-2.2864735,-0.38902205,0.0017856694,0.022137271,0.5917235,0.6099661,-2.8133042,-2.850523,-0.52170694,-2.0003262,-2.9669087
2015-03-20,615.1699829101562,615.1699829101562,611.0,613.9199829101562,-2.91998291015625,-1.0062307070895573,-0.8577604300522198,9.532606863507228,10.74614338873008,4.533065612617165,4.22409012140042,3.108860704457458,-4.650428078329134,1.2312589070095497,-0.4839768,-0.15222697,-0.43160138,-0.07559859,-0.26932168,-3.2717454,-1.8691299,-1.8120109,-1.0383705,-0.26896277,-26.427841,-4.6071267,24.255499,3.5128098,25.821503,-1.9120201,-4.669185,-2.5181932,-2.17942,-1.1773016,-0.3644991,0.0012762974,-0.23495407,0.4138178,-0.44242555,-2.387382,-2.8112285,-0.5154259,1.1378481,-1.4602798
2015-03-23,607.1699829101562,607.1699829101562,601.7999877929688,611.0,-9.20001220703125,-3.185738753590557,0.1998179313242835,9.56177027221904,8.20151619298914,6.119649657494716,5.76909422989761,4.088679350633097,-5.005962891807744,1.9310959087141213,-1.2274141,-0.30041912,-1.0933661,-0.10802238,-1.2868941,-7.8046036,-6.950229,-7.604201,-6.591975,-6.50025,-18.95498,-5.029451,20.132107,7.729304,29.474329,-1.9964224,-6.797927,-3.9543505,-2.748449,-2.085386,-0.24654545,0.0008057373,-0.5140487,0.42117307,-1.1491988,-2.8301961,-2.8920133,-0.5258431,-1.5338097,-3.125591
2015-03-24,599.6500244140625,600.8099975585938,597.1099853515625,601.7999877929688,0.0,0.0071604647474596,0.0419079623575143,9.3011795655626,4.554085082658252,8.126332781161032,7.425454252781741,4.23918638256613,-4.754633112496018,1.3718562003155608,-0.8654414,-0.20358272,-0.4543349,-0.091531806,-0.88016576,-3.6493094,-4.366986,-3.911613,-5.2473936,-2.6190681,-7.9467654,-5.192821,12.756017,11.965155,34.04754,-1.9254577,-4.829596,-4.3362675,-2.6600313,-2.1608448,0.019023089,0.00090894644,-0.6509762,0.30617365,-1.1018994,-2.8206801,-2.8133445,-0.51682574,-1.2725092,-2.9017153
2015-03-25,599.6500244140625,600.8099975585938,597.1099853515625,601.7999877929688,-4.69000244140625,-1.6205227156862314,-0.0297782464787188,8.90563473374949,2.038809408889372,9.157906767540869,6.417533933351395,2.87641971978142,-3.6964508184300975,0.4343138278305748,-0.7359495,-0.20369847,-0.6172465,-0.08907384,-0.7659525,-4.4018536,-6.025318,-4.7862496,-3.7857666,-3.712299,-0.37442333,-5.2057157,8.70712,13.903946,33.415707,-1.7377242,-2.686114,-3.5968375,-2.1926634,-1.9152626,0.22942773,0.0009394752,-0.76536936,0.3395018,-1.0053133,-2.7187765,-2.6771536,-0.5019672,-0.80460435,-2.466495
2015-03-26,597.5,597.5,596.4500122070312,597.1099853515625,-0.65997314453125,-0.2218857245268796,-0.9274078051912642,8.21709562883115,-1.5705692202290615,10.300261944713098,5.811077501832137,1.891156736857254,-3.055726779743825,0.7417376003775924,0.10917795,-0.028199239,-0.0029934517,-0.0427975,0.22781096,-0.5470901,0.7801954,0.48420364,1.7320747,0.15417805,9.850549,-4.995917,3.6697044,16.61114,31.724987,-1.5524668,-0.3716178,-1.7765915,-1.50108,-0.69459134,0.18738423,0.0007879453,-0.59623176,0.30544457,-0.5102002,-2.308425,-2.3776736,-0.46619385,1.7726983,1.1485403
2015-03-27,602.1799926757812,603.8699951171875,602.1799926757812,596.4500122070312,7.41998291015625,2.582293747267773,-4.015461088201484,7.827988724411514,-2.9014186138247133,10.191571940379278,5.236356642964448,-0.2819784921659789,-1.899182359746544,0.5598365045473231,0.42294803,0.07229013,0.49043334,-0.025947396,0.5803448,2.699567,4.140812,3.9963357,3.483346,3.7593105,14.964686,-4.1352067,1.862794,16.159697,28.344423,-1.2482842,2.4943004,0.71540725,-0.543186,1.0559003,0.35703874,0.00080149603,-0.4676333,0.5790583,0.9726168,-0.5725467,-0.3428165,-0.38763472,2.436818,2.4798775
2015-03-30,604.02001953125,605.239990234375,603.260009765625,603.8699951171875,1.3699951171875,0.4826224794012854,-0.6397944416151178,7.863204957333279,-3.1752648361715994,9.355895016654786,3.98142606674965,-1.4206606715249968,-1.3018473050073334,1.2717067189585494,0.27876532,0.020969385,0.31832823,-0.03818101,0.26538175,0.6349078,2.308242,2.4648886,1.358492,1.6881849,17.518087,-4.743327,4.7904906,15.084551,25.479727,-1.3718308,0.6874522,-0.9019669,-1.2042994,-0.39217943,0.39871398,0.00077826326,-0.34984466,0.74340564,0.59508985,-2.0050764,-2.1174827,-0.44425544,1.4159397,0.20256521
2015-03-31,605.8900146484375,610.6199951171875,605.8900146484375,605.239990234375,5.6300048828125,1.9610750667120949,-0.7872975055554705,7.898173998397109,-3.644518682062646,8.741666356552026,4.063028196846098,-2.8316322985975764,0.0606720445900592,1.0139654892272054,0.5186777,0.08851979,0.53639674,-0.02150097,0.27933043,4.2849364,5.0050144,4.409014,2.2461298,3.4249535,20.497969,-3.9433548,4.1937513,14.237532,23.44339,-1.2433214,0.9562533,-0.3858272,-1.0449471,-0.124846496,0.5938911,0.0011951345,-0.39163184,0.9199607,-0.49502763,-1.6744597,-2.044108,-0.43490016,1.476481,0.7149828
2015-04-01,609.6699829101562,609.6699829101562,609.6699829101562,610.8699951171875,-1.20001220703125,-0.4093083345980304,-0.5678086695918951,8.199704842111773,-2.0966897433210216,6.956535998005366,4.5439988104911695,-3.99493640559716,1.1776331785186698,-0.1148156757220434,-0.08254622,-0.07069049,-0.29468426,-0.0436737,-0.007069188,-0.80876815,0.13804111,-1.5890905,0.18106088,-0.5287877,18.015526,-2.7204585,5.64519,11.139046,22.545658,-1.2650014,-0.47235775,-0.67316794,-1.1831559,-0.31174776,0.62760794,0.0016918945,-0.2777111,1.0742824,0.21516308,-2.2202473,-2.1932726,-0.4454895,0.7807372,0.29095912
2015-04-02,609.030029296875,609.030029296875,605.9600219726562,609.6699829101562,-6.28997802734375,-2.1758003264915144,-0.3478254507674549,8.06849766805376,-2.59348386009721,6.28942912761891,4.3028263958159645,-4.064360427437438,1.4017610358153847,0.4185942859848648,-0.29841238,-0.09205104,-0.5766077,-0.061597563,-0.24958603,-2.373505,-2.2859619,-2.560439,-0.910385,-1.537145,18.731781,-2.5168018,5.3319497,10.676826,20.171907,-1.1728791,-1.3260216,-0.5123666,-1.1623973,-0.40380517,0.7251718,0.0019446629,-0.17684837,1.1595389,-0.11783029,-2.3177152,-2.169255,-0.4371676,0.46198362,-0.019581873
2015-04-03,603.5999755859375,603.5999755859375,603.5999755859375,603.3800048828125,0.219970703125,0.0835021336778877,-0.558318619836454,7.553465848052538,-3.337688713308793,5.769296266013355,3.1962043584694446,-4.585408892148302,1.4713769596664337,0.8833759539850532,-0.008721571,-0.00057607534,-0.013261737,-0.031556856,0.1453864,-0.27620402,2.2735949,-0.059598584,1.5714474,2.802967,20.67247,-2.5908093,4.297204,9.730585,16.436863,-0.9401522,-0.8900246,0.0001725106,-0.92513824,-0.09647211,0.68097836,0.0019981784,-0.06611123,1.3384092,0.4495297,-1.8200082,-1.7427341,-0.39499864,0.75154346,0.74376005
2015-04-06,597.0499877929688,597.97998046875,596.8599853515625,603.5999755859375,-5.6199951171875,-1.943280209996146,5.351950209579894,7.66377482025864,-3.120069870860961,4.720111181683122,3.60426983918476,-4.037060759736662,0.9004171966423791,1.0342835792745997,-0.41580772,-0.12600434,-0.36686727,-0.058266398,-0.62911403,-4.6274686,-2.4680388,-2.1155527,-2.6085892,-1.0582117,21.513075,-4.474115,6.432201,8.043894,18.602903,-1.2177559,-5.0935154,-2.3160324,-1.8264241,-1.9465258,0.5996647,0.0027637926,-0.14128338,1.0638666,-0.43081495,-3.5022485,-2.407619,-0.43606973,-2.1944118,-2.4107263
2015-04-07,599.7100219726562,603.9000244140625,599.7100219726562,597.97998046875,5.9200439453125,2.061734226189729,-0.9460347938909596,7.250409731355835,-2.7897187263479624,3.941384331368456,4.405287285380797,-3.802889167409466,0.406562672973668,0.1629820470356668,0.43555075,0.06527275,0.53734565,-0.027556486,0.37128785,3.1684363,3.8495321,1.0921736,3.037861,2.389558,17.117935,-3.187236,3.9086983,6.10944,17.79158,-0.886279,0.43258077,-0.068098515,-0.8393808,0.020923702,0.7043939,0.0029329413,-0.05500902,1.3073124,-0.060129143,-1.3947836,-1.0227787,-0.39472985,1.4568781,1.4621067
