Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-06,595.25,599.219970703125,595.25,593.6599731445312,5.55999755859375,0.2990579394667099,0.4613018701529574,2.862299663523199,4.065556025669318,0.5415851270801636,0.6124407560817738,-0.707978979152798,1.967748195319849,1.671042367513244,-0.753256831803562,0.4634083028277244,0.3743819712565309,0.0089669903325104,-0.0214061608084301,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,-11.299599,25.42048,0.45562157,-17.493397,48.19501,2.3304513,-2.6888185,-3.0872486,-0.0035426826,3.6175497,-6.0091867,1.0030026,7.062665,-1.1152756,3.9692962,-0.9537669,-1.1978139,-4.5453243,-0.6735312,-4.698281
2015-03-09,604.739990234375,604.739990234375,603.8300170898438,599.219970703125,4.61004638671875,0.2481663799749664,-5.203586234240337,3.5004924748502675,4.767105020287618,0.8576423758043219,0.8048417395160117,-0.9799035419315664,2.0126059677164507,1.5465059584848355,-0.6345505413884507,0.6255268369386257,0.6132203514969544,0.2041242174207949,0.0169780828690089,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,4.8226037,36.378906,2.0528998,-25.871998,108.784424,0.29515722,-3.901699,-6.480106,-3.2780664,-2.6783683,-5.9577737,0.8430259,7.182454,-1.0899061,5.3316493,-0.9224017,-1.8890084,-4.6480975,-1.3226463,-5.2031236
2015-03-10,605.47998046875,610.6500244140625,605.47998046875,603.8300170898438,6.82000732421875,0.3665602110002199,0.5563818381805222,4.101687258059124,5.537869265675251,1.037403567509511,1.0179355447240688,-1.0969500363358191,1.87245384110244,1.5338926648894509,-0.3467546069971806,0.7807363768040911,0.7575332771755938,0.6041041118334807,-0.1065777465751347,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,2.088766,35.28611,0.331403,-33.350895,48.235683,2.0278277,-3.889006,-4.673119,0.86615086,4.5367193,-6.265452,0.69626886,7.1918244,-1.0790466,4.2352424,-1.0056245,-2.026535,-4.418954,-0.8922826,-5.571032
2015-03-11,612.8300170898438,618.5599975585938,612.8300170898438,610.6500244140625,7.90997314453125,0.424952749512399,0.4810633364186049,4.907611709574708,6.414487778120122,1.3749467529441128,1.2250668077892195,-1.1937143266699135,1.8806622194530669,1.577419458751281,-0.1392742331994955,0.9285010342019472,0.8240264847070021,1.0257839359133458,-0.3505363693078094,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,7.9849153,42.815506,0.48134914,-40.30113,51.31075,1.7109382,-4.8279934,-5.7934318,1.4398296,4.6648474,-6.2867403,0.5694495,5.8023205,-1.080489,3.849426,-1.0256258,-3.2549489,-4.3483644,-1.0580654,-6.093636
2015-03-12,621.6099853515625,621.6099853515625,616.760009765625,618.5599975585938,-1.79998779296875,-0.0952372027121241,0.2374981058788786,5.819162650654366,7.354152021457988,1.7553572987659796,1.3615721559273803,-1.2883699678089284,1.648019636542704,1.5404456017679742,0.0299017129355137,1.20401285773101,0.7951933256627591,1.341893750817385,-0.486881915175257,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,13.46425,50.739353,-2.475687,-50.05648,52.96942,1.485446,-5.9213185,-6.5637197,1.8141228,4.4259715,-6.2794285,0.42428565,5.3370748,-1.0760665,2.11552,-1.0248032,-3.9943085,-4.2961884,-1.2059891,-6.4829674
2015-03-13,618.1199951171875,620.4099731445312,618.1199951171875,616.760009765625,3.64996337890625,0.196732029499181,0.3023710562119019,6.526529040604784,7.810678439680027,1.6608014683293926,1.4950238713906474,-1.4101543392293945,1.2288188780238596,1.6070034138870533,0.1654302801259477,1.6402446820328502,0.7635795202028813,1.522422727497533,-0.2799137240859739,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,14.372253,54.94102,-5.1358056,-53.86249,51.881924,1.5405508,-6.455072,-7.003661,2.4460573,3.99603,-6.3080564,0.3947651,2.879868,-1.070557,1.7836659,-1.0300006,-4.019578,-4.2694387,-1.2199637,-6.582245
2015-03-16,624.8300170898438,624.8300170898438,622.77001953125,620.4099731445312,2.36004638671875,0.1276275436151855,-1.2760318929437828,7.3394345201483935,8.342611425797037,1.4882784453404805,1.7501543185246196,-1.5153668890332828,1.0663158399040795,1.7536472215745325,0.4318735293326494,1.7496235005235652,0.7310418576111326,1.624024174441418,0.0041142931951165,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,17.951,60.080063,-1.6328945,-57.737564,75.811386,1.603779,-7.1171417,-6.2314863,2.0926359,1.797084,-6.294793,0.40659153,2.7733285,-1.0665175,1.8544401,-1.0266302,-4.8529344,-4.266577,-1.3463955,-6.8478594
2015-03-17,620.989990234375,620.989990234375,617.02001953125,622.77001953125,-5.75,-0.3068504805087805,1.3485304694933518,7.863812037012641,8.874465577300848,1.352221190408631,1.94290123203876,-1.485057852406554,0.5652819926326472,2.0365889562089445,0.6174897734745435,1.9356371790730156,0.6913108155809775,1.806498714103678,0.2332227390143194,-0.31674135,-0.20732173,-0.152681,-0.2134281,-0.26525447,-0.58738405,-0.6035167,-0.26866734,-0.8241468,-0.46676147,14.228993,64.39948,-6.018204,-64.15673,47.68111,1.8003918,-7.7037377,-7.9233556,3.6590254,3.705066,-6.3460603,0.40896332,2.0244868,-1.068119,1.7521484,-1.0323937,-5.249138,-4.1778274,-1.6090527,-7.0222535
2015-03-18,618.5700073242188,618.5700073242188,618.22998046875,617.02001953125,1.2099609375,0.0660142272760104,-3.687965795382639,8.156306471949208,8.741490463204665,0.5634155096324401,2.227729281069171,-1.214417903727155,0.3553088667747329,2.082062555533756,0.9324507694010532,1.8333049639021373,0.2512389562753554,1.620465080717193,0.761845996324668,0.2076505,0.0785031,0.0068323235,0.09312483,0.13362081,0.58766633,0.25340173,-0.11685633,0.658621,-0.02819201,18.907993,63.75866,0.45243955,-58.513626,112.43897,1.5795221,-7.400738,-7.6144977,0.76878047,-2.8035235,-6.392453,0.46496797,2.3727973,-1.0655887,2.4711063,-1.0095197,-4.447116,-4.334431,-1.5943941,-6.7887707
2015-03-19,601.8900146484375,613.9199829101562,601.8900146484375,618.22998046875,-4.30999755859375,-0.2297054944455125,2.2578367850096583,8.207584199499804,8.398998133306495,-0.1980129927844409,2.639208985168734,-0.4362254354261076,-0.6262682121661398,2.7586108588682503,1.919298667637065,2.1376943413554272,-0.1166100804043214,2.1723732395720248,0.8045167512395431,-0.31674135,-0.20732173,-0.152681,-0.23372303,-0.26525447,-1.2711266,-0.6035167,-0.26866734,-0.8241468,-0.46676147,9.618364,55.19918,-3.76006,-58.19307,38.027584,1.7600563,-7.5369835,-9.692676,2.5479667,2.3247142,-6.4705415,0.55045,1.1401501,-1.0682234,2.0058687,-1.0696899,-5.6424723,-4.1565948,-1.7769608,-7.1365013
