Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-06,19.132999420166016,19.34499931335449,19.086000442504883,19.128999710083008,0.1180000305175781,1.1374942268015906,9.52370090703184,3.1399306955988733,-1.1452730608947312,-0.7842044371786338,0.767662346491125,0.6968721027887719,-1.0068992471747449,-0.0027152635,-0.0031894885,-0.0053090896,-0.0052934587,0.0018965206,0.05011914,0.05616508,0.034910973,0.111254394,0.014808441,0.70704865,-0.12858441,0.017638678,0.06242783,-0.12737712,-0.00543316,-0.0064154924,-0.006958933,-0.0073132482,-0.025537495,-0.010442574,-0.009010209,0.0024865242,-0.0065101753,0.008994434,-0.00022138403,-0.008843996,-0.0014387285,-0.0033607483,-0.0047326386
2015-03-09,19.2450008392334,19.364999771118164,19.229999542236328,19.246999740600582,0.1020011901855468,0.9846743110547436,9.622097129930197,4.024491832162336,-1.1586504892614438,-0.4895817972160704,0.3441948821723922,1.0319553210449803,-0.7203370149814591,-0.003279084,-0.0034078753,-0.005371974,-0.0053125597,-0.0006325076,0.050767947,0.017740496,0.036215387,0.06100409,0.014808441,0.6667088,-0.051558927,0.01888931,-0.008092769,-0.1013601,-0.0055345343,-0.005012574,-0.006509011,-0.006759911,-0.027203443,-0.01051596,-0.009063228,0.0020511707,-0.006599687,0.0085466765,-0.00022184306,-0.0088477,-0.0014059823,-0.0031617156,-0.0047613704
2015-03-10,19.35199928283692,19.45499992370605,19.28199958801269,19.349000930786133,-0.0540008544921875,-0.5054473995955391,9.761729930202454,5.014892611587787,-1.7031385441123332,0.1511518651525405,0.497675417084885,0.832613074092393,-0.3969937603744715,-0.0045706537,-0.0039565274,-0.0056112995,-0.005646483,-0.0035781157,-0.0067982054,0.010158006,-0.0019602317,-0.065724604,-0.0013023515,0.58106154,-0.014354103,0.014134261,-0.059367385,-0.058950912,-0.0055242474,-0.0034108923,-0.007984015,-0.006747079,-0.028951459,-0.010302804,-0.009121058,0.0018939339,-0.0067579127,0.00805169,-0.00022226856,-0.008852402,-0.0013801468,-0.0029472604,-0.00479319
2015-03-11,19.292999267578125,19.39200019836425,19.292999267578125,19.295000076293945,0.0680007934570312,0.6599046617815815,9.770552483844927,4.829720263370318,-1.1484053466546904,-0.4216035051582378,0.1237308122079466,0.4034354010156795,-0.2823940929174059,-0.005449649,-0.0047997287,-0.0056838235,-0.005699191,-0.0066247894,-0.016780568,-0.010985053,0.000498029,0.015913183,-0.004140191,0.65634125,0.0003082497,0.010966408,-0.04247809,-0.07331077,-0.005470622,-0.004486528,-0.008174502,-0.0065103793,-0.028401548,-0.0097990595,-0.009179218,0.0016830713,-0.0069132163,0.0075174663,-0.00022165383,-0.008849551,-0.0013778739,-0.0028214357,-0.0047860066
2015-03-12,19.367000579833984,19.402999877929688,19.242000579833984,19.363000869750977,-0.0230007171630859,-0.2093360392434289,9.839046518236808,5.406622334533737,-1.3076537778311108,-0.537671246193922,0.0593761643895255,0.4520356202475544,-0.5761044125253068,-0.0056154407,-0.004289218,-0.0055920845,-0.005622987,-0.0049511474,-0.014199351,-0.0045194156,-0.001990971,0.0017443104,0.0032081425,0.6282975,0.008673198,0.0073905056,-0.044049833,-0.07344611,-0.0053956867,-0.0048339088,-0.010078511,-0.0068519865,-0.029139496,-0.009491728,-0.009236018,0.0019726646,-0.0070103435,0.007056446,-0.00022139998,-0.008846737,-0.0013646816,-0.002972027,-0.004802989
2015-03-13,19.340999603271484,19.395999908447266,19.31800079345703,19.34000015258789,-0.0100002288818359,-0.0851561935435594,9.887950880101416,5.2284030357320574,-0.7051342934846787,-1.374217296728875,-0.2506748514689118,0.477038360809308,-0.618813661323351,-0.0049493606,-0.003933996,-0.0054546394,-0.005512752,-0.0035256422,-0.010553527,-0.0077323127,-0.0052233553,-0.026920712,0.004989545,0.69311595,0.03039131,0.01280755,-0.035982747,-0.09598817,-0.005354933,-0.006102893,-0.011883539,-0.0070906584,-0.029074213,-0.009753468,-0.009289642,0.0023638087,-0.007145138,0.0065525584,-0.00022104364,-0.008842551,-0.0013720333,-0.0030008187,-0.0048004817
2015-03-16,19.3439998626709,19.465999603271484,19.30599975585937,19.32999992370605,0.0200004577636718,0.2014084767928903,9.974794863439923,5.440920375981216,-0.5958853367401202,-1.1494200036504567,-0.3153097047545523,0.557730121247321,-0.5480695966657795,-0.0052297325,-0.004381213,-0.0055837957,-0.0056015863,-0.0043453355,-0.010553527,-0.0037693393,-0.007365567,-0.0057366444,0.0032081425,0.6915877,0.035152275,0.013128039,-0.039063696,-0.095414,-0.0053773625,-0.005145028,-0.010766726,-0.0068419925,-0.029780462,-0.010043037,-0.009342829,0.0031489248,-0.007454791,0.0061106817,-0.00022134387,-0.0088447025,-0.0013563223,-0.0029145202,-0.004809357
2015-03-17,19.350000381469727,19.410999298095703,19.339000701904297,19.350000381469727,0.0319995880126953,0.3160234136030258,10.011973244758366,5.3858625260014925,-0.0930719486061171,-1.4882262611010442,-0.5823349065136606,0.2872716284369445,0.0141757861160537,-0.0055226767,-0.0052909674,-0.00576842,-0.0057380153,-0.0071400506,-0.022317335,-0.018740235,-0.0075058043,-0.009385763,-0.0054799505,0.7451109,0.061881375,0.01170316,-0.054459453,-0.077158205,-0.00539267,-0.005333512,-0.0128276935,-0.006715751,-0.029983003,-0.010147653,-0.0093528945,0.0041398164,-0.0078043006,0.005687211,-0.0002213622,-0.008847333,-0.0013584564,-0.0026675777,-0.0048091994
2015-03-18,19.378999710083008,19.450000762939453,19.36199951171875,19.381999969482425,-0.1299991607666015,-1.231378437141211,10.077272585655493,5.876250022506735,-0.1156600686498037,-1.4639601986667758,-0.5713498621598185,0.2431837166342059,0.3197190920854084,-0.0075358306,-0.0070969034,-0.005782691,-0.005900828,-0.010363181,-0.011124715,-0.038437936,-0.030812044,-0.094450384,-0.0054799505,0.73365015,0.07247733,0.011905412,-0.066077106,-0.06205994,-0.005374505,-0.0041099745,-0.013182905,-0.0066752904,-0.030961113,-0.009792879,-0.009364397,0.0051074224,-0.008162305,0.0052796155,-0.00022155132,-0.008848604,-0.0013384157,-0.0024496983,-0.0048249965
2015-03-19,19.246999740600582,19.5049991607666,19.17200088500977,19.25200080871582,0.2119998931884765,2.035374997873579,10.224681948455633,4.5824046589785326,0.4819835826157007,-0.0951802902748835,-0.6306783561996674,0.1544861756198695,0.7206039922327337,-0.0009500535,-0.0027795383,-0.0057213646,-0.0055792327,-0.00053145183,0.043270532,0.04093794,0.03449424,0.1516648,-0.0054799505,0.8336245,0.11466612,0.008857792,-0.06989142,-0.07831549,-0.0056087472,-0.002852925,-0.007267788,-0.005616489,-0.0305611,-0.009355529,-0.009372182,0.0061021145,-0.008535005,0.005163411,-0.00022280861,-0.008858154,-0.0013599158,-0.0024618555,-0.004794088
