Date,Open,High,Low,Close,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-03-04,87.78900146484375,87.8270034790039,87.37000274658203,87.80999755859375,-0.3109970092773437,-0.7672049268637904,8.861842521640881,-0.1381400917427827,-1.7064538115738348,-1.561995365972075,-1.3522458096556784,-1.4001069097483911,0.5643700316316611,-0.0067551383,-0.0012869446,-0.009429748,-0.015599343,-0.008845641,-0.08888269,-0.10885533,-0.08387932,-0.12725252,-0.07694171,-0.2443523,0.9173134,-2.132424,-2.6301599,-0.18189622,-0.015794776,0.014381914,-0.0020355328,0.012858252,-0.0027763203,0.008358072,-0.0482542,-0.0140664065,-0.019813154,-0.029346116,0.016515864,-0.018254803,-0.013167637,-0.0030529483,-0.06553483
2015-03-05,87.50900268554688,87.88400268554688,87.44000244140625,87.4990005493164,0.0540008544921875,0.1434417689491199,8.866716760339225,0.1007673450847053,-1.397675070378675,-1.2947858185877956,-1.4780260108754868,-1.417916859574756,0.1393201130918168,-0.0037372003,-0.0012869446,-0.0067529916,-0.013487828,-0.0064668246,-0.018521117,-0.045392573,-0.010314403,-0.04724662,-0.019558068,-0.020000014,0.9388007,-2.144771,-2.5934103,0.18873505,-0.015339137,0.025553428,-0.0020605957,0.012723885,-0.0018984376,0.0064207655,-0.048866853,-0.012061346,-0.026996728,-0.031049801,0.016515864,-0.018236542,-0.013245932,-0.0030555376,-0.06482942
2015-03-06,87.55000305175781,87.92500305175781,87.51000213623047,87.5530014038086,0.0029983520507812,0.016193735640675,8.936204922274959,0.1098007853690616,-0.6501203024200288,-0.9069175869169408,-2.0149565120422985,-0.7693403852899088,0.0545191060852818,-0.0066139475,-0.0009598187,-0.0056840475,-0.014184976,-0.006942303,-0.024282893,-0.03320797,-0.24300732,-0.048540216,-0.092330396,0.0062956843,0.90717393,-2.1725256,-2.245006,0.27296552,-0.015718209,0.059983194,-0.002056553,0.01244229,-0.0013726521,0.0043631704,-0.048261426,-0.010577833,-0.030384615,-0.032842275,0.016515864,-0.018242724,-0.013194305,-0.0030814165,-0.06312959
2015-03-09,87.5199966430664,87.9020004272461,87.38999938964844,87.55599975585938,0.3330001831054687,0.8395275326075368,8.971784157567225,0.0226623171542472,-0.0951377069663863,-0.5257863791102133,-2.4507612125066087,-0.5080581022455618,-0.0351929411129646,-0.0062771286,-0.0009598187,-0.0056311027,-0.013217839,-0.0071503744,-0.024282893,-0.09365241,-0.28813118,-0.048540216,-0.02294895,-0.026504658,0.8882132,-2.2020266,-2.0657897,0.2672678,-0.016122943,0.07484266,-0.0017424448,0.012294491,-0.0013156591,0.002082381,-0.04876501,-0.008279497,-0.03493488,-0.03427716,0.016515864,-0.018238304,-0.013265844,-0.0030925644,-0.06260444
2015-03-10,87.9020004272461,87.98500061035156,87.23999786376953,87.88899993896484,-0.7399978637695312,-1.8375350559488843,9.020200438237806,0.5627229494436788,-0.416483124143329,-0.4572169281345853,-2.4396170453453787,0.1238586089637692,-0.3411786497673011,-0.016405908,0.0009711818,0.0021535591,-0.014132957,-0.004047494,0.0026173056,-0.24331118,-0.37627783,-0.14805304,-0.2513144,-0.2525539,0.85067064,-2.2043262,-1.8665501,-0.13491806,-0.016000567,0.09936126,-0.0018184438,0.0127084935,0.0006612465,-0.0004248398,-0.04831156,-0.007407921,-0.04479332,-0.03631287,0.016515864,-0.018267848,-0.012877144,-0.0031179553,-0.061806865
2015-03-11,87.16100311279297,87.62799835205078,87.12699890136719,87.14900207519531,0.3299942016601562,0.832027798108879,8.915728136156659,-1.0124817859859592,0.8230673114744871,0.2154864903630116,-2.8475108635175714,-0.2858454112804728,-1.068994063044598,-0.0009907084,0.0011267522,0.0015021581,-0.0020958995,0.00048315758,0.0026173056,-0.063178174,-0.15976852,-0.14805304,0.024740491,0.08671271,0.9245325,-2.3318725,-1.9455421,0.45859343,-0.016298579,0.065003514,-0.002525808,0.012774243,0.00017691357,-0.002571157,-0.04866971,-0.0066572065,-0.049482998,-0.039349575,0.016515864,-0.018238604,-0.013571006,-0.003087979,-0.06360693
2015-03-12,87.50599670410156,87.93800354003906,87.49500274658203,87.47899627685547,0.3780059814453125,0.9518141666369334,8.936726973723202,-0.7130608910685474,0.4229912837023837,0.1155882869371082,-2.5868009669471768,0.4874432810517124,-0.7061280733944986,0.001709363,0.0021750298,0.0039645475,0.0014091819,0.004279736,0.015811509,0.005124765,-0.16609363,-0.14805304,-0.056190185,0.12333951,0.82381904,-2.305063,-1.746588,0.46461263,-0.016364692,0.091451466,-0.002766997,0.012374553,0.0005510645,-0.004574712,-0.048241753,-0.005713924,-0.055327546,-0.042020958,0.016515864,-0.01824187,-0.013293396,-0.0031126053,-0.061872922
2015-03-13,87.85099792480469,87.93699645996094,87.04900360107422,87.85700225830078,-0.6969985961914062,-1.7302545898716375,8.937426613132136,-0.8095304526057017,0.0756516786667378,0.1001242656857076,-2.3101814198806925,0.4169972454927624,-0.803088486898629,-0.012620649,0.0011332501,0.0039645475,-0.01150489,-0.001501447,0.0026173056,-0.21539186,-0.4942943,-0.14805304,-0.3853184,-0.24354824,0.80883807,-2.309157,-1.8466355,-0.16355081,-0.016337063,0.09134554,-0.0031558997,0.01249249,-0.0012883465,-0.0061015193,-0.048748348,-0.0058180615,-0.059443954,-0.0437451,0.016515864,-0.01824765,-0.013262368,-0.003104832,-0.062225074
2015-03-16,87.15599822998047,87.35199737548828,87.0199966430664,87.16000366210938,0.1789932250976562,0.4552898661356943,8.734618424992147,-2.3843862350248664,0.1402098152514537,-0.3610933305303682,-1.1960823569271464,-1.0452403147261429,-1.287697895370162,-0.0042711818,-0.0009598187,-0.005456691,-0.014615129,-0.0075742225,-0.03248045,0.010154137,0.037404284,-0.048540216,0.01692065,0.0014413781,1.0099801,-2.166659,-2.5034618,0.13078268,-0.016494194,0.034573827,-0.0040847766,0.01214851,-0.005337429,-0.007309302,-0.051515326,-0.0077161053,-0.06205563,-0.044726826,0.016515864,-0.018189643,-0.013695146,-0.0030315323,-0.06682183
2015-03-17,87.34300231933594,87.46199798583984,87.11000061035156,87.33899688720703,-0.0139999389648437,-0.0262159305090951,8.70995011217555,-2.089328081336212,0.0007731130287836,-1.1538627539299011,-1.120194480020002,-0.8726341048115356,-1.1100653722900855,-0.0057093194,-0.0009598187,-0.005456691,-0.014982055,-0.007900813,-0.03248045,-0.050128683,0.020973355,-0.048540216,0.01692065,-0.05439948,1.0248587,-2.0021644,-2.3761578,0.016561337,-0.015978454,0.039410997,-0.0040443656,0.011906538,-0.00437143,-0.008468176,-0.053877965,-0.0077316756,-0.06412169,-0.04525139,0.016515864,-0.01820531,-0.013566395,-0.0030295658,-0.06687691
