Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Previous Day Open Interest,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-07-04,2793,2806,2782,2785,13670,-15,2793,434,969,0,55268,22.0,0.5095388220914595,3.1499714337401548,-1.3464371291435635,4.371210946138955,-1.9246979762717689,0.1848013699912304,-0.0828678831071235,0.129890167173676,-0.5486882279612557,-1.161072883298921,0.936751,1.1228576,0.3054154,0.29071838,0.35292038,2.3319426,10.18172,3.6026497,12.369915,1.5359896,49.307266,10.242795,1.4961368,-110.85603,-63.26524,-0.100774206,-0.25515902,-0.42313907,-4.4967246,2.8365617,-15.66253,-0.61606157,-16.974922,6.0813766,10.160228,-15.447747,6.3265147,-3.851895,17.292826,-1.7709239
2015-08-04,2795,2838,2786,2807,21462,22,2817,1383,40,0,51195,-15.0,-0.3557636974001665,3.16843623208327,-0.5347159989937426,4.762262637963646,-1.5918983220442782,-0.1126385975212835,-0.7831654936974753,-0.3706049763019978,-1.1354232535610809,-0.1134161256334628,0.074412145,0.47646463,0.15095621,0.19944856,-0.3326744,1.0325377,-1.731444,3.0035384,2.8100584,-3.5877993,61.808167,4.805182,-25.040049,-76.645645,10.391335,0.2291972,0.1310195,-0.70109147,-5.264253,2.719268,-12.82279,-0.7483789,-10.970456,7.444998,11.155059,-15.49031,6.3404975,-3.4692643,17.212921,-1.1284994
2015-09-04,2780,2801,2768,2792,13813,-15,2787,2156,73,0,43353,-11.0,-0.2622174790767475,3.1172382794286424,-0.3329378811832811,4.766950724997782,-1.3344971527886271,-0.6169097486986935,-1.038278669500818,-0.2853898013170184,-0.4249157825864207,0.9412752719036848,0.6194955,1.0273135,0.18540013,1.6156507,0.51456654,12.193557,11.441281,6.619657,-4.057164,14.101972,109.494835,14.601699,-11.340555,-95.32981,70.83447,1.0364704,0.3198767,-0.8457834,-6.677336,2.9776664,-11.345469,-0.75561583,-5.0582895,10.939601,11.589903,-15.529544,6.3608522,-3.292233,17.18754,-0.9482328
2015-10-04,2791,2812,2772,2781,16932,-11,2788,1387,0,0,37331,18.0,0.4159926037680405,3.0820589684529693,-0.0230501115952988,4.441935305673726,-2.1061138500404706,-0.6190248125946465,-1.2582440193112858,-0.714920599344205,0.044006788204228,0.4639112880257032,-0.3572708,-3.3026762,-0.16727127,-1.4978656,-1.2452121,-13.862444,-15.992196,-7.9211607,-32.950344,-5.828382,77.38136,9.292237,-7.0417914,-82.202866,64.43748,-0.28244573,-0.63912916,-0.4931312,-8.60779,2.6433954,-8.78348,-0.47320703,2.567073,10.626938,12.846819,-15.427562,6.3243575,-3.1742842,17.233206,-1.3049423
2015-04-05,2875,2875,2875,2875,4,-2,0,0,0,0,13,61.0,1.4216144507447952,4.611705897598161,3.023834900637136,1.611935484943652,-1.1599617470030843,-1.0759306846415428,0.1645958957809198,1.453707129354056,0.6601125859559285,0.736284530359149,3.3071406,6.2374845,1.0575346,3.9612157,3.9974248,33.664387,20.47862,21.735582,34.44219,27.50359,-82.298615,22.4488,32.481842,-24.039743,78.4534,1.7341425,1.157827,-0.425513,2.0972044,3.909137,-10.557737,-0.24282266,1.304555,8.622434,12.309184,-15.510549,6.343028,-0.9864194,17.263779,0.01921167
2015-05-05,2936,2936,2936,2936,4,61,0,0,0,0,13,-47.0,-1.1041334439875188,4.824432064372951,3.982591049928531,1.763700318354921,-1.342630092953791,-0.3574872966873913,0.0600157875547227,1.5598538876773846,0.583543671260518,-0.7406464423899566,0.82015204,-0.84913284,0.2342849,0.81870866,0.35931548,14.955612,0.12281752,-2.7322006,-15.641532,10.956849,-127.76769,12.487556,28.132483,-14.5443945,14.132746,3.7222817,2.3395848,-0.84917396,4.850849,3.814346,-11.753844,0.057042412,-2.457439,7.242385,12.183729,-15.456642,6.3674808,-0.16716678,17.081427,0.40464792
2015-06-05,2889,2889,2889,2889,1,-47,0,0,0,0,13,10.0,0.2289001671212024,4.826542069565228,3.0804293281330044,1.1501737880498373,-1.1088114585383684,-0.5155164979850553,-0.3496031329586767,1.5703544463711654,1.2878552056149093,-1.854692040023286,3.1712654,4.441721,0.860618,2.9378655,3.5834308,42.916416,6.3225045,17.635561,4.4153256,27.425325,-147.70915,28.418396,23.228426,-43.012585,21.496946,3.3686728,3.1683252,-0.33515975,3.6604002,4.0277777,-11.085008,0.3570005,-5.085187,8.117466,13.129569,-15.458587,6.332306,-1.0219446,17.19756,0.70250314
2015-07-05,2899,2899,2899,2899,1,10,0,0,0,0,10,23.0,0.5329253766723143,4.920768464675229,2.8338591344344577,0.9285029682702696,-0.9260843935961516,-1.1237328021476205,-0.7374004793856168,1.62294072863059,1.3208077083290373,-2.355129388456302,2.9076834,4.938224,0.9306262,3.3566256,2.7935455,23.852669,15.364486,15.520616,25.821465,12.03861,-145.78258,19.662422,15.784875,-12.553263,1.0579336,2.9771094,4.0207996,-0.24753733,6.966214,4.000424,-9.775922,0.6944866,-7.9554367,10.043362,14.212935,-15.4107685,6.29868,-1.4578089,17.083359,0.23289564
2015-08-05,2997,2997,2925,2922,3,23,0,0,0,0,9,29.0,0.6732447041574429,5.1500395580361085,2.5589391224840106,-0.0245225606333692,-1.8269965187876416,-0.2399125962688867,-1.0896092364305834,1.3122020539208077,0.6511735751059393,-2.2621660554238967,2.7831202,4.9763308,0.77306825,3.6399295,2.634781,16.747696,12.877522,15.78455,15.53025,3.7629452,-187.15752,12.288355,44.778103,13.766092,-22.281397,3.1072645,5.00999,-0.1939923,8.320289,3.8355532,-8.317723,0.9435043,-13.707793,11.676469,15.169563,-15.314225,6.2933455,-0.21855436,17.074139,0.12509385
2015-11-05,2955,2955,2955,2951,4,29,0,0,0,0,7,31.0,0.7200178133191524,5.229956649977903,2.712525125528665,0.494936994569099,-0.7228946285914324,-1.0585132379307054,-0.7310186925188997,1.6055884591835476,-0.3562219792747214,-0.4887796087047906,2.4432273,4.401521,0.8124506,2.660928,2.1113596,21.971575,14.320578,12.512672,37.437767,16.711748,-129.04901,13.540358,35.307995,17.126797,27.193457,2.7771816,2.5226667,-0.56374484,6.909384,3.6973908,-7.712868,1.1940025,-19.92528,12.565384,14.970879,-15.486044,6.3421364,-1.5300586,17.242939,-0.14319254
