Date,Open,High,Low,Close,Volume,Change,Last,Previous Day Open Interest,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-08-04,971.0,975.0,967.75,971.5,107951,0.5,971.25,290388,-18.0,-1.553404050403827,-0.4092115720612551,-0.7454476562187832,1.708587984066734,-0.9605888870367136,1.4112511883857222,0.4179287202564268,0.3463066211979488,1.6797671820146067,-0.037782773,-0.44387257,0.027646199,0.018428937,-0.08956693,-0.5683893,-1.0725878,-0.74273694,-1.5454559,-0.47780836,0.022092178,-2.4340696,2.1404731,8.62694,1.5971509,1.5369309,0.65269154,-0.40568876,-1.817689,-0.593668,2.6360946,-2.8031194,0.6459985,-0.27003872,0.80319655,-0.3941207,-1.1267124,1.9485886,-0.18321554,-1.5441668
2015-09-04,971.25,972.0,950.25,953.5,169506,18.0,955.5,281257,-2.0,-0.228754590420717,-0.559178582682204,-2.654564233291202,0.8096529262632772,0.743019834113878,2.5380086857167274,-1.1736390259627092,-0.3071897761901546,1.395586954979162,0.029751375,0.03404911,0.0640101,0.018428937,-0.0063860863,0.398089,1.3669347,0.66769296,0.07409473,-0.13077979,7.589432,3.573033,-10.795549,-14.370161,9.181228,1.2905732,0.65269154,-0.40568876,-0.93814516,-0.46654606,2.7099347,-2.2017965,0.6128495,0.17054941,4.3137975,-0.44810843,-1.1668519,1.9706037,-0.2116798,-0.92248285
2015-10-04,954.0,958.5,944.5,951.5,125165,2.0,951.5,280951,-2.75,-0.2908475338574253,-0.7424891789647835,-2.863850523728227,0.3686900521314989,0.5490977870034415,2.5836867824235257,-1.3984328264142147,0.32924634469123,-0.4331266769075318,0.05835481,0.16806765,0.0617394,0.02205576,0.11868723,0.6569028,1.4023956,0.95156413,3.3008492,1.9387462,3.4901679,2.9500709,9.038533,-14.14155,6.914572,1.2553452,0.65047693,-0.40568876,-0.21258424,-0.42321396,2.6505575,-2.1043057,0.6345777,0.5925183,6.0086493,-0.35304534,-0.79110694,2.0589027,-0.13880502,-0.5178542
2015-04-05,968.0,984.0,966.75,983.0,3946,14.5,983.0,10287,10.5,0.8061278001910877,0.325996562384782,1.3025589483121451,0.077733177836994,-0.619344143175304,1.4222136430636734,2.0607080165585208,0.9596740404704712,-0.9308672687910065,0.06427266,0.1206909,0.052228823,0.02205576,0.20757885,0.7470143,1.1614509,-1.2221123,0.97824746,1.5294024,-3.5909061,-1.5036697,-4.2116294,16.087378,-3.0203097,1.4591972,0.65269154,-0.40568876,-1.2333933,-0.610345,2.579688,-3.1463149,0.61904305,1.121541,3.5701861,-0.43264246,-1.2033311,1.9428626,-0.18940006,-1.3015921
2015-05-05,982.5,994.5,981.5,993.5,2787,10.5,993.5,7840,-3.0,-0.3115451816696614,0.7016310598932154,2.2877376789425576,0.5290355089315778,-0.7271705440291714,0.9552712547467708,2.230468959754349,1.2375653143008312,-0.9177616337662012,0.07106687,0.0105406195,0.020270124,0.02205576,0.17832382,0.37838995,0.6316157,-1.390502,0.97824746,-1.2332165,-4.483788,-2.1628876,-2.343899,21.872736,-5.000832,1.2520806,0.65269154,-0.40568876,-1.4499111,-0.6130743,2.6338987,-4.272764,0.57491165,1.4743754,-1.5054507,-0.5459211,-1.3079333,1.9118245,-0.22497033,-1.3124855
2015-06-05,993.25,1000.5,988.25,990.5,2303,3.0,990.5,6390,-9.0,-0.8082887291633275,0.8198956624108993,2.4839403279980488,0.6199791077278981,-0.5295036492331601,1.5303095617491422,1.501514626518612,0.5687558840764472,-0.2266134389252947,0.022317007,0.024303451,-0.020132706,0.02205576,0.070071,0.3158835,-1.1270596,-0.24351,-0.64130306,-1.580245,-4.490879,-1.9894426,4.0153832,9.9589615,-5.484472,1.3045261,0.65269154,-0.40568876,-1.6339784,-0.610548,2.3824782,-4.59502,0.5374319,2.0265589,-4.9979205,-0.50031507,-1.3398356,1.9188846,-0.22576939,-1.7014306
2015-07-05,990.5,992.5,979.25,981.5,2962,9.0,981.5,5117,3.0,0.1851983658240048,0.5962059880114787,1.410971786471902,0.102342767708811,-0.2128254675341965,2.1149934069154117,0.9468364498523136,0.1023927903224888,0.3020054737264535,0.057297364,0.2454638,0.043152586,0.02205576,0.18769409,1.2807374,1.1614509,0.95156413,0.97824746,0.32467824,-2.5817742,-0.87002516,1.7237078,-1.3641276,-3.2920146,1.4305749,0.65269154,-0.40568876,-1.3694685,-0.60781693,2.6810708,-3.9391747,0.62178177,2.7574198,-3.7590265,-0.42080545,-1.2427869,1.9378988,-0.18127124,-1.7366962
2015-08-05,982.75,986.25,977.75,984.5,1693,3.0,984.5,4093,-1.5,-0.1873592947962448,0.5039694618641235,1.6364924378876191,0.1108984671451646,-1.236991254240743,1.460411686508938,1.4209662505411813,0.979198515806076,0.2132294561091478,0.03898014,-0.15018855,0.0076476485,0.02205576,0.14197703,0.12830658,-1.6568949,-0.24351,-0.64130306,-0.022350475,-4.423664,-2.1129906,11.927536,6.1317415,-3.9976015,1.537821,0.65269154,-0.40568876,-1.2539258,-0.6007558,2.7148018,-3.4169106,0.5476286,3.1008394,-3.177111,-0.38652623,-1.118847,1.9646411,-0.17725198,-1.4037795
2015-11-05,983.0,989.0,981.5,983.0,1315,1.5,983.0,3410,-16.0,-1.387822867905938,0.4922889431746164,1.4423594765065395,-0.1460237954641958,-1.2983453975357773,1.3872151344800334,1.473147825533833,1.0006560195477747,0.4359360920636372,-0.010077462,-0.47252655,0.0050525814,0.02205576,-0.029789194,0.39783144,-1.6568949,0.29050255,-0.64130306,-3.3568,-4.436074,-2.148811,12.5575,5.8826075,-3.508276,1.5358104,0.65269154,-0.40568876,-1.1894832,-0.60139763,2.7822926,-2.881802,0.5663742,3.1542323,-3.0827048,-0.36352682,-1.0949774,1.9761368,-0.16834484,-1.3656983
2015-12-05,982.0,991.25,967.0,967.0,1362,16.0,969.0,2366,8.0,0.5991513220687267,0.4436968530197925,-0.3645519540719482,-1.192401091190077,0.4810312686806997,2.5932652503503237,0.4371550321579773,0.1644013035077165,0.2262855568046314,0.067969576,0.28778094,0.12379809,0.02205576,0.27981338,0.8111765,0.88764566,0.29050255,1.7974075,2.9634597,0.4624283,1.3205383,3.075201,-13.976513,1.5497026,1.2828635,0.65269154,-0.40568876,-0.8805071,-0.60607827,3.3794327,-1.6633883,0.74328077,3.1723194,-0.9323052,-0.41560996,-1.023359,1.9833069,-0.15418015,-1.4306834
2015-02-06,926.0,944.5,925.25,940.75,117849,14.75,941.0,350193,-5.5,-0.5185216597920222,-2.291798412192317,-3.302309437353863,1.786289194158765,-0.8932131092720044,-0.5759155598440092,0.9695124442107942,1.7256703290364728,0.0672834227795781,0.032354012,-0.06887697,0.04632856,0.018428937,0.19827743,0.3169906,0.16625084,0.122113004,-0.52933466,1.8372227,1.3027476,-3.3552666,-9.015384,38.119198,3.9324248,1.5252995,0.65269154,-0.40568876,-0.0028080198,-0.18311726,3.3069935,-1.4550393,0.766994,2.6859322,0.23891331,-0.2068678,-0.5792974,2.0905826,-0.1612479,-0.6905582
2015-03-06,941.5,945.5,931.5,935.25,128209,5.5,934.0,342786,11.25,0.8682207436277959,-2.347595376340183,-2.8298858763086425,2.0418143027077686,-0.9596164342283724,-0.181440504710057,0.7552448481667493,1.1270868376978216,0.440268643407485,0.014807478,0.022508517,0.0338185,0.018428937,0.111852184,0.19866242,1.0186025,0.122113004,1.2288754,-1.8442552,1.1388397,-3.2526755,-4.073068,32.428356,2.9958298,1.4458666,0.65269154,-0.40568876,-0.065471634,-0.26313233,3.2967877,-1.3400598,0.8110453,2.2128205,1.8780512,-0.24417351,-0.6226554,2.086945,-0.14592068,-0.77646005
2015-04-06,934.75,948.75,932.0,946.5,114961,11.25,945.0,331033,-8.75,-0.7875910813510915,-2.014744753120041,-1.4264816076828464,2.843813354645923,-0.9981315804962192,-0.7492860483841725,1.2814064917623005,1.505537040646331,0.2061660791019592,0.03861846,-0.08997427,0.041159406,0.018428937,0.19179083,-0.10162376,0.16625084,0.122113004,0.97824746,1.1677163,-0.44785297,-4.0972404,-14.086647,46.970142,1.331532,1.179249,0.6523102,-0.40568876,-0.92725194,-0.51396465,3.182744,-1.5960169,0.83316195,1.5399249,-0.41217983,-0.42687893,-1.1016659,2.0094056,-0.18763112,-1.1392312
2015-05-06,944.5,952.0,935.25,937.75,127758,8.75,939.75,320936,6.5,0.4749654351953101,-2.044980749519216,-1.3471034567249784,2.8020910905567256,-0.6952219305453607,0.2012945089184296,0.6354758806492362,0.5022646786231981,0.7723541087788655,0.029999688,-0.029734597,0.041159406,0.018428937,0.16853316,0.6212972,0.696086,0.122113004,0.97824746,0.28618008,0.7017491,-2.9604688,-14.6637335,32.852474,1.7863754,1.1922412,0.6467029,-0.40568876,-1.1947706,-0.5196719,3.1686995,-1.7224314,0.8598439,0.9653392,-0.4416535,-0.3930372,-1.0570552,2.0078697,-0.17539291,-1.1558399
2015-08-06,938.25,951.0,935.25,944.25,109019,6.5,944.0,302209,7.25,0.5370583786320183,-1.8395247202696785,0.0891963469368091,3.354205441566542,-1.3204901355991774,-0.1470391617998381,1.0164549707822734,0.8858444198910066,0.2517862872471224,0.043068662,0.014060333,0.027932242,0.018428937,0.15842088,-0.13868032,1.0186025,0.122113004,1.2288754,0.82068795,-2.0183818,-3.8281112,-15.494487,42.342003,-0.124359176,1.0049763,0.5144855,-0.40568876,-1.3191228,-0.59546304,3.1021435,-2.2302284,0.87705004,0.24108656,-1.9005873,-0.3965857,-1.1159151,1.9906336,-0.19055311,-1.0867497
2015-09-06,946.0,955.0,943.25,951.5,133731,7.25,950.5,289148,-2.0,-0.228754590420717,-1.6092151853322876,1.172408683036846,3.779733540927212,-1.501152907174602,-0.3373030881138534,1.3539213323856842,0.9813135341675724,0.7126147662664342,-0.0045381635,-0.15747331,0.036256865,0.018428937,0.045989707,-0.6301987,0.16625084,0.122113004,0.2800994,-0.06084846,-1.6708498,-3.6734571,-20.08608,47.29031,-0.6627115,0.81552804,0.4130182,-0.42591834,-1.7107022,-0.60498106,2.7981973,-2.6980588,0.90639013,-0.52735555,-1.7793994,-0.41030085,-1.3276372,1.9466337,-0.24500929,-1.1553054
2015-10-06,951.5,957.75,944.5,949.5,151167,2.0,950.0,267725,-9.5,-0.8496840247877997,-1.553223318913001,1.499130121554071,3.523035975130001,-1.195988437288941,0.7949370984732286,0.9759425791861336,-0.1501035800012796,1.4808911720209206,-0.022806212,-0.34613764,0.021760002,0.018428937,-0.06415407,-0.58290505,-1.0725878,-0.16175793,-0.62405336,-1.1473149,-0.06547366,-2.0474606,-19.37382,31.251547,0.59283745,0.932543,0.52701193,-0.40568876,-2.0586507,-0.59555304,2.5047889,-2.1864648,0.938819,-0.56972575,-2.082334,-0.46931732,-1.3468921,1.9320832,-0.2533859,-1.5231619
