Date,Open,High,Low,Close,Volume,Change,Wave,EFP Volume,EFS Volume,Block Volume,Previous Day Open Interest,DAILY_CLOSEPRICE_CHANGE,Scaled_DAILY_CLOSEPRICE_CHANGE,scaled_NET_SENTIMENT,scaled_UNCERTAINTY_MODAL,scaled_REGULATORY_PRESSURE,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,RF_1_Predicted_Close_Price_Change,RF_2_Predicted_Close_Price_Change,RF_3_Predicted_Close_Price_Change,RF_4_Predicted_Close_Price_Change,RF_5_Predicted_Close_Price_Change,GBT_1_Predicted_Close_Price_Change,GBT_2_Predicted_Close_Price_Change,GBT_3_Predicted_Close_Price_Change,GBT_4_Predicted_Close_Price_Change,GBT_5_Predicted_Close_Price_Change,GRNN_1_Predicted_Close_Price_Change,GRNN_2_Predicted_Close_Price_Change,GRNN_3_Predicted_Close_Price_Change,GRNN_4_Predicted_Close_Price_Change,GRNN_5_Predicted_Close_Price_Change,CNN_1_Predicted_Close_Price_Change,CNN_2_Predicted_Close_Price_Change,CNN_3_Predicted_Close_Price_Change,CNN_4_Predicted_Close_Price_Change,CNN_5_Predicted_Close_Price_Change,LSTM_1_Predicted_Close_Price_Change,LSTM_2_Predicted_Close_Price_Change,LSTM_3_Predicted_Close_Price_Change,LSTM_4_Predicted_Close_Price_Change,LSTM_5_Predicted_Close_Price_Change,CNN_LSTM_1_Predicted_Close_Price_Change,CNN_LSTM_2_Predicted_Close_Price_Change,CNN_LSTM_3_Predicted_Close_Price_Change,CNN_LSTM_4_Predicted_Close_Price_Change,CNN_LSTM_5_Predicted_Close_Price_Change
2015-09-04,66.75,67.13,66.11,66.22,25056,-0.51,66.69,4086,44,500,79236,-1.16,-1.1260270997453232,5.0,5,5,-0.1803293529872871,-2.46263838390048,5.461159256999248,0.4140848330220146,0.0806488854465437,1.8117722114110104,-0.2358601661345,-1.3234414325485706,0.1978116078919969,1.476293297484382,-0.06080999,0.0073276297,0.0044341017,-0.012128471,-0.0033957295,-0.6754349,-0.2966474,-0.6391895,-0.5980732,-0.9572816,1.1251913,1.0341582,-0.9209945,-2.4093747,-0.21172762,0.033709962,0.12938616,0.08114042,-0.12039539,-0.0721311,0.009507435,0.044191893,-0.32776138,-0.105769165,0.13429758,-0.002764438,-0.15345672,0.009130632,-0.42223966,-0.18560979
2015-10-04,66.44,66.61,64.81,65.06,28515,-1.16,65.21,305,44,500,70573,0.07,0.0529434537192455,5.0,5,5,-0.4372433790235737,-2.606518840832117,4.2206370573838194,1.006194562643698,-0.1983206165860871,1.4460309590538305,-0.4630079389110098,-0.6540744399587,-1.300879378228252,1.7606412671330562,0.034543578,0.009966022,0.010919106,0.0021073057,0.0039485856,-0.15383323,-0.1779652,0.12237033,-0.23196477,0.1765767,0.3446766,1.2858675,0.037530906,-0.25298065,0.28774342,0.08842689,0.20618828,0.046385095,0.32495746,-0.044725925,0.006272675,0.04416335,-0.32520446,-0.099429235,0.11927052,0.0290627,-0.13339272,0.043487716,-0.43382683,-0.18694355
2015-04-05,66.91,66.91,66.91,66.91,1,0.06,0.0,0,0,0,279,0.08,0.0625285801701769,5.0,5,5,0.3322123824582478,-1.7875448417124171,4.929395285990469,-0.4896103489728186,-0.963742890824628,1.723796296423104,-0.5196195067744884,1.3713043297838066,-1.523807512682584,0.9377074416516004,-0.0052339514,0.009230018,0.009508649,0.0033646796,0.016720176,-0.024468636,-0.109885946,0.27255115,-0.28270832,0.4164518,-1.4594607,-0.31729302,0.09307623,-0.27671158,0.7535528,0.10302691,0.20404698,0.043922827,0.2373582,-0.042565573,0.0032189277,0.041952785,-0.31836012,-0.09844529,0.10257223,0.06566475,-0.13012047,0.04275512,-0.4450709,-0.18772598
2015-05-05,67.36,67.36,67.36,66.99,1,0.08,67.36,0,0,0,277,-1.13,-1.0972717203925288,3.4000000000000004,5,5,0.3164931889901132,-1.5648670261127806,5.232779813558558,-0.1206260680671579,-0.9588417161245752,1.6208401226892002,-0.208137716495653,1.0882299117844263,-1.545734756302457,0.5138223885917754,-0.050092388,0.0016185403,0.0032400985,-0.03475643,-0.018900892,-0.71716386,-0.47710252,-1.1499149,-0.37908158,-1.2671193,-0.7763918,-0.10964776,0.51534575,-0.7318656,0.5721688,0.06854015,0.1795045,0.046562735,0.16863926,-0.04667538,-0.0018298986,0.040058024,-0.3115735,-0.09860731,0.07858004,0.03350972,-0.13450846,0.0415454,-0.44031703,-0.18746112
2015-06-05,66.33,66.68,65.57,65.86,12665,-0.89,65.96,210,20,0,124861,-0.33,-0.3304616043180126,5.0,5,5,-0.0839854896930323,-1.7363961262178624,4.171596396840543,0.6055279508346146,0.1182027006508651,1.8369907336086109,0.1325420853674699,0.7534315142439757,-1.4676090725113706,0.6401571085281148,0.059763633,0.013045724,0.014601694,0.017419593,0.018163202,0.07258835,0.04135594,0.33459762,0.20731084,0.6525336,0.348986,0.23253332,0.09344934,-2.214666,0.8433932,0.06784031,0.15880392,0.050193127,0.28408962,-0.048326258,-0.006170551,0.03796236,-0.3034261,-0.09015672,0.053997435,0.01822075,-0.13725466,0.045618623,-0.4326899,-0.18689507
2015-07-05,65.96,66.01,64.96,65.53,15339,-0.33,65.21,150,0,0,123989,0.6299999999999955,0.5897105349714026,5.0,5,5,-0.0304478485537455,-2.0362808560798458,2.652931547767478,1.7686262870221052,-0.0149274494199297,1.3038793245457747,0.5358110199831906,0.3575276690496389,-1.3631363347597052,1.3260703915231256,0.018686311,0.011025687,0.01184203,0.013862883,0.00884218,0.14400198,0.008469962,0.15412307,-0.14693268,0.43528274,-0.37180898,0.19847162,-0.06474005,-1.7179279,2.3713548,0.05846541,0.13481134,0.047786847,0.24175254,-0.04345484,-0.0094250785,0.037111502,-0.29701102,-0.07766184,0.027529048,0.01375784,-0.13947739,0.050951302,-0.4317562,-0.18688652
2015-08-05,65.53,66.22,65.28,66.16,9969,0.63,65.78,59,0,0,120563,-0.77,-0.7522071681589966,2.8,5,5,1.0898290145658875,-2.129317324749997,1.964931382964648,2.450697949012472,-0.1106406234349517,1.1823839367852524,0.8049492719882763,-0.7369533110645047,-1.1509722531125202,1.1680157862488452,-0.026048074,0.007505335,0.0066876416,-0.0025861699,-0.0033277113,-0.3615878,-0.12535189,-0.4478951,-0.0591957,-0.45617524,-1.9759892,-0.747524,0.45276794,-1.2221751,3.149695,0.04365052,0.13192484,0.042786587,0.24614462,-0.036366988,-0.015301143,0.032052215,-0.29232895,-0.06452155,-0.0018560501,0.015020692,-0.1365706,0.055038083,-0.43296763,-0.18709461
2015-11-05,66.16,66.31,64.65,65.39,15325,-0.77,0.0,163,60,0,119991,-0.37,-0.3688021101217384,5.0,8,5,-0.0224365796333387,-2.206760788258268,0.6036678692635785,3.222158014786864,0.2963079522864772,1.2257800731044093,0.9876884441659264,-0.6515738689378893,-1.3518161308336434,1.05276865487249,0.009527682,0.011025687,0.010687155,0.010867167,0.0075313193,-0.0136076985,-0.06301729,-0.19984756,0.191832,-0.28613356,-2.0022914,-1.4108175,0.38817918,-0.87922674,4.48907,0.044674303,0.12798636,0.05612761,0.19681358,-0.046466663,-0.017510066,0.031306002,-0.28798455,-0.03643236,-0.021942636,0.049264207,-0.15098852,0.046461333,-0.438415,-0.18719961
2015-12-05,65.39,65.57,64.57,65.02,12718,-0.37,0.0,0,20,0,118785,0.75,0.7047320523825843,3.4000000000000004,5,5,0.0914465086747294,-2.429608997833467,-0.3857410048053609,3.662174925123735,-0.3512456802860726,0.9928888415245928,0.9632293331420312,-1.0137063674437372,-1.4645364135512593,0.9437544505581016,0.038303602,0.0107002985,0.012007846,0.021068648,0.013070753,0.31194898,0.12383823,0.26971087,0.24649417,0.76464885,-2.444072,-1.7155892,0.049309026,-0.8716975,4.8091445,0.07563284,0.21399927,0.035421796,0.2918037,-0.030057678,-0.015136923,0.034185752,-0.284592,-0.019550396,-0.0049209152,0.066294104,-0.12802882,0.058072984,-0.44588384,-0.18796724
2015-02-06,63.6,64.29,63.33,63.6,14174,-0.15,63.67,7,20,250,89702,1.6399999999999937,1.5578083065154775,5.0,5,5,0.4350484899381506,-3.84311717187307,-2.666973548956375,0.0429416012558231,-1.5734160968664408,2.177398438472709,-1.8109035557233453,0.0393612212819306,-1.54874825161809,-0.1798848761920871,0.13754319,0.0151391765,0.02624802,0.050937936,0.03127936,0.89778495,0.5358443,0.9077221,0.82231146,1.2382276,-2.2728255,-0.03904452,0.20009124,-0.88393503,2.8359041,0.13243723,0.27154106,0.036124103,0.46978238,-0.01701055,-0.008525838,0.03218616,-0.282126,-0.0130821215,0.0076114563,0.10054129,-0.12342112,0.05220252,-0.45500457,-0.1886233
2015-03-06,63.74,65.39,63.44,65.24,20414,1.64,64.69,579,0,0,88082,-0.12,-0.129173948848452,3.4000000000000004,5,5,1.1830248080107082,-3.55710031855616,-0.8120992262573016,-1.2205018381886592,-1.140330205541303,2.4918184106617427,-2.465562817829059,-0.0662698850425193,-1.26799545056805,-0.6051294994386035,0.030226298,0.015032536,0.015901841,0.020087888,0.009271666,0.048915494,-0.010279098,-0.007929728,-0.4299584,0.31024402,-3.0540912,0.174276,0.7413188,-1.5642314,2.3588533,0.09222582,0.21130438,0.034880467,0.27680692,-0.02079471,-0.0035447243,0.028693896,-0.28150705,-0.019828534,0.01992769,0.072478496,-0.122986674,0.054913733,-0.44968903,-0.18831483
