Ticker_Symbol,Best_Cov1D_Classification_Accuracy,Best_Cov1D_Classification_Path,Best_Cov1D_Regression_Path,Best_Cov1D_Regression_RMSE,Best_LSTM_Classification_Accuracy,Best_LSTM_Classification_Path,Best_LSTM_Regression_Path,Best_LSTM_Regression_RMSE,Best_TransformerClassification_Path,Best_Transformer_Classification_Accuracy,Best_Transformer_Regression_Path,Best_Transformer_Regression_RMSE,Best_XGBClassifier_Classification_Accuracy,Best_XGBClassifier_Classification_Path,Best_XGBRegressor_Regression_Path,Best_XGBRegressor_Regression_RMSE
CL=F,0.5915492957746479,../models/pytorch/conv1d-classification/CL=F.pth,../models/pytorch/conv1d-regression/CL=F.pth,1.6320944297190914,0.6764705882352942,../models/pytorch/lstm-classification/CL=F.pth,../models/pytorch/lstm-regression/CL=F.pth,1.2330613792665257,,,,,0.6197183098591549,../models/xgboost/xbclassifier/CL=F_best_model.pkl,../models/xgboost/xbclassifier/CL=F_best_model.pkl,1.6153158873300126
NVDA,0.5915492957746479,../models/pytorch/conv1d-classification/NVDA.pth,../models/pytorch/conv1d-regression/NVDA.pth,1.683446181698328,0.7058823529411765,../models/pytorch/lstm-classification/NVDA.pth,../models/pytorch/lstm-regression/NVDA.pth,1.4169319811777301,,,,,0.7183098591549296,../models/xgboost/xbclassifier/NVDA_best_model.pkl,../models/xgboost/xbclassifier/NVDA_best_model.pkl,1.504827555721081
SGDUSD=X,0.6621621621621622,../models/pytorch/conv1d-classification/SGDUSD=X.pth,../models/pytorch/conv1d-regression/SGDUSD=X.pth,0.0021569563708677087,0.6571428571428571,../models/pytorch/lstm-classification/SGDUSD=X.pth,../models/pytorch/lstm-regression/SGDUSD=X.pth,0.0017995774309984452,,,,,0.7972972972972973,../models/xgboost/xbclassifier/SGDUSD=X_best_model.pkl,../models/xgboost/xbclassifier/SGDUSD=X_best_model.pkl,0.002156658817138
USDSGD=X,0.6756756756756757,../models/pytorch/conv1d-classification/USDSGD=X.pth,../models/pytorch/conv1d-regression/USDSGD=X.pth,0.003894525079952908,0.6857142857142857,../models/pytorch/lstm-classification/USDSGD=X.pth,../models/pytorch/lstm-regression/USDSGD=X.pth,0.003225686499294803,,,,,0.7972972972972973,../models/xgboost/xbclassifier/USDSGD=X_best_model.pkl,../models/xgboost/xbclassifier/USDSGD=X_best_model.pkl,0.0038940524672766
